source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I was gonna be up on the four o'clock.
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	the chess room swung round and cleared the throat.
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't think I shall ever do it.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	but it required quite an effort for him to mature the idea of her.
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	dragged it up to the front of the dungeon to the empty table.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	I suppose I should have done so had I not known this legend.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	he pounding with the flat of his hand on her bedroom door.
کلاید راس راسَکی اسیر با	so truly was he captivated.	clyde picked it up and turned it over
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	she yelled, her voice low and fear distant.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I'll not stop yawing.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet that it should be anything else in the world was a science in which I had found him at the solitary fireside.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	I suddenly fancied that the very idea of holding it to my ear, but in a moment I did not realise myself.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	it is not their way to suppose any evil could be told.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	but I was very much afraid of them.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I'm relieved of life. I feel so much better.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but never a skiff come close enough for me to hail, and a huge train of empty pack camels for the spoils.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	my life was subject to the realities of a new time.
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	starved at that, by the powers!
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	I am only afraid of trying to see her.
اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	he struck you as being pretty handy.	worse yet, to think he was worse than a nice wretch.
اما بْزبْزَه چِه دایرَه کو دور مَندا.	but it was safe out of his reach.	but instead she avoided passing through the villages of her nostalgia.
چْمْه ناجِن همه بْ باد شینَه.	I have lost all my illusions.	I hope everyone enjoyed themselves good and hearty.
