source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	Now the boys are anxious to have the latest news of their entertainment.
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	My eyes are like bridgey.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	this is why you, in your turn, are to die
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	Sometimes a four year old woman walks in her cross street.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	they should all be obliterated as they were to have their respective dreams.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I ve upset the nigger.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	flying into the sky until the wind goes somewhere else, and breaking through the heavy mist of jagged fragments.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	we see that at the same time they began to badger her about helping with his transfer.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	Here they were, like most of the schoolboys.
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	reads law and all stuff like that.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	And anyways it don't if she don't cry.
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	whose country is one of our own country.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	studying the effects of the poison?
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There s only one square inch of $14,400 that nobody could close it.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	neither could I possibly guess the meaning, till my tutor informed me.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	Sidesides, there s not a leaf that s not a halfpenetrable.
Ez koma her dîyan a.	I am in both groups	I'm all of them at once.
Her çî wextê ey esto.	Everything has its time	all there is time.
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	If you polish the light, you will not cut us up.
Dima sond dekerna û beyraqe dîrege ra arde war.	Later, he recited the oath and pulled down the flag from the pole	then fell swamping back into the deep.
Kifş o ke cuye o tayê rew hincirnayo.	It's evident that life has worn him down a bit early	I see that it's a bit dangerous.
Xora qeleme dest de hazir a!	The pen is already ready in hand!	Bow-Wowzer!
Yew hîkaya xo bi formê nameyî amo nuştene.	One of his/her stories was written in form of a letter	Graphically composed and displayed in a large scrawl
Zereyê çimanê xo ra to de huyeno.	He laughs at you from within his eyes	You have a deep inside your teeth.
Kesî îtîraz nêkerd.	Nobody objected	No one took you to dinner.
Merdim ancax ziwanî ra bizano.	One can only know from the language	knew the language of the country,
No kî çîyode zaf rind o.	This is a good thing, too	That is nice, it is the kitchen of this kind.
Yewna bi tirkî nengan çîneno vano ti çira vanê ‘kirdî’.	Further, the curses in Turkish and asks why you say 'Zazaki'	It's another interesting question because I think you ve started laughing.
En zaf kî kurmanckî de vînon.	Mostly, I see that in Kurmanji	they saw many giants in the same way
Ma wazenê kîşta tirkî de kurdkî zî bibo ziwano fermî û mekteban de dibistana ewilêne ra heta unîversîte bi ci wendekaran rê perwerde bêro dayene.	We want that Kurdish shall be the official language alongside Turkish, and that education shall be provided for the pupils in schools, from primary school until university	we want a kingdom to run before it full in the language of the country, and so we don't want a new home for peace and quiet, and so on will hold on to the wheely ladder.
Bi hezaran însanî merdîy.	Thousands for people died	death by the thousand of them.
Rayraşîyayîşê dergî bi coşêkê pîlî qedîya.	The long journey ended with huge excitement	a voyage to the whale's length with the greatest satisfaction.
Vateyê eseran zafîn aîdê min ê.	Most of the words of the works belong to me	Many of the words are so close together
Tena ferqêk tede esto.	There is only one difference	It's just a difference.
Xulasa dewe de ma bi çimê dişmenan ewnîyayêne yewbînî ra.	In the end, we looked at each other in the village like enemies	where we were, in the snow, looking at each other with the eyes of the saints.
Nika zî bi hawayêkê sîstematîkî hêrişan kenê.	Now, they are attacking in a systematic way	now they too will get bored with juicy grass.
Hewna zî tu kesî ra yew îtîrazo pêt-cidî nêbi.	Again, there was no serious and strong objection from anyone	Bedtime there was no ice cream van
Ê ke nê qirkerdişî ra weş mendê hîna zî estê.	They are also those who survived this massacre	they are more masterful than crafty
Bombarduman heta saetan sere sibayî yê roja bîne dewam kerd.	The bombing continued the morning hours of the next day	these strange grave diggers had to carry on till to morrow morning.
Senî ke ma tirkî badê cû musayî nika zî qicê ma ziwanê dadîyê xo dima musenî.	Just as we learned Turkish later, now our children learn their mother tongue later	though we have learnt its meaning perfectly, and now we certainly have learnt its meaning in the language of our father.
Her di hetan ra bi sehezaran însanî merdî.	Hundreds of thousands of people died from both sides	just what headsman each of them belonged.
Waştişan rê cewab nêno dayene.	The requests will not be answered	after sending out the cable message for the information of a more or less attentive world.
Vengê ey zî weş bi.	His voice was nice as well	And although it was striking enough.
La ewro bê waştişê ma bimbarekanê ma ser o projeyan virazenê.	But today they conduct projects on our sanctuaries without our permission	but today without going to find out what we have to do with our socks.
Mi nê nameyî ra hes nêkerdêne.	I was not liking that name	I never liked the name.
nêşîyêno bifikirîyo.	He can't think	she can't think.
Ma nêwazenê warê xo biteriknê.	We don't want to leave our area	We don t want to get our wheels buffed.
Berê qedexeyî.	Forbidden doors	Let's have it in.
A şewi ma uja di mendî.	That night we stayed there	he had the room to night.
Nuştiş de hewce yo ke ti wendoxan rê çîyanê weşan û taybetan qisey bikerî.	It is necessary that you tell the readers nice and special things when you write	it is essential to the story to know in a fascinating and special manner.
Persê mi qedîyay.	My questions ended	I've run quite out of my questions.
Nika zî dore ameya enê cayan.	Now, it is the other places' turn	Now that he has arrived there too.
Derdormeyê keyeyî de kes nêasêne.	One could see nobody around the house	The house was so full of dense tobacco smoke
O wext bîle mi zaf raşt û fehmkerde nuşto.	Even then I wrote very rightly and comprehensibly	then I became very much irritated and didn't understand.
Gereka yew televîzyon bibo.	There has to be a television	I reckon it's a TV reporter.
Kalikanê ma no ziwan seserran ra nat bi zehmetî ardo resnayo ma.	For centuries, our forefathers have transmitted this language to us with difficulty	our little inside joke has only been a little bit hardwork.
Çimke weşîya xo ebe tirkî ramenê.	Because they live their lives in Turkish	Teshifting the dust in the creases of her face.
Bi nê ambargoyî şar yeno cezakerdene.	The people are punished with this embargo	with these words he broke away and hurried off.
Tesîrê kamcîn nuştoxî yan zî kamcîn nuştoxan to ser o esto?	Which author or authors have influenced you?	which be the king's as well or that belongs to you.
Uslubê ci de qet tehmê kirmanckî çin o.	There is no taste of Zazaki in his style	clubwise there is no ice cream van
Nêeşkeno derbasê weverê awe bibo.	He cannot reach the other side of the water	They can t be a lot of friends there at the wind.
Labelê nê perwerdekerdişî hunerî reyde keno.	However, he does this educating in combination with art	taken the trouble to dress up with a style at his art.
Vateyo bîn gore zî inî defterî amey nimitiş.	According to another account, these notebooks were hidden	each had disappeared under the name of the first name.
Hema zî no problem hal nêbîyo.	The problem has not been solved yet	I haven t found the point yet.
