source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been doing it all day here.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	carefully administered the appointed number of drops
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want it to end up now.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	with a page, whom he had received
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	for the paper, which was already put into the newspapers
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	perhaps this lad was beginning to come into his hands again.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I'd have to expel the enemy.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	and the truth was that he was indeed found in the heart of the man
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	he asked, her voice rough with stress and fear.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I stole in on tiptoe.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet so well set out was it that it seemed that all he had done was repetition.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I held them out of my head and made them right.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	with the sagacity and smell of this bird enables him to discover his quarry at a great distance.
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I felt too much fluid in the onslaught of it.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	it is hard lines that I am not now in the same position as myself.
