source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I-a-are you going to pay it?
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	I was hoping you might have the wherewithal to take her, eh?
مي گۊلي-أ پخ بزئم	I cleared my throat.	I rubbed mine afterwards.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I shall have one of these little girls.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	I begged her to leave behind me as a pledge this pin
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	he removed his bed
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	he bent his head, groped with his mouth for hers, found it.
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	when my hands were tied in a mousetrap.
مي سرأ بشادم	I shook my head.	I cocked my head in a whirl.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	here it was clear that everything was absolutely clear.
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	pushing his pocket handkerchief on the speaker.
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I held one hand out to take her, guessing.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	perhaps she could have sighed
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I do not mention, or intend, to the squire, to have a wife according to me.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought it might take some important matter.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I didn't expect you.
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	with a chimney sweep driving the hearse advised by the regular driver
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	but not without difficulty.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	the poor little puglet
چۊن ناخؤش بؤ.	because she had been ill	I don't see why you should.
خؤ عازمأ جزمأ کۊده	for he had made up his mind	he made a mouth at her
مزایأ سرأ گیفتن	the racers started.	you know, it all came together as a joke.
