source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	I've been doing it all four hours.
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	wearing a thin silk slip
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I don't expect it all to happen.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	he tried to penetrate the old lady's passion.
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	for he took the paper from the standish table.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	but perhaps she will lose this good girl for good and all her time.
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	he intimated by a gesture of terror.
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	I really think he must have been a prisoner.
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	she asked, her voice rough with stress and fear.
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	but I awoke gradually.
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	with the trial, finding it impossible to swell up.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I wrote hastily in my mind, and in my verse I liked the note
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	as an unqualified fact because no obstacle stood between him and her.
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	but they were so upset
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I love life so much that I am unhappy.
بەڵام جە حاڵیە کە سەرو دەسا و زانویشاوە خزێنێ جە لێو گیاوەکانە لوێنێ وەروە بە تەقناو هەمزەمانو تفەنگەکاشا حوزورو وێشا ئێعلام کەرد و دماو تەقناو تفەنگی فرەیە جە سەروازەکا سەرو ئەسبەکەیشاوە کوتێرە واری.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but while they were busy smoking it and talking about it, the three of them responded to the arrest of their deployed squires, and the three of the guards pervaded the bridge.
