source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	with this he went to my master for four hours.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	in his present trousers and overcoatings
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I don't want it to end up now.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	if he was not willing to give the said minister a tweak by the nose
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	for a paper, a paper
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	I might lose this one dear girl, forever and forever.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	by a diffusion of egotism, of nervous irritation.
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	so he was really a prisoner
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	then gradually and by a continued exertion of strength and ingenuity
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet all the cautions and warnings were unavailing to evince.
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	so I got hold of the thought in my mind and turned the poet.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	on account of the impending difficulties.
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	but I was so sorry for that.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I love life, and I'm unhappy.
