source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	I held the clock in all four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	wearing a jacket and tie.
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I don't know what itching powder is.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	he tried to understand the old lady's passion.
روزنومه ره میز کنار جا بیته.	he picked up the paper.	put away my paper
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	but that he should lose the one dear girl.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	with a strong slash across the face, furiously commanded me.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	I really was a prisoner of the healers.
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	that he had caught a cold with the doors being left open
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I stepped softly down on tiptoe.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but they tell you everything was a mistake and a crime?
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	to express my view of the water, and to our rusticity of expression.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	but with the impression that he was in the same attitude
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	but I was very sorry about it.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love seeing her too, for she is so worn away.
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but suddenly he put his hand on its biceps in a fascinating but decorous d'shabill'.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	the landlord had taken care and pains to prepare for them the best supper that was in his power.
