source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I saw that he was by four o'clock in the same position.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	on his last night and his pair of pinstriped trousers
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I don't want it to be like this.
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	I intend to work to understand.
کاغەزەگە گردەو کرد.	he picked up the paper.	collected the paper.
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	who perhaps had tried to cheer herself for ever
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	I will swear to it, and then I don't.
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	had been, indeed, absorbed by him.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	she asked, her voice rough with stress and fear.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I strangled myself gently over my knees.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet all the daimons struggling within him, as though he had done.
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I stuffed the thought in my head and said it accidentally.
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	the golden egg, still damp from the bath, slipped from under his arm.
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	but I was so dreadfully afraid,
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I loved life too long, shy and happy.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but with a false step into the treasure bed, and then, suddenly shot with a gun that he had captured so many of the guests
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	as a man plunged into something more than chicory when he was married.
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	listening over the echoes of the waning years
م تەنیا تواێ ئێ خانمە بۊنم.	I must see the lady.	I just got to see her.
وە باوەڕ ت، ئەو ئایەم لێهاتیێگە.	he struck you as being pretty handy.	we feel sure he is a genius.
ئەمانێگ ئەو دۊر لە دەسڕەسێ ئەمنۊ.	but it was safe out of his reach.	but he was out of his reach.
گشت خەیاڵەیلم لە دەس دامە.	I have lost all my illusions.	I've lost all my thoughts.
ئیسە گشتیان بێ دەنگ، خاوەنەگانیان یا مردێ یا دەرچێ.	all of them silent now, their owners dead or fled.	now all were quiet, their heads dead or fleeing.
وە زۊییش تمام واز بۊ.	it soon stood wide open also.	soon dropped off, as quickly as possible.
وە دڵنیاییێگ لەناکاو و ساردکەرەوە زانسم کە یە دۊا ساڵ منە.	I knew with sudden, chilling certainty that this was my last year.	I knew with a sudden and cold certainty that it was over.
دەمم بەسۊم.	I kept my mouth shut.	I held my mouth shut.
ئیمە هێمان هایمنە ئەو جیە گ بۊمن.	we're still where we were.	we are still there.
زۊ ڕەسیمەو ئێ کلیلە ئەڕا چەس.	I knew immediately what this key was to	I've already realized what that key was.
سە تۊەنی لێرە دۊرەو بکەفی و تەنیام بیلی.	so you can get the hell away from here and leave me alone.	so you could keep me out of here and be left alone.
ئەمانێگ کەس نەوێریا دەسوەردان بکەێ.	but nobody dared to interfere.	but no one dared to touch you.
یا دیا لە سەرێ.	or knocked on the head	or it had passed over his head
لەورە تا نزیکەیل شەو مەن.	there he remained till nearly nightfall	there they prolonged their usual orgies late into the night
چمانێ سەردەمانێگ یەێ وراز گەورای کوچگین بۊە.	as though it had once been a large stone pigpen	like a shiver running down his spine.
ئەوە ئڕا ئەو وەژان و قورس بۊ.	that was painful and difficult for him.	it was heavy and forlorn with life.
بووەخشی لە تەخت خەو کیشامەدەو دەیشت.	I'm sorry I've dragged you out of bed.	I'm sorry I drew you out of bed.
کات ئەوە هاتێیە بەیدەو لا.	it's time for you to step aside.	when he might have led you away.
هە ئەو جوورە گ نەتۊەنسم ئەنجام بەم.	as I could not possibly have done	as I couldn't do.
گومان نێرم گ ڕەسیە ئاخر تراژیک ئەو.	I have no doubt that it led to his tragic end.	I am sure it has brought you to the end of tragedy.
کاتێ گ سیخەگە لە ئان هاتن دزەیل ئەڵگرت	when he got the poker in case of burglars	while he seized the spider from among the thieves
فەرمان ئەسبەیل سوور دا، خزمەتکارەگەم.	ordered the sorrel nag, my fellow servant	I ordered the red horses, my servants.
ئەوان قەت لە یەێ سڵام و کێخوەشی فەرمی فرەتر نەچۊن.	that they had never gone further than formal greetings	they had never seen anything more than a formal greeting or happiness.
ئەمانێگ پێچەگان لە شوون خوەیان بۊن.	but the bolts were in place.	but the whipcord breeches weren't altogether out of their mind.
خوەشاڵم کە ئەو سەر وەخت هاتەو جی.	I'm glad she got back in time.	I am glad he is back on time.
