source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I've been waiting a quarter of an hour
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	a pair of shoes and light summer trousers.
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't need to tell any more.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	took a great risk, offering the old lady his intention.
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	diary put him under his desk
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	I shall be the proofs and explanations of this beautiful and accomplished lady.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	he had thrown it at me
کلاید راس راسَکی اسیر با	so truly was he captivated.	I'll make you a real prisoner.
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	she asked, her voice rough with stress and fear.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I don't know.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but he felt it necessary to assert himself.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	I just held the thought in my head when I held it in my head
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	it was not their way to suppose any evil could be told.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	but I made a good match with them.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I'm gladZilla was there, and I'm unhappy.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but presently died wholly away.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	the searing, destroying power of such a thought as that
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	when the sound of a voice, still listening
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	I was hoping she might just get the chance to see her.
اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	he struck you as being pretty handy.	she'd have thought it vaguely wicked sort of decadent and foreign and aristocratic to keep later hours.
اما بْزبْزَه چِه دایرَه کو دور مَندا.	but it was safe out of his reach.	but the bundle remained at arm's length.
چْمْه ناجِن همه بْ باد شینَه.	I have lost all my illusions.	I expect it all to happen.
چَوون صِیِبِن یا مَردَینا یا دَوَشتَینا.	all of them silent now, their owners dead or fled.	some spoonies orforks and knives and salt and pepper sets
هْم زودیون اْم روکَه خْلْ ایلَه راهی شی آمادَه آبو کْ بِش و بِری بْکَرْن	it soon stood wide open also.	so he must make haste to the door
ایی دَفَعی فَممَه کو اْم دِ چمه آخرنَه سالَه	I knew with sudden, chilling certainty that this was my last year.	I came to a very keen realization that this was the last year.
پس چْمْه دَنی دَوَسْمَه.	I kept my mouth shut.	I shut them again.
امه فلا هَه جایی مَندیمونَه کو پیشتَر مَندیمونا.	we're still where we were.	we are not likely to fall into mistakes from excess of optimism.
زوتَری فَمْمَه کو اْم کْلیل کاری شْنا.	I knew immediately what this key was to	I speedily found it would be impracticable to retain my charge beside me, as heretofore.
پس ت ْ شای اْشتْه را بیگِری و بْشی و مْن تاکیلَه پس بَهَرزی.	so you can get the hell away from here and leave me alone.	you would have sufficient thought for both yourself and her.
ولی کسی نییاری کاری کو دخالت بْکَری.	but nobody dared to interfere.	but she had nobody to do anything.
یا عْمکو ناخْدا اشتن کله چاکْنْه	or knocked on the head	or it would be making the captain a mistake.
آنسلم تا آفتاوی نْشتِه موقو ها مَندَه	there he remained till nearly nightfall	she was not afraid of waiting for the sun to wane again.
چه اصلییَه ساختْمون سنگَه خواَ لونَه اِستا	as though it had once been a large stone pigpen	laying the main sail of the main building.
ام دردناکَه سَختَه کاریا	that was painful and difficult for him.	our mustering, destroying power of such a thought as that
متاسْفیمَه لْکْلاکو تْه بَرونتْمَه بیرون.	I'm sorry I've dragged you out of bed.	I'm sorry I let you out, madame.
چه وقت آرَسَه کو تْ کَنار بْکَشی	it's time for you to step aside.	when I got round to him, not he.
هیچ وقت مرا ایمکان نداری	as I could not possibly have done	you can never get much out of me.
از شک ندارم کو چه مرگی باعث به	I have no doubt that it led to his tragic end.	I am sure that it was really the cause of his death.
ای دفه ای فیکری نه ک دز اومه و شومینه بسکی پیگتشه	when he got the poker in case of burglars	only thought of a pack of thieves and scapegraces.
کورانه اسبی ک چم خدمتکار و همقطارا فرمون دوشه	ordered the sorrel nag, my fellow servant	the three horses and the cannibals, went into the room with their servants.
البته فقط ایله خشکَه سلام علک	that they had never gone further than formal greetings	I'll say it's only a doggone shame!
خواستشه درآ ویندشَه بر دله کو دوسیَه.	but the bolts were in place.	pursued the fellow, surveying the range of closed doors.
آخا تا هَه روز چیزی صِحِب آبه نیا کو غرصه هرده ارزشی بداره	I'm glad she got back in time.	because he had never seen anything so vital in the morning.
ولی مْرا چْه مونی ام بدبختی تمون چمه گردن دَلَکَه	but I take all the blame upon myself	but to me, the skewer seems loosening out of the middle of my career.
تْن تَری اْشْتَن چِمون اَی کو گاردْنْدْشَه	looked quickly away.	you would have taken it out of your cash box and brought it to the court.
جنگل الان سییا کو آبَه رَش!	the forest was gray now instead of black.	now it colored thick with water!
ام کار تمون اَمَه لَسَ شْل و پَلو آکَره	which disposed us to sloth	we will lose the temper on the slightest provocation.
اْم والی تا هَدَه چی تَرسی را بانِه کَردَشا	that so much invested the whale with natural terror	but then it made another rush forward.
امی را کو دِ ِنخای شَوونَه کیله بْوینی تصمیمش گِتَه کو اْشتَت وطنی کو بْشو	in order to escape from her, he determined to quit the country	when we came to the counting house to see who must stay to mind the goats of all.
