source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	Now, with indignation that they had all snub noses,
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	I enjoyed it much.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	This is a sound precaution, and may be a necessary preparation.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	Does this like talking of knights errant also.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	everybody must put up their minds.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I, too, was given an appointment at the green bench.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	for the rich among them that are gone out of the country and begin to come down and dance.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	We see people coming to the rescue of their illusions about the first puzzle,
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	whose face is like the masts among us.
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	bent over the body.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	You just tell me what you think drama is about!
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	Our country is under the necessity of seeking a livelihood.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	WILL you read the dim glare of the embers.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There is only one thing which people cannot write.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	It was the kind of stiffness you know will help me perform the countercurse.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	This tent doesn t make the water tray.
Ez koma her dîyan a.	I am in both groups	I'm all of them at once.
Her çî wextê ey esto.	Everything has its time	There's time enough!
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	If you have not seen it before us
Dima sond dekerna û beyraqe dîrege ra arde war.	Later, he recited the oath and pulled down the flag from the pole	then dropped and stumbled over the fire.
Kifş o ke cuye o tayê rew hincirnayo.	It's evident that life has worn him down a bit early	He s a little bit of a mothers boy.
