source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I'm going to need a bit of huff and puff.
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	I'm going to need a bit of huff and puff!
مي گۊلي-أ پخ بزئم	I cleared my throat.	I'm going to eat a variety of chopsticks.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I'll tell you the first time I'm going to sleep in a house arrest.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	They thought it was a common way to defame the party or create suspicion within it.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	or to trick us, now that we certainly have him in our hands!
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	I was left in a hurry to get up and stand a little further away.
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	when my arms floated against my pocket
مي سرأ بشادم	I shook my head.	I shook my head.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	now it all cuts both ways,
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	He cut his hair off his face.
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I've got a bit of blood on your right lip, and you can take it from me.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	ou bring it, missy, and lay it down here
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I'm not talking of being among the men I know a woman - not a woman.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought it might be useful.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I didn't expect to see you here.
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	He's wearing a black mask from outside his pocket.
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	but I'm not quite in earnest yet.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	The black hole didn't stop.
چۊن ناخؤش بؤ.	because she had been ill	for she was in a bad mood
خؤ عازمأ جزمأ کۊده	for he had made up his mind	I've been counting.
مزایأ سرأ گیفتن	the racers started.	the price would be nice, very nice indeed.
نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	has the last featuring blow at events.	He never had the opportunity to do anything about it.
آلبت ایتأ دۊتأ اۊشان-أ تفریح وأسي رأ تاوده	I doubt if he's gotten that far yet in fact, I'm sure of it.	the daughter of one of those beetles looked at it.
سرأ گیفت شعرانه حیفظ-أ کۊدن	went to work to get his verses	They remembered poetry in their pocket.
اۊن ٚ ناقۊشي چاقأ کۊدن ره اۊن ٚ أمرأ شيريک بۊبۊست.	be represented as a partner in his own cure.	That's why Edward was under so much pressure that he couldn't stand it.
روٚقد نأرمۊ	I am out of spirits.	he was not particularly uncomfortable.
هني بنماست کي کي واخاب نيه ایتأ گل اۊیأ ايسأ	to avoid betraying that he knew she was about.	it was like he wasn't among the number of those who voted for the king.
شيمي اطلاعات نيشان دیهه کي خؤرم ٚ زأک ؤ ذات ٚ خۊش بۊ	if it had been favourable to the boy.	you don't have any insides or information about whether you're a suspect in a war or not.
حتأ ایتأ پئلي أن ٚ لیواس جيرأ تکان ندأ بۊ	had not so much as altered one angle of his vest.	I don't think he was pulling any of this under his arm.
راستؤف اۊ قضيه پٚسي دئه خؤ خانواده ٚ داشت ؤ دارائي اۊمۊر ٚ جأ خؤرأ وانسي	said he to himself, and after that he did not meddle in business affairs.	Actually, it was part of a story for himself.
یاواشيکه بيشئم خؤرؤم بار ٚ مهمانانه ورجأ ؤ ایتأ دۊتأ ايستکام وۊکۊشئم بۊجؤر	I sneaked off to the private bar to have a pint or two before dinner.	I gradually adapted myself to my current circumstances from the comfort of my daughter.
هتؤ کي ساغ ٚ جان ٚ مرأ جه ایأ دۊوارس ترأ گؤیم	I'll tell you as soon as she's safely away,	as if we were bound for the sea
مۊ أن-أ نۊبۊردم اؤیأ کي أن-أ بۊکۊشم	I didn't go upthere with her with any intention of killing her.	I-I didn't know if I'd be able to do that.
هیذره خؤرم نیؤ کي گٚل، سفر بۊشۊ دکناپره	not a pleasant night for a dip in the sea	I don't need to tell you not to go anywhere.
مرأ ترسأ گیفت کي وارش ٚ جئر زنگ بزنۊ یأ سرما بۊخۊره	I thought it might get rusty with the rain, or catch cold	the sea breeze had set in higher than usual.
خؤ حوسأ هممأ اؤفتن ٚ سٚر بنأ	became absorbed in it.	He was determined to break up with all the forces.
مي حقسأی ٚ بۊکۊدم کي ایتأ مۊدیرعامل ٚ بازاریاف ٚ مأنستن آرام به ٚ چۊم بأيم	I'm trying very hard to look like a relaxed business class top marketing executive.	I was asked to report to him the details of how the marketers were going to be able to keep a quiet eye out for him.
اۊن ٚ مرأ لا چأکۊدم	we'll have enough of it to stuff a sofa!	I'll meet him here.
مچه پیله مۊئن جه ميئن بيشأ بۊ	all the hair had gone from her face	there being more of them, more boisterous than ants
أن وأسي کي تاهسأ هئکس اۊن-أ نامۊخت-أ بۊ	because nobody had taught him.	unless she were actuated by someone else
أن جٚمعیت جأ هلماله پن نفر ٚ جئن ويشتر مردأک نيسأبؤد کي کسانأ بشنأسيد	there were never more than five men who knew each other.	in the taste displayed in furnishing, and the rapidity with which it was executed
کي تۊ هادر دیل سنگي کي مرأ غؤرصه جیگیر بۊکۊدي	you could be so hard hearted as to let me suffer so.	who had left the stone in the body of a disapproval she had never known before.
هسأ ساعت دۊوازأ کرأ فأرسۊ	twelve coming on to pass away.	I'm getting off the train at 12:00
هانقدر تا هیجدأ سال بۊستن	when I am eighteen!	so they had counted for fifty years
آئیني لافندان جه ای پئلي تا اۊنپئلي بي واچرسئن دۊمباله دأره	the iron bandstraversed it from side to side without any break.	bound together by a great theater, to descend from one to the other.
اۊن-أ خۊشانه سراسر بداشتيد کي تۊفنگ-أ اۊن ٚ دس ٚ جأ فیگیرد	stopped him in the vestibule and tried to take the pistol from him.	B-but they were glad to have noticed that the tempest ten minutes after he struck them in the mouth.
اۊنأ منت بۊکۊدم کي حؤصله ٚ بۊکۊنه ؤ خؤ قصصأ بۊگۊیه	I begged his patience to hear me tell my story	to whom I shall make such excuses that she will be led to approve of his story
ایتأ ایجرأ سۊبي مأنستن کي گل خؤ شائي-أ ؤ ناجه-یانه اۊن ٚ جأ بکارأ گیره	a wheezy performance, into which he threw much ambition and an irrepressible hopefulness.	in the taste displayed in furnishing, and in the rapidity with which it was executed
ایدفأ همتتأ پس بينيشتن	but this time all had come.	you'll meet me tomorrow.
ایتأ مردأک کي هلماله نیدأ بؤم	whom she had never seen	a man I had never seen before.
أن ٚ سرأيم دوستأ بؤد	his head was bandaged with a linen cloth.	fell in love with her.
مخصۊصن کي ایتأ سواد داره گل ٚ مأدۊ سئر ببۊ	especially if the educated ones have their stomachs full.	especially if he were a man of highbred appearance and culture.
مۊ وأسي مه نقاب-أ ویگیرم اگه مأ گرمأ کۊد	I shall take off the veil if I get too hot.	I should have upset my blanket if it warmed me.
مي نظر بياتر أن ايسه کي نامأ هایأ تۊمان-أ کۊنم کۊجه باسلۊق چأکۊنم	I think we'll stop now and make some fudge.	I've a mind to take the risk in my life.
مي ناجه أن ايسه کي اۊقدر کي مي زؤر فأرسه تي رٚضايت ؤ آسايش ٚ واستي حقسأی بۊکۊنم	I hope I shall do everything to your satisfaction.	I heartily wish I could do enough of his own desire.
هیچ زمات طلاق-أ نیگیرم	I'll never divorce him,	I didn't get a divorce at all.
اگر نۊبؤسته بۊ هن رۊزانه به	there will be.	If he doesn't need to go to the shelf.
وشتن کۊدنه مراسم ٚ مأنسۊ کي مره سۊتال بۊ	like the prom, for exampleseemed silly to me.	which was closed for it was the occasion of much present enjoyment.
يني اۊجۊري کي بياتر جه اۊن نؤبؤسته تي دیل-أ سيني جأ بيرين بأردم	I took out your heart as well as I could	I'll take another route to the center of your thousand.
همسائيان خۊشانه شائي-أ جه دس بدئن	every face in the neighbourhood worsting	your neighbors will take a leave of you.
یاواشکه بۊگۊفت کي شازدۊ خۊفته ؤ تۊندؤتأکیته درأ دٚوٚست	reported in a whisper that the prince was sleeping, and hastily closed the door.	Or will He raise him up, and the prince will be raised up above him.
ایتأ پاصدایأ بيشنأوستد	there was a scuffling outside	Listen to me as soon as I can.
مۊ اۊن ٚ گب-أ هئکس ورجأ وأسي نزنم	I was to say nothing about him to anyone.	I'm not going anywhere with this guy.
اسپیدتر آف ٚ جأ	clearer than the water.	speed up
امأ تنأکه هن نۊبؤ	that wasn't all	that he had not even presence of mind enough
بمانستم کي شاید مرأ دسبازارأ گیفته	I wondered if she was making a fool of me.	I was left with a strong idea that my husband might be wrong because of Beck's suspicions.
مۊ یاقاراني-أ مأطلم ؤ کاري نأرم	I haven't a cent in my pockets, and nothing to do.	I'm not doing any good here.
مۊ اۊ فؤرصت-أ پيشأشؤ بيشئم	I welcomed the opportunity.	I was like giving him that tortuous opportunity.
رایأ نتأنم بيافم	I can't find the way.	I can't get to the point.
کار ٚ مرأ سقت سرگرمي داشتيمه	he was very busy.	I kept busy for a long time.
دۊر ٚ جأ مألۊم نۊبؤ	not noticeable at a distance	I'm not far from here.
ایمرؤيي ايسئم، فردائي نيسئم	I'm alive to day, but to morrow	I reckon he'll be back tomorrow.
مۊردیم کار ٚ خأني	about the way people work	I've been assured of your husband's doing well.
بي خابي جأ جندؤپري مأنستن بۊبۊسته بؤم	I was a zombie of sleeplessness.	I have to get out of this anyway!
خۊ کۊلایأ میز ٚ سٚر تاودأ	threw his hat on the table	He threw himself on the table.
خایله محبۊبيت داشتي	she was also very popular.	You're so fond of it.
ایتأ گل ٚ دیگرأ داشتیمه گۊ مي رافأ أسابۊ	I had someone else waiting for me.	I had another tremor, and that I fell on my knees.
هتۊ کي گي خؤ تصمیمأ بيگیفتأ بۊ	as though he had suddenly reached a decision	As if he had made a decision.
بأزین هایوأره خؤ لبظأ وأگردأني	suddenly changing his tone	Then he turned away from the plot.
البت کي مي خاطر جأ دره	I do remember.	Of course, for my sake.
پۊر ماندي بۊکۊدأ بۊ	she was also very tired.	it was impossible for him to continue walking abreast.
درجک ٚ جأ بيرۊنأ فندرستم	I look out of the window	I looked out of place.
اۊن ٚ جأ چئي بخأس	I asked her for tea	He put her in front of him.
مۊ ایتأ پیله تاجر ٚ زنأک نيئم	I'm not a top businesswoman at all.	I'm not a big dealers woman.
خلک ٚ جأ همۊ چیأ فأگیفتین ؤ اۊشانأ هیچي فاندئين	receiving everything from society and giving nothing in return.	But they were completely out of touch with their own ideas.
خایله بۊک بۊکۊدأ بۊ	she had become very serious	It's almost as if it's lost.
تي قؤلي خایله خۊشک ايسه	so very dry, as you say.	You have a mind to own a dream.
مۊ تأنم اۊشانأ یاور بدم	I can help them.	I can kick it open if you want.
