source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	I was delayed an hour until the end of the fourth.
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	pulling it all out of his mouth.
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I don't want the whole experience to be over now.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	He tried to raise the old lady's feelings.
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	He put the paper on the table.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	This beautiful, cultured lady may have lost everything.
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	I received a threatening sentence from the constitution.
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	it was indeed a sorrowful cry.
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	they were frightened, and they were in a state of fear.
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	I'll learn him slowly and knowingly.
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	you will find me in the same way as I am in the story.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I ambled along at a gallop, and I paused.
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	she suspected that the circumstances were consistent with his condition, and that she was in a straitjacket
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	but they were very dissatisfied.
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I love so much of my life. I am unhappy.
بەڵام جە حاڵیە کە سەرو دەسا و زانویشاوە خزێنێ جە لێو گیاوەکانە لوێنێ وەروە بە تەقناو هەمزەمانو تفەنگەکاشا حوزورو وێشا ئێعلام کەرد و دماو تەقناو تفەنگی فرەیە جە سەروازەکا سەرو ئەسبەکەیشاوە کوتێرە واری.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but while he was on his knees and knees in the creature's clutches, he opened his arms and then cut his rifle in half.
پسۆ ژیمناستیک کاریە کە پی کاریە عادەتش هەن	like a man accustomed to that kind of gymnastic exercise	He's back in position and used to that sort of thing.
گۆش گیرتەی جە دەنگدانەوەو هەنگامەکا ساڵانی	listening to the echoing footsteps of years.	as indirectly touching her annual walk.
