source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	I walked up and down the room for four hours.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	You're wearing the black mask before me.
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I don't want the adventure to end in this way.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	was that the young girl hadn't come in
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	The paper was up on the table.
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	Better that little girl's husband threw you away.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	had been stricken in the face of the enemy and threatened to come in.
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	That's why he's really armed.
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	I ambled along at a slow walk.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but if it should be anything else, it must be confessed.
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	I can't talk about it here, and it really hurts so much.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	in the same way that the bucket was about to fire.
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	but I'm very sorry about it.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I love life, and it's very unfortunate.
ئەمانێ ڤە حاڵێکەێرە گ لەمەسوڕکییان بی، دەس و پاوانە مییا، ڤە ئەژ لاوەلا چوروو و بتە مەهەتنەو نووا. ڤە ئاخرەێر کول ڤە یەکا گولەوان تەقان و حوزوور وژان ئاشکراوا کرد. ڤە دوما ئە گولەتەقاننەلە فرەهان ئەژ سەربازەل ئێ سەر زێن ئەسپلەوان کەتنە هوار.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but with one interesting but decorous d'shabill'.
جوور ژیمناسیککارێ گ هووکارە ئێ کارەسە	like a man accustomed to that kind of gymnastic exercise	It's the kind of work they do.
گووشە میاێ ئەر دەنگ شوونە پا زەمان	listening to the echoing footsteps of years.	I heard a noise on our feet.
م فەقەت مەێ ئێ ژەنە بۊنم	I must see the lady.	I'm not alone on this beach.
ئەێ تونێرە ئاێم دەردبهوەرێکە	he struck you as being pretty handy.	I think you can kick it open if yousay so.
ئەمانێ سووسک ئەێ دەڕەس ئەو دۊر بی	but it was safe out of his reach.	But the sauce was very far away from him.
گشت ئاوەخت و ئارزووەلم دریاوە ڤارا	I have lost all my illusions.	I have upset all my hopes and aspirations for you.
ساێلەوان یا مردۊن یا هەیواوین	all of them silent now, their owners dead or fled.	They're alive or dead tonight.
ڤە زۊیی ئێ توڕەکونا گوجەرە، ڤە شێڤە ڕێ ئەڕا ڕەدبین گورج بییەور	it soon stood wide open also.	In the heat of anger, the wolf was out of his way to deal with the whale.
ڤە یەێ قەتئییەت ناهەڵمانە و دڵسەرداکەرێ فەمیم گ یە دوماێن ساڵ منە	I knew with sudden, chilling certainty that this was my last year.	in a fascinating but decorous d'shabill'.
سە دەم وژمە بەسریا هیشت	I kept my mouth shut.	I've been blabbering non stop for an hour to this complete stranger.
ئیمە جارێ هایمن ئەر ئە جاێ گ هووسیاویمن	we're still where we were.	We'll be back in place again.
دەرجا زانستم گ ئێ کلیلە هن کوو بی	I knew immediately what this key was to	I knew it was locked.
سە تو مەتۏنین سەر ڕێ وژت بگرین و من ڤە تەنیا بیلین	so you can get the hell away from here and leave me alone.	so you can take the risk and leave me alone.
ئەمانێ کەسێ زەڵە دخاڵەت ڤە کارەێرە نیاشتێ	but nobody dared to interfere.	But no one was willing to do anything.
یا یە گ ناخودا سەرە مەشکنتێ	or knocked on the head	Or do we tell the truth when Tom came home?
ئەو تا نزیکەل ئێوارە ئەر ورە مەن	there he remained till nearly nightfall	he would remain near it until the evening.
گ ساخمان ئەسڵییە ئەوە، یەێ ڕووژێ لانەهۊ کوچکێنێ بی	as though it had once been a large stone pigpen	as if it was only a few steps towards her that day.
یە کار سەخت و پڕ ژانێ بی	that was painful and difficult for him.	It was a busy end.
داخم ئەڕا یە ئەێ توو جاکەت ئاوردینمەێرە	I'm sorry I've dragged you out of bed.	I'm sorry I've brought you this jacket.
گ ڤەخت ڕەسییەسێ تو کنارەگیری بکەین	it's time for you to step aside.	urged her to run away when it was too late, and he was gone.
ڤە هۊچ شێوەێ ئمکانم ئەڕان نیاشتێ	as I could not possibly have done	I have no way out of this.
شەک نەێرم بیتێیە بائس ئە مردن ژەڵاوێنە	I have no doubt that it led to his tragic end.	it was not difficult for me to guess that it was to embrace the giant.
