source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	I did it in four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	the skin of which was covered with a fine down.
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I don't want the adventure to be yours.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	He tried to understand the old lady.
روزنومه ره میز کنار جا بیته.	he picked up the paper.	I sat at the breakfast table.
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	but that cute little sister might take it from you.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	He ordered me to spend the night doing something.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	in the face of all the haughtiness she had been born,
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	he was frightened and lost his temper.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I've been walking slowly and gently.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but still he was a witness of everything he had seen and heard him blameless.
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I had a few words written in poetry.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	with the mentality that it is the proper thing for true knights errant
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	but I'm very sorry about them.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love the sight of you. It's very unfortunate.
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but when he put his foot down, and put his foot down, and looked into the foreground, the firepowered armor that he had left behind him, was too much of a broken bone.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	It was the same way he used to do it.
زمونه لینگ چمر ره گوش دا	listening to the echoing footsteps of years.	He then looked at the opportunity to walk on it.
من فقط ونه این زنا ره بوینم	I must see the lady.	I'll just see this woman.
ته نظر هم آدم به دردبخری هسسه	he struck you as being pretty handy.	you think you're in a lot of pain, too.
ولی سیس ونه دسرسی دنی بیه	but it was safe out of his reach.	But the hair was no longer his control.
مه تموم امید و آرزو همه به باد فنا بورده	I have lost all my illusions.	all my hopes and aspirations for the wind had run out
وشون صاحبون یا بمرد بینه یا فلنگ ره بدا بینه	all of them silent now, their owners dead or fled.	They're either dead or fleeing.
خله زود این کچکی گلیا اتا گذر رای واری آماده بییه	it soon stood wide open also.	Soon this little girl was ready to get out of the way.
ناگمونی بفهمسسمه که مه آخری سال هسسه	I knew with sudden, chilling certainty that this was my last year.	I didn't realize it was my last year.
پس شه دهون ره دوس بیمه	I kept my mouth shut.	I loved my revue.
اما فعلن همونجه هسمی که اس هکرد بیمی	we're still where we were.	but we're actually in the same place where we are.
اندریک بفمسسمه که این کلی کجه شه	I knew immediately what this key was to	I understood perfectly well where he was.
پس تو توندی شه را ره بیری بوری و مه ره تینار بلی	so you can get the hell away from here and leave me alone.	forget about it, and be careful of me.
ولی هیچ کس جورات ناشته کار دله دخالت هکنه	but nobody dared to interfere.	but no one was to stir up the feelings of anger.
یا اینکه ناخدا ونه سر ره اشکندنه	or knocked on the head	Or do we tell the captain to come after the war?
آنسلم تا نماشون گدری اونجه بمونسسه	there he remained till nearly nightfall	I'm afraid they'll leave him alone for a while to get in the roof.
که ونه اصلی ساختمون ات روز ات تا سنگی خوکدونی بییه	as though it had once been a large stone pigpen	which was built by an architect who had a mind of iron and steel.
اینتا اتا دردناک و سخته کار بییه	that was painful and difficult for him.	It was a painful, painful embarrassment.
عذر خوامبه که ته ره لای جا بکشیمه دیا	I'm sorry I've dragged you out of bed.	I'm sorry I crossed the path.
این گدر برسییه که تو کناره گیری هکنی	it's time for you to step aside.	that's when you're going to cry.
هچ را مه واسسه امکان ناشته	as I could not possibly have done	but it was impossible for me to do so.
شک نارمه که ونه بد بمردن باعث بییه	I have no doubt that it led to his tragic end.	I'm sure it's the cause of his death.
اون گدر به این خیال که دز بییمو تَش کَله سخ ره بیته	when he got the poker in case of burglars	He thought I was a thief, so he said something.
کرند اسب ره ینه مه خدمتکار و مه هم قطار فرمون هدا	ordered the sorrel nag, my fellow servant	the landlord had taken care and pains to prepare for me the best supper that was in his power.
البته فقط ات تا رسمی سلام علک	that they had never gone further than formal greetings	but only as a matter of sanity.
خواسسه دله بوره در ره دله وری دوس بدییه	but the bolts were in place.	He was willing to leave the door and enter the room.
من خشالمه که و خاره موقع دگرسسه	I'm glad she got back in time.	I'm glad he's back in time.
ولی مه گمون گناه این بدبختی، همه دره مه گردن	but I take all the blame upon myself	but I think it's very unfortunate, if that's what I mean.
زود ونه جا چش ره بیتا وره نشا	looked quickly away.	but he made haste to look at her.
پدیار اسا از سیو به رنگ خاکستری در بییمو	the forest was gray now instead of black.	the pallor and anguish expressed on his countenance as well as on his countenance
این کار اما ره تنبل و سس کنده	which disposed us to sloth	but it's rotten nonsense.
که این وال ره جوری هکرده که اینتی ترس ایجاد هکنه	that so much invested the whale with natural terror	in a way that would make him fear a terror.
از اینکه اون چپون کیجا ره نوینه دیگه تصمیم بیته که شه مله ره سر اله	in order to escape from her, he determined to quit the country	having left the room she had decided to return to her sewing
هچ شه جا راضی نییه	her mind had no distaste for her own set	He wasn't comfortable with anyone.
کلاید شه تعهد ره از یاد بورده	the obligation faded.	he had forgotten his duty altogether.
بوا هم امون ندا و زمین و زمان ره دپیته	I never see the wind blow so.	as if he were not himself, and had been stricken
ولی شازاده وره پیش دکته	but the old prince interrupted him.	but the prince restrained himself from it.
ناگمونی تند شلاب جا رته رم بییه	turned into a rout because of a devastating downpour.	I don't know if I get promoted.
اونجه ره برای اینکه بعدا امه همکلاس و درس بووه رج هکردمه	arranged it for the future schoolroom.	I left it to my classmates and for a while to study.
من کشیش هسسمه و ونه از هر فکر بدی شه جا دور باشم	I am a priest and therefore I ought to be above suspicion	I'm the chaplain, and I'm afraid I don't see any point in troubling him.
هنو با هری شیش گوم فاصله داشته	still lying on the staircase six steps below him.	he was lying three feet and six feet away.
شه دقیقه تموم اسب حرکت ره اشا	watched the horse's action for the space of three minutes	He said the last minute that the bucket was ready to run.
ولی فکر هکردمه که غم و غرصه چیزی هسسه که بهرحال آدم ره دس دنه	but I thought grief was something you felt anyway.	but I thought it was some strange circumstance to raise no common degree of astonishment.
از پله بالا بورده تا راهروی دله برسییه به ات تا در	went up the staircase to a door in a corridor.	He climbed the special stairs to the back of the passage to the door.
هرچن این زمت مزی که خرند باشه نداشته	though with but small success for their pains.	though on the table he had no crime to eat.
همینتای سسه ات تا وکیل ره واسطه بیته که کار ونه جدایی از وه ره درس هکنه	but sent an intermediary to arrange the terms of the separation	So he turned to the lawyer to see if he could break away from him.
چون پیشترا این همه نیاز ناشتمه تِن بائم	for I have never had such need of haste before.	for I have never been wanted, before.
از دستوری که ونه مردی وره هدا	at the orders her husband left her	of the deed which her husband had bestowed upon her
