source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I stayed up for four hours.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	the father shouted.
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I don't know if you feel like a lion.
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	I'm using a bomb to hit him with that.
کاغەزەگە گردەو کرد.	he picked up the paper.	He put the paper together.
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	so that they may be blessed for ever.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	I don't go by the word of Allah.
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	which, indeed, had given him what must have been a very scratchy, whiskery heart.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	asked in a strange voice
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I raised my knees slowly from my knees.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	with that she did not fully understand the essential points of the impending battle
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I remembered this immediately, and I said in a shrill but distinct voice.
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	It seems that the circumstances were consistent with the circumstances of the island.
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	but I'm very sorry about it.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I had a long life, and it's a shame.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but at every turn it was discovered, and discovered only by a singlebarreled shotgun, which had been copied many times.
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	how worthy it would be for me to give you such torments and such raptures
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	as indirectly touching the annual accounts
م تەنیا تواێ ئێ خانمە بۊنم.	I must see the lady.	I'm just here to see this lady.
وە باوەڕ ت، ئەو ئایەم لێهاتیێگە.	he struck you as being pretty handy.	you believe, he is the chief exponent.
ئەمانێگ ئەو دۊر لە دەسڕەسێ ئەمنۊ.	but it was safe out of his reach.	But he was out of his reach.
گشت خەیاڵەیلم لە دەس دامە.	I have lost all my illusions.	I've lost all my imagination.
ئیسە گشتیان بێ دەنگ، خاوەنەگانیان یا مردێ یا دەرچێ.	all of them silent now, their owners dead or fled.	now they all died or came out, quietly.
وە زۊییش تمام واز بۊ.	it soon stood wide open also.	was soon overcome
وە دڵنیاییێگ لەناکاو و ساردکەرەوە زانسم کە یە دۊا ساڵ منە.	I knew with sudden, chilling certainty that this was my last year.	I knew for sure that it was my new coward.
دەمم بەسۊم.	I kept my mouth shut.	I shut my mouth.
ئیمە هێمان هایمنە ئەو جیە گ بۊمن.	we're still where we were.	We are still here to be.
زۊ ڕەسیمەو ئێ کلیلە ئەڕا چەس.	I knew immediately what this key was to	I've been looking for this key.
سە تۊەنی لێرە دۊرەو بکەفی و تەنیام بیلی.	so you can get the hell away from here and leave me alone.	so you can take the risk here and leave me alone.
ئەمانێگ کەس نەوێریا دەسوەردان بکەێ.	but nobody dared to interfere.	But no one dared to stir it up.
یا دیا لە سەرێ.	or knocked on the head	Or there's a blue hole in it.
لەورە تا نزیکەیل شەو مەن.	there he remained till nearly nightfall	I'll be here for almost a night.
چمانێ سەردەمانێگ یەێ وراز گەورای کوچگین بۊە.	as though it had once been a large stone pigpen	It was like a cold sunset over a mountainous desert.
ئەوە ئڕا ئەو وەژان و قورس بۊ.	that was painful and difficult for him.	she was upset that she was leaving him alone.
بووەخشی لە تەخت خەو کیشامەدەو دەیشت.	I'm sorry I've dragged you out of bed.	I slept out of the bed.
کات ئەوە هاتێیە بەیدەو لا.	it's time for you to step aside.	when he came down he made haste to the house.
هە ئەو جوورە گ نەتۊەنسم ئەنجام بەم.	as I could not possibly have done	I was frustrated that I couldn't do it the way I should and maybe the right way.
گومان نێرم گ ڕەسیە ئاخر تراژیک ئەو.	I have no doubt that it led to his tragic end.	I'm sure you're the last critic.
کاتێ گ سیخەگە لە ئان هاتن دزەیل ئەڵگرت	when he got the poker in case of burglars	when the thief comes in and takes him away.
