source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I've been here for four hours
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	the gentlemen balanced gold mounted canes between their knees.
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't need to tell this story.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	he was so busy that I could understand the old lady's view
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	dragged it up to the front of the dungeon to the empty table.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	I wish I could have seen that beautiful creature forever.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	I was finally allowed to bury him.
کلاید راس راسَکی اسیر با	so truly was he captivated.	It's full of iron and steel.
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	Her voice was stressed and feared.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I'll not be able to sleep that night.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but still they had a record of his having done so.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	I'd thought about it once, if'what I mean is, if you give me another chance, I'll do better.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	I don't think that's worth the trouble to give the place a hunt.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	but I've been looking for them very hard.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I am very glad I did not marry a woman. I am very unfortunate.
