source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	Now the angry people wanted to bury everyone.
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	My eyes are like two drops of blood from insomnia and fatigue.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	You have also found that it's been a dream come on.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	You have to know that they're performing or attracting each other's attention.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	It's almost as if everyone's imagination has been fulfilled.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I ve also closed the drawer.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	Because the young police took him out of the way and started looking for him.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	We have seen that in the past, people comment on their faith in the Bible.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	Who are the teachers of the art they teach.
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	It shattered the human image.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	It's almost as if it's lost to you!
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	Our country is under the easing of the customs policy.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	They wanted to take the heavy luggage.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There's only one word for when the end of the sentence is not able to be copied.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	This is the first step in which I will take the risk.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	It's a house where half of the water is not found.
Ez koma her dîyan a.	I am in both groups	I'm going to find them everywhere.
Her çî wextê ey esto.	Everything has its time	It's all said and done about it.
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	If you don't have the light, send it to us.
Dima sond dekerna û beyraqe dîrege ra arde war.	Later, he recited the oath and pulled down the flag from the pole	Then he sounded thirsty and thirsty because of the change in his emotions.
Kifş o ke cuye o tayê rew hincirnayo.	It's evident that life has worn him down a bit early	It's like a house on a stretcher bed.
Xora qeleme dest de hazir a!	The pen is already ready in hand!	The hat is firmly in the hand!
Yew hîkaya xo bi formê nameyî amo nuştene.	One of his/her stories was written in form of a letter	A story is told in a mysterious way.
Zereyê çimanê xo ra to de huyeno.	He laughs at you from within his eyes	The black hole is hidden within your eyes.
Kesî îtîraz nêkerd.	Nobody objected	nobody was looking.
Merdim ancax ziwanî ra bizano.	One can only know from the language	you must regard me as a plotting profligate
No kî çîyode zaf rind o.	This is a good thing, too	It's a very nice thing.
Yewna bi tirkî nengan çîneno vano ti çira vanê ‘kirdî’.	Further, the curses in Turkish and asks why you say 'Zazaki'	Again, it is not possible for you to refrain from expressing yourself.
En zaf kî kurmanckî de vînon.	Mostly, I see that in Kurmanji	You can see many people in the kitchen.
Ma wazenê kîşta tirkî de kurdkî zî bibo ziwano fermî û mekteban de dibistana ewilêne ra heta unîversîte bi ci wendekaran rê perwerde bêro dayene.	We want that Kurdish shall be the official language alongside Turkish, and that education shall be provided for the pupils in schools, from primary school until university	We want to teach the Turkish Cat to be an official person in the school until the end of the monastery.
Bi hezaran însanî merdîy.	Thousands for people died	They were both killed by a thousand people.
Rayraşîyayîşê dergî bi coşêkê pîlî qedîya.	The long journey ended with huge excitement	The delayed delay is over with a great deal.
Vateyê eseran zafîn aîdê min ê.	Most of the words of the works belong to me	I have a strong iron bee who flaps it.
Tena ferqêk tede esto.	There is only one difference	There's only one difference here.
Xulasa dewe de ma bi çimê dişmenan ewnîyayêne yewbînî ra.	In the end, we looked at each other in the village like enemies	In the middle of the road, we were covered in ice cream and milk.
Nika zî bi hawayêkê sîstematîkî hêrişan kenê.	Now, they are attacking in a systematic way	Now they reeling back with the heavy streets.
Hewna zî tu kesî ra yew îtîrazo pêt-cidî nêbi.	Again, there was no serious and strong objection from anyone	No one has ever been out of a hurry.
Ê ke nê qirkerdişî ra weş mendê hîna zî estê.	They are also those who survived this massacre	There's even more good reason why people don't like it.
Bombarduman heta saetan sere sibayî yê roja bîne dewam kerd.	The bombing continued the morning hours of the next day	the bomber men had lain for hours upon the breakfast table.
Senî ke ma tirkî badê cû musayî nika zî qicê ma ziwanê dadîyê xo dima musenî.	Just as we learned Turkish later, now our children learn their mother tongue later	And the birds have eaten our picnic food.
Her di hetan ra bi sehezaran însanî merdî.	Hundreds of thousands of people died from both sides	They both died together with their own adventures.
Waştişan rê cewab nêno dayene.	The requests will not be answered	They don't want to be interrupted.
Vengê ey zî weş bi.	His voice was nice as well	It was a good one too.
La ewro bê waştişê ma bimbarekanê ma ser o projeyan virazenê.	But today they conduct projects on our sanctuaries without our permission	But no need to worry about our own plans today.
Mi nê nameyî ra hes nêkerdêne.	I was not liking that name	I didn't like it here.
nêşîyêno bifikirîyo.	He can't think	she couldn't think.
Ma nêwazenê warê xo biteriknê.	We don't want to leave our area	We don't want to be interrupted.
Berê qedexeyî.	Forbidden doors	Acorns from the tail.
A şewi ma uja di mendî.	That night we stayed there	That night we were going to sleep.
Nuştiş de hewce yo ke ti wendoxan rê çîyanê weşan û taybetan qisey bikerî.	It is necessary that you tell the readers nice and special things when you write	You need to buy a special kind of thing for yourself.
Persê mi qedîyay.	My questions ended	I'm done.
Nika zî dore ameya enê cayan.	Now, it is the other places' turn	Now look where we are.
Derdormeyê keyeyî de kes nêasêne.	One could see nobody around the house	nobody had homespun stuff.
O wext bîle mi zaf raşt û fehmkerde nuşto.	Even then I wrote very rightly and comprehensibly	I think it is time for you to face something important and meaningful.
Gereka yew televîzyon bibo.	There has to be a television	Maybe it was a TV.
Kalikanê ma no ziwan seserran ra nat bi zehmetî ardo resnayo ma.	For centuries, our forefathers have transmitted this language to us with difficulty	Our haters have not been able to keep it from our knees.
Çimke weşîya xo ebe tirkî ramenê.	Because they live their lives in Turkish	Your eyes are like a mirror.
Bi nê ambargoyî şar yeno cezakerdene.	The people are punished with this embargo	who was suffering unbearable joint pain from this stroke.
Tesîrê kamcîn nuştoxî yan zî kamcîn nuştoxan to ser o esto?	Which author or authors have influenced you?	Who are you talking to you or are you talking to you?
Uslubê ci de qet tehmê kirmanckî çin o.	There is no taste of Zazaki in his style	There is no ice cream van.
Nêeşkeno derbasê weverê awe bibo.	He cannot reach the other side of the water	She couldn't keep her husband out of the deal.
Labelê nê perwerdekerdişî hunerî reyde keno.	However, he does this educating in combination with art	The label of the artwork combines.
Vateyo bîn gore zî inî defterî amey nimitiş.	According to another account, these notebooks were hidden	Perhaps you'll excuse me if I sympathize.
Hema zî no problem hal nêbîyo.	The problem has not been solved yet	That's not even problematic.
Nuştox derheqê gramerî ra zî zelal û beşekar o.	The author is clear and competent concerning the grammar	She is very serious and participating in the grammar.
Dewleta tirke û cergê ci zor danê ke kênayê efrînijî bizewijê.	The Turkish state and its goons	The country of fear and anxiety has become a plightful people.
Her çî zanayne.	Everything was known	It's covered in water.
Bi desan leşkerê tirkî û cergî merdî.	Tens of Turkish soldiers and goons died	He was killed with a tank!
Yanî gere ma zonê xo ra wayîr bivejîme.	Either we take care of our language	Or we'll get out of our way.
Vayî bî la halê mi zî hal nêbi.	It was expensive, but our situation was not alright	I was but am now back in position.
Ame vatene ke zafînê îna dû ra jehrî kewtî.	It was said that most of them were poisoned by smoke	it was like giving him the land
La ancî zî her serre newe ra eynî çî servîs kenê.	However, every year they serve the same thing	But no longer do they serve each other.
Dewe û bajar ferq nêkeno.	It doesn't matter whether village or city	The village and the city were no different.
Zafê yîne malbatî û pîrekî bî.	Most of them were family or old	many of which were family owned and used.
Sebre kî veyva xo ra vana.	Sebre tells that to her daughter-in-law	It shattered the human image.
Ez hêvî keno ke kirdkî bibo dara mazîyere û bi henzar serrî emr bikero.	I hope that Kurdish will become a	I hope the kid gets the right sex and doesn't try to hang himself.
Feqet êdî baş zanê ke no mumkin nîyo.	However, now they know well that this is not possible	But they realized that it wasn't possible anymore.
Ziwan erjo verên ê komelî yo.	Language is the first value of society	The birds are the first tumblers.
Çîyo muhîm o yo ke merdim hedefê xwu bizano.	The important thing is that one knows his goal	That's what people need to remember their aims.
Tarîxî nê veng û rengî kurdan rê kerdê dîyarî.	History has gifted the Kurds with this colorfulness / diversity	The sound of thunder and rumbling continued uninterrupted.
La nika mi rê ecêb nîno!	Now, I don't find it strange anymore	But it's not amazing for me now!
Ez henî fikirîyeno.	That's what I think	I remember now.
Homa zî înan ra razî bo.	May God bless them	they will still be friends
