source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been in this situation for four hours.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	he answered in a shrill but distinct voice.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't know if I feel like a darling.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	the pallor that he bore in his heart was not without admixture.
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	He put the paper on the table.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	these two gentlemen's letters have been with him forever.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I'm running a fever.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	She's really starting to understand the nature of women.
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	he asked, his voice rough with stress.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I got up and went out for breakfast.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet so well set out was it that it seemed that every thing that took him to do
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I could see the difference in my head and make it right.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	with that the loss of a sum of money becomes almost immaterial
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	But I felt it's over.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	I have the misfortune, to have been so much friends in my life,
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But they held hands and feet between their knees, and they only noticed the ugly word.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	It's like he's got the trains running on time and all his ducks in a row.
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	he wasted his time and attention.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I'll just have to see this lady.
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	I reckon you're cracking up too.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	but the eyes were puzzled by the availing himself of gold.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I've all my hopes and aspirations as well as ever I had.
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	the news of the departure of their master, whether they were dead or tory
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	he had indeed put off this very small circumstance.
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	I realized with a great deal of astonishment and some fear, that I was going to last year.
په دهۊنمه واز نکردم	I kept my mouth shut.	I won't tell you any more as long as I live.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	we were still asleep
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I understood immediately that it was locked.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	So take care of me and leave me alone.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	But no one insisted on doing so.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	Or do they tell the truth when Tom came home?
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	He'll be there until the end of his sentence.
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	that was the first day he was most anxious.
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	It was a hard, if you had any decency.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	I'm sorry I tricked you.
مجالشه که دی بکشی کنار	it's time for you to step aside.	when she sets herself to press a point
ز ته سیم امکانس نی	as I could not possibly have done	I couldn't possibly do you.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	I am sure it was the cause of his death.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	when he realized that he had been swindled
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	who gave orders to my lodge keeper and servant
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	dressed in full mourning as they do every year.
