source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I would have to buy it.
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	It's the right thing to do and the right thing to do.
مي گۊلي-أ پخ بزئم	I cleared my throat.	tell me that you are a coward.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I'm the first lady to dream of happiness.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	I was told that I shouldn't be bothered.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	It was a while before they found the mood to come out of it.
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	I've got the trains running on time and all my ducks in a row.
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	When he put his hand down, he could get a few knots.
مي سرأ بشادم	I shook my head.	I'll eat my own head.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	but now it is clear that
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	his beam of wandlight hit an extraordinary creature
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I've been telling you the truth when I'm in your company.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	The baby needed cow's milk to feed himself.
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	It's not that I'm as scrupulous as I should be these days.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought it might be better to start.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I didn't expect you to come.
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	the black serpent foundered, and left the young man paralyzed on the road.
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	but not so much that he fully understands his position.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	the papa doesn't have the misfortune to suffer under it.
چۊن ناخؤش بؤ.	because she had been ill	for it is rotten nonsense.
خؤ عازمأ جزمأ کۊده	for he had made up his mind	I'm telling him to come to dinner.
مزایأ سرأ گیفتن	the racers started.	they got the reward from the buckwheat porridge
نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	has the last featuring blow at events.	He struck the other man with his backs and put his hand down.
آلبت ایتأ دۊتأ اۊشان-أ تفریح وأسي رأ تاوده	I doubt if he's gotten that far yet in fact, I'm sure of it.	he had breathed it before, touched it surely, that very afternoon.
سرأ گیفت شعرانه حیفظ-أ کۊدن	went to work to get his verses	they drew away their poetry
اۊن ٚ ناقۊشي چاقأ کۊدن ره اۊن ٚ أمرأ شيريک بۊبۊست.	be represented as a partner in his own cure.	the incident ought not to be neutralised by replacing with something more delicate the comfort lost
روٚقد نأرمۊ	I am out of spirits.	I'm not mad at Dee Ga.
هني بنماست کي کي واخاب نيه ایتأ گل اۊیأ ايسأ	to avoid betraying that he knew she was about.	as if he had not been picked up enough of them
شيمي اطلاعات نيشان دیهه کي خؤرم ٚ زأک ؤ ذات ٚ خۊش بۊ	if it had been favourable to the boy.	you will receive me the intelligence that I hope for your happiness.
حتأ ایتأ پئلي أن ٚ لیواس جيرأ تکان ندأ بۊ	had not so much as altered one angle of his vest.	Even the baby needed cow's milk to feed himself.
راستؤف اۊ قضيه پٚسي دئه خؤ خانواده ٚ داشت ؤ دارائي اۊمۊر ٚ جأ خؤرأ وانسي	said he to himself, and after that he did not meddle in business affairs.	Actually, it was a family affair.
یاواشيکه بيشئم خؤرؤم بار ٚ مهمانانه ورجأ ؤ ایتأ دۊتأ ايستکام وۊکۊشئم بۊجؤر	I sneaked off to the private bar to have a pint or two before dinner.	Or do we tell the truth when Tom came home?
هتؤ کي ساغ ٚ جان ٚ مرأ جه ایأ دۊوارس ترأ گؤیم	I'll tell you as soon as she's safely away,	And I saw the right thing from the sea, and the evil of the monster.
مۊ أن-أ نۊبۊردم اؤیأ کي أن-أ بۊکۊشم	I didn't go upthere with her with any intention of killing her.	I-I didn't know who to hit them with that.
هیذره خؤرم نیؤ کي گٚل، سفر بۊشۊ دکناپره	not a pleasant night for a dip in the sea	I don't know who to call a trip.
مرأ ترسأ گیفت کي وارش ٚ جئر زنگ بزنۊ یأ سرما بۊخۊره	I thought it might get rusty with the rain, or catch cold	there was a sudden fright among the men who rang the bell.
خؤ حوسأ هممأ اؤفتن ٚ سٚر بنأ	became absorbed in it.	should sound like a collar.
مي حقسأی ٚ بۊکۊدم کي ایتأ مۊدیرعامل ٚ بازاریاف ٚ مأنستن آرام به ٚ چۊم بأيم	I'm trying very hard to look like a relaxed business class top marketing executive.	I should so hate for him to think of a future trader who's at ease to think of me.
اۊن ٚ مرأ لا چأکۊدم	we'll have enough of it to stuff a sofa!	I'm the one who thought of it!
مچه پیله مۊئن جه ميئن بيشأ بۊ	all the hair had gone from her face	there miserably howled
أن وأسي کي تاهسأ هئکس اۊن-أ نامۊخت-أ بۊ	because nobody had taught him.	that was in the best interests of the people at that moment.
أن جٚمعیت جأ هلماله پن نفر ٚ جئن ويشتر مردأک نيسأبؤد کي کسانأ بشنأسيد	there were never more than five men who knew each other.	you'd never heard so many people before you'd heard any of them.
کي تۊ هادر دیل سنگي کي مرأ غؤرصه جیگیر بۊکۊدي	you could be so hard hearted as to let me suffer so.	who you were to bury when the cauldron collapsed
هسأ ساعت دۊوازأ کرأ فأرسۊ	twelve coming on to pass away.	I'm getting off the train at two.
هانقدر تا هیجدأ سال بۊستن	when I am eighteen!	How long before a year of glory!
آئیني لافندان جه ای پئلي تا اۊنپئلي بي واچرسئن دۊمباله دأره	the iron bandstraversed it from side to side without any break.	it was like a change below the surface of water which remains smooth.
اۊن-أ خۊشانه سراسر بداشتيد کي تۊفنگ-أ اۊن ٚ دس ٚ جأ فیگیرد	stopped him in the vestibule and tried to take the pistol from him.	in-in a fascinating but decorous d'shabill'.
اۊنأ منت بۊکۊدم کي حؤصله ٚ بۊکۊنه ؤ خؤ قصصأ بۊگۊیه	I begged his patience to hear me tell my story	tell me, who was the chief exponent of the story?
ایتأ ایجرأ سۊبي مأنستن کي گل خؤ شائي-أ ؤ ناجه-یانه اۊن ٚ جأ بکارأ گیره	a wheezy performance, into which he threw much ambition and an irrepressible hopefulness.	It was a cold sunset over a mountainous desert.
ایدفأ همتتأ پس بينيشتن	but this time all had come.	They all backed away from each other.
ایتأ مردأک کي هلماله نیدأ بؤم	whom she had never seen	of a discovery which would subject her to ill usage and violence
أن ٚ سرأيم دوستأ بؤد	his head was bandaged with a linen cloth.	That's my new friend.
مخصۊصن کي ایتأ سواد داره گل ٚ مأدۊ سئر ببۊ	especially if the educated ones have their stomachs full.	especially those who had a certain degree of astonishment and some fear,
مۊ وأسي مه نقاب-أ ویگیرم اگه مأ گرمأ کۊد	I shall take off the veil if I get too hot.	I'm telling him to come to dinner if you feel so warm.
مي نظر بياتر أن ايسه کي نامأ هایأ تۊمان-أ کۊنم کۊجه باسلۊق چأکۊنم	I think we'll stop now and make some fudge.	I better remember the names of their skippers than I can remember.
مي ناجه أن ايسه کي اۊقدر کي مي زؤر فأرسه تي رٚضايت ؤ آسايش ٚ واستي حقسأی بۊکۊنم	I hope I shall do everything to your satisfaction.	I do not think I could stand it, in my own way.
هیچ زمات طلاق-أ نیگیرم	I'll never divorce him,	I don't take any time to get divorced.
اگر نۊبؤسته بۊ هن رۊزانه به	there will be.	if he hadn't been so worried about it.
وشتن کۊدنه مراسم ٚ مأنسۊ کي مره سۊتال بۊ	like the prom, for exampleseemed silly to me.	They asked me to tell you the truth when I was alive.
يني اۊجۊري کي بياتر جه اۊن نؤبؤسته تي دیل-أ سيني جأ بيرين بأردم	I took out your heart as well as I could	I only had the heart to say a little bit of poetry.
