source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	I've been in the situation for four hours.
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	the skin of which is covered with a fine down.
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I don't know if I get through this.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	He tried to break the old lady's promise.
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	He pulled the paper from the bottom of the table.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	a good sister, like a good sister, has been an excellent sister forever.
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	He threatened to threaten to take me.
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	it was indeed a prodigious leap.
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	she asked, whether she was afraid or tory?
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	I've been swaying slowly from side to side.
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	the man in the circumstance of perfect pride, who is actuated by a purely sectarian creed.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I thought I'd be back again, if'what I mean is, if you give me another chance, I'll do better.
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	He suspected that the circumstances were consistent with his condition.
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	But they were very unhappy.
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I've been looking for this myself. I've been unhappy in my life.
بەڵام جە حاڵیە کە سەرو دەسا و زانویشاوە خزێنێ جە لێو گیاوەکانە لوێنێ وەروە بە تەقناو هەمزەمانو تفەنگەکاشا حوزورو وێشا ئێعلام کەرد و دماو تەقناو تفەنگی فرەیە جە سەروازەکا سەرو ئەسبەکەیشاوە کوتێرە واری.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but while they were still pursuing him by their hand and university, they engaged in their combat arms, and then they engaged in a much snivelling and snarling on his men again.
پسۆ ژیمناستیک کاریە کە پی کاریە عادەتش هەن	like a man accustomed to that kind of gymnastic exercise	He's done what he's done every year.
گۆش گیرتەی جە دەنگدانەوەو هەنگامەکا ساڵانی	listening to the echoing footsteps of years.	Listen carefully to the annual decision.
مشۆم خانمەکؽ وینو	I must see the lady.	you must see the lady
