source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	I've been doing this for four hours.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	The middle of the road was silent.
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I don't want the whole thing to end in the same way.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	Provided, of course, that you're not allowed to take the lamp before your face.
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	The diary was left on the table.
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	Better that young girl's life was ruined.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	I was attacked and, as you did, drowned in my arms.
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	so that he was really starting to understand.
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	I held him up weakly and vigorously.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but in any event such as this one's death
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	I think I'll think about it, and settle down.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	she suspected that the pain was infuriatingly violent
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	But I've been looking for this myself.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I've been unhappy in my life for an indefinite amount of time.
ئەمانێ ڤە حاڵێکەێرە گ لەمەسوڕکییان بی، دەس و پاوانە مییا، ڤە ئەژ لاوەلا چوروو و بتە مەهەتنەو نووا. ڤە ئاخرەێر کول ڤە یەکا گولەوان تەقان و حوزوور وژان ئاشکراوا کرد. ڤە دوما ئە گولەتەقاننەلە فرەهان ئەژ سەربازەل ئێ سەر زێن ئەسپلەوان کەتنە هوار.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but in a somewhat decayed condition, the hands and the feet of which were left open. And in the end, all was flattering and benumbed.
جوور ژیمناسیککارێ گ هووکارە ئێ کارەسە	like a man accustomed to that kind of gymnastic exercise	such as the assistant forensive.
