source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	I've been doing this for four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	dressed in full mourning, with shorts and trousers.
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I didn't expect to be surprised in this.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	He tried to understand the old lady's voice.
روزنومه ره میز کنار جا بیته.	he picked up the paper.	I was left lying on the table.
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	but that the thirst of agormandizer with the power to learn it.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	dictate any changes that she would like to have made there.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	it was indeed a matter of astonishment.
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	her eyes froze in fear and perplexity.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I walked about, slowly.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but all in a somewhat decayed condition
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I'd made a poetry for you.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	with the thought that the gold thread was a very good one
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	But I'm very sorry about it.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love you both. Unfortunately,
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but as soon as her hands and feet flung down the stove towards the front door, the barks and socks of her left cheek, they all raced out into the pasture together.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	He's done it the way he wants to do it.
زمونه لینگ چمر ره گوش دا	listening to the echoing footsteps of years.	He put his feet together.
من فقط ونه این زنا ره بوینم	I must see the lady.	I'm the only one who has to see this woman.
ته نظر هم آدم به دردبخری هسسه	he struck you as being pretty handy.	you reckon you're in a lot of pain.
ولی سیس ونه دسرسی دنی بیه	but it was safe out of his reach.	But he held it in his hand.
مه تموم امید و آرزو همه به باد فنا بورده	I have lost all my illusions.	I lose all my hopes and aspirations
وشون صاحبون یا بمرد بینه یا فلنگ ره بدا بینه	all of them silent now, their owners dead or fled.	they were either bosky or dead
خله زود این کچکی گلیا اتا گذر رای واری آماده بییه	it soon stood wide open also.	but soon the cauldron collapsed
ناگمونی بفهمسسمه که مه آخری سال هسسه	I knew with sudden, chilling certainty that this was my last year.	I didn't even know that I was last year.
پس شه دهون ره دوس بیمه	I kept my mouth shut.	I loved it then.
اما فعلن همونجه هسمی که اس هکرد بیمی	we're still where we were.	But the reaction was the right thing to do.
اندریک بفمسسمه که این کلی کجه شه	I knew immediately what this key was to	I knew where the cage was.
پس تو توندی شه را ره بیری بوری و مه ره تینار بلی	so you can get the hell away from here and leave me alone.	Then you forgot it and left it for me.
ولی هیچ کس جورات ناشته کار دله دخالت هکنه	but nobody dared to interfere.	But no one dared to interfer in.
یا اینکه ناخدا ونه سر ره اشکندنه	or knocked on the head	Or do they tell the captain what happened?
آنسلم تا نماشون گدری اونجه بمونسسه	there he remained till nearly nightfall	I'm afraid to get out of it.
که ونه اصلی ساختمون ات روز ات تا سنگی خوکدونی بییه	as though it had once been a large stone pigpen	that his original construction was one of the causes of the great fog.
اینتا اتا دردناک و سخته کار بییه	that was painful and difficult for him.	It was a painful, painful work.
عذر خوامبه که ته ره لای جا بکشیمه دیا	I'm sorry I've dragged you out of bed.	I'm sorry I tricked you.
این گدر برسییه که تو کناره گیری هکنی	it's time for you to step aside.	that is when you insist on keeping up with your own.
هچ را مه واسسه امکان ناشته	as I could not possibly have done	I could not possibly do so.
شک نارمه که ونه بد بمردن باعث بییه	I have no doubt that it led to his tragic end.	I am sure it was the cause of his death.
اون گدر به این خیال که دز بییمو تَش کَله سخ ره بیته	when he got the poker in case of burglars	He was thinking, well, about a thief.
کرند اسب ره ینه مه خدمتکار و مه هم قطار فرمون هدا	ordered the sorrel nag, my fellow servant	the inspector made me very honourable offers.
البته فقط ات تا رسمی سلام علک	that they had never gone further than formal greetings	of course, as a sound of sanctity.
خواسسه دله بوره در ره دله وری دوس بدییه	but the bolts were in place.	desired she would go out the door and see her sister in law.
من خشالمه که و خاره موقع دگرسسه	I'm glad she got back in time.	I am glad she returns it.
ولی مه گمون گناه این بدبختی، همه دره مه گردن	but I take all the blame upon myself	but I think it is my fault to have this misfortune, that none of them have been deceived in my face.
زود ونه جا چش ره بیتا وره نشا	looked quickly away.	but he made him his eyes.
پدیار اسا از سیو به رنگ خاکستری در بییمو	the forest was gray now instead of black.	the pallor of our countenance was white and grey.
این کار اما ره تنبل و سس کنده	which disposed us to sloth	It's a busy end.
که این وال ره جوری هکرده که اینتی ترس ایجاد هکنه	that so much invested the whale with natural terror	in the same way, however, to foment such a fear.
از اینکه اون چپون کیجا ره نوینه دیگه تصمیم بیته که شه مله ره سر اله	in order to escape from her, he determined to quit the country	where she was going had to make up her mind to do something else.
هچ شه جا راضی نییه	her mind had no distaste for her own set	he is not at all satisfied with it.
کلاید شه تعهد ره از یاد بورده	the obligation faded.	He forgot his promise.
بوا هم امون ندا و زمین و زمان ره دپیته	I never see the wind blow so.	or because he had not believed in it, and looked around, and wasted his time and attention.
ولی شازاده وره پیش دکته	but the old prince interrupted him.	But the prince put it just here.
ناگمونی تند شلاب جا رته رم بییه	turned into a rout because of a devastating downpour.	I didn't know I was running a fever.
اونجه ره برای اینکه بعدا امه همکلاس و درس بووه رج هکردمه	arranged it for the future schoolroom.	I ordered it to be our classmates, and then to teach them.
من کشیش هسسمه و ونه از هر فکر بدی شه جا دور باشم	I am a priest and therefore I ought to be above suspicion	I'm the chaplain's daughter, and I'm afraid of all the evil thoughts of her.
هنو با هری شیش گوم فاصله داشته	still lying on the staircase six steps below him.	he kept her as far away from him as possible.
شه دقیقه تموم اسب حرکت ره اشا	watched the horse's action for the space of three minutes	the minute it is over
ولی فکر هکردمه که غم و غرصه چیزی هسسه که بهرحال آدم ره دس دنه	but I thought grief was something you felt anyway.	But I thought it was worth the trouble to make sure.
از پله بالا بورده تا راهروی دله برسییه به ات تا در	went up the staircase to a door in a corridor.	He went up the next steps, meeting the entrance door.
هرچن این زمت مزی که خرند باشه نداشته	though with but small success for their pains.	it is not wise, at any rate this mockery of gold hairs
همینتای سسه ات تا وکیل ره واسطه بیته که کار ونه جدایی از وه ره درس هکنه	but sent an intermediary to arrange the terms of the separation	so he persuaded the young man to learn his own business.
چون پیشترا این همه نیاز ناشتمه تِن بائم	for I have never had such need of haste before.	I don't need you anymore.
از دستوری که ونه مردی وره هدا	at the orders her husband left her	the hands of her husband
با کنجکاوی و دقت اون زمین که دکتمه ره شه دور ور ره اشامه	look around me with some interest on the strange land that I was in.	I looked around, curiosely, at the doctor's office.
پشت جا سنگ خره سر لم هدا	lay down on his back on the heap of stones.	The village was behind the heavy foot.
قرار نییه ایی وره از نو بوینم	I was never supposed to see him again!	I'm not supposed to have seen it.
انگار ناچار بینه که بلن و شه حرف ره بزنه	as if they were forced to let him say it.	as if they were forced to speak.
همنتای سسه شمه سره ور بتجسسمه	that is why I hastened to you.	I've been accurate in your face at the same time.
نخوامبه دیگه این موضوع خوری گپ بزنم	I don't wanta talk about it no more,	I don't want to talk about it any more.
همینتای واسسه هسسه که سطح کشاورزی فرو بورده	that's how it is the whole level of husbandry has fallen.	That's why agricultural levels have fallen.
ونه ته ره هشدار هدم این اتاق جا هم گت تره	I should warn youit's bigger than this room.	I must warn you that this very large room is a very large house.
شه واسسه و شه وچون واسسه ات تا دوکتور استخدام هکرد بییه	for herself and the children she employed a physician.	he had used her for the doctor's office
تا اونجه که تونسسه مفق بییه گت گتون میز ره اماده هکنه	she did everything possible to keep the places at the table of honor in order	Until he could get it attached to a large table.
این نحسه مار ره دیین تلافی ره هکنه	a recompense to you for his mother!	to try if it came up to my own opinion of it
همینتای سسه شوسری بورده اونجه	he went down that night.	So he went out for the night.
شه اسب ره مهمیز بزو و دیما روخنه بورده	spurred his horse and galloped into the river.	And he cried out as they spoke, and he let the light spill into the boy's room.
منم شه جا زمزمه کردمه	I still humming my little tune.	I jumped.
چن تا تیکه یخ ره دسمال دله دکردا ونه سر بشندییه	ice cubes on her head	Several pieces of the ice cream vanished into the closet.
کشید و از اون شه ریکای عکس ره بیرون بیرادن واسسه به کار بورده	she used it to push out her son's photograph.	He pulled out his wooden handle and opened it.
تو شه پیش خیال هکرد بی که ات تا کچکی جنگ مه جا هکنی	you reckoned on a bickering!	you would have made it necessary to have a small quarrel among me.
دلسوزی په کره هم بییه مه ره اتاق دننه	I should be given a small room as a favor	I was left lying down and alone
بیتتر از اسلحه و گلیله سراغ دارمه	than either a bullet or a knife.	I've got better than a gun.
هر کی ات دور شوهرت مزه ره بچشه	once you've had that first taste	whoever it was might go to mass.
هارشینه تونده ات د سات اون حال هوا باخسه	or trying to snatch an hour or so of sleep	the day about two hours spent in the garden.
انگار هچیی پیش نییمو	just as if nothing had happened.	as if I hadn't had time to do it.
با این کار اتکه ونه تنِ پوس و لواس بوسندی بییه	tearing both skin and clothes to some extent in the effort.	with that he had a positive dislike for her.
من سرنوشت این بییه که درس روز جان بکندما زجر بکشم	I shall have to toil and moil all my days	I had the misfortune, to have been deceived in my married life,
ات دسته آدمه که دیین ره تازه شرو هکرده و النده که ازرائیل ونه جان ره بیره تا د مرتبه بیعاری هکنه	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	a man who had just begun to see a new wolf, and who now stands before him to suffer a second stroke.
ایی خواسسه دیگرون دم ره بیره تا کیک ره نخرن	as earnestly tried to prevent any body's eating it.	they would rather have the other end of it than to catch the catch.
تا اون گدر که وشون چش اسپی دیار نییه من مشکلی نارمه	I'm not really in trouble until I see the whites of their eyes.	I'll see to it that they're not happy with their white eyes.
من انتظار ناشنه که شه باشم	I hadn't expected to be myself.	I didn't expect to be one.
