source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I've been in his mood for four hours.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	stood there in shirt and breeches.
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I don't know if I feel like a darling.
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	a cannon ball with a cannon ball
کاغەزەگە گردەو کرد.	he picked up the paper.	He gathered the paper.
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	They may be able to keep an eye out for their happiness forever.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	I swear by the religion of the sects to which I have been ordained.
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	Indeed, he had opened it.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	He asked in a mixed tone.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I raised him slowly from my knees.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	so that none of the parties had to show any signs of inappropriate exercise.
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I've been thinking about this before, and I've been unhappy in the past.
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	it is alleged that he had hated him.
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	but I'm very sorry about it.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I've been doing this all my life, it's a shameful thing.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but by stepping up into the good graces, only by means of a singlebarreled shotgun, the presence of which was so much hidden within the trenches.
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	How worthy it would be for a man to live with him in his old age!
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	that she had been shouted since the sixteen years ago.
م تەنیا تواێ ئێ خانمە بۊنم.	I must see the lady.	I'm the only one who has to tell this lady.
وە باوەڕ ت، ئەو ئایەم لێهاتیێگە.	he struck you as being pretty handy.	you will take it from me that I hope she returns it.
ئەمانێگ ئەو دۊر لە دەسڕەسێ ئەمنۊ.	but it was safe out of his reach.	But he kept her as far away from home.
گشت خەیاڵەیلم لە دەس دامە.	I have lost all my illusions.	I've lost all my powers
ئیسە گشتیان بێ دەنگ، خاوەنەگانیان یا مردێ یا دەرچێ.	all of them silent now, their owners dead or fled.	now they had all quietly carried it out, whether they were dead or outside.
وە زۊییش تمام واز بۊ.	it soon stood wide open also.	he had to stoop quickly to catch it.
وە دڵنیاییێگ لەناکاو و ساردکەرەوە زانسم کە یە دۊا ساڵ منە.	I knew with sudden, chilling certainty that this was my last year.	I knew with a sudden hesitation and frozen certainty that it was two years old.
دەمم بەسۊم.	I kept my mouth shut.	I'll talk to you.
ئیمە هێمان هایمنە ئەو جیە گ بۊمن.	we're still where we were.	we are still as far as we must be.
زۊ ڕەسیمەو ئێ کلیلە ئەڕا چەس.	I knew immediately what this key was to	I'm running a fever for him.
سە تۊەنی لێرە دۊرەو بکەفی و تەنیام بیلی.	so you can get the hell away from here and leave me alone.	I was left alone for a while at first.
ئەمانێگ کەس نەوێریا دەسوەردان بکەێ.	but nobody dared to interfere.	But no one snoticed.
یا دیا لە سەرێ.	or knocked on the head	Or throw it on his head.
لەورە تا نزیکەیل شەو مەن.	there he remained till nearly nightfall	I've been here for almost eight nights.
چمانێ سەردەمانێگ یەێ وراز گەورای کوچگین بۊە.	as though it had once been a large stone pigpen	it was like a change below the surface of water which remains smooth.
