source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I've been waiting for four hours.
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	the middle of the road about the championship.
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't want to be interrupted.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	I rolled it around to look at an old lady's view.
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	He picked up the light and cleaned it up.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	I may be sure to have the goodness of your judgement.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	I too have a strong iron bee.
کلاید راس راسَکی اسیر با	so truly was he captivated.	it was like a change below the surface of water which remains smooth.
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	Her voice was filled with stress and fear.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I'm getting out of it slowly.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but all in a somewhat decayed condition
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	I'd thought of that the other day, and maybe we'll talk to him.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	she did not think that the matter was really her new coward.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	but I've been afraid of them for a long time.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I am very glad I did not dare to speak. I am unhappy.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but as soon as their brains were staggered by fatigue and the immensity of the power they constituted, they flew into the trenches, and then they flew into the trenches.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	It was the height of his unusual decision.
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	then he turned a deaf ear.
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	I'm afraid to just see this woman.
اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	he struck you as being pretty handy.	Does it look like a darling man?
اما بْزبْزَه چِه دایرَه کو دور مَندا.	but it was safe out of his reach.	But he kept her as far away from her as possible.
چْمْه ناجِن همه بْ باد شینَه.	I have lost all my illusions.	I hope everyone knows that.
چَوون صِیِبِن یا مَردَینا یا دَوَشتَینا.	all of them silent now, their owners dead or fled.	for whether they were after breakfast or after death
هْم زودیون اْم روکَه خْلْ ایلَه راهی شی آمادَه آبو کْ بِش و بِری بْکَرْن	it soon stood wide open also.	Soon, the school district will be taken care of.
ایی دَفَعی فَممَه کو اْم دِ چمه آخرنَه سالَه	I knew with sudden, chilling certainty that this was my last year.	I came to a very keen realization that that was the last two years.
پس چْمْه دَنی دَوَسْمَه.	I kept my mouth shut.	Then I closed my eyes.
امه فلا هَه جایی مَندیمونَه کو پیشتَر مَندیمونا.	we're still where we were.	We've got to get out of this place before we can.
زوتَری فَمْمَه کو اْم کْلیل کاری شْنا.	I knew immediately what this key was to	I speedily found it would be useless to do so.
پس ت ْ شای اْشتْه را بیگِری و بْشی و مْن تاکیلَه پس بَهَرزی.	so you can get the hell away from here and leave me alone.	Then you deserve to embrace and be blessed and follow me as far as possible.
ولی کسی نییاری کاری کو دخالت بْکَری.	but nobody dared to interfere.	But no one interfered in his decision.
یا عْمکو ناخْدا اشتن کله چاکْنْه	or knocked on the head	Or do we tell the truth when Tom came home?
آنسلم تا آفتاوی نْشتِه موقو ها مَندَه	there he remained till nearly nightfall	I'm sick of the sight of you.
چه اصلییَه ساختْمون سنگَه خواَ لونَه اِستا	as though it had once been a large stone pigpen	What's the construction of the rock.
ام دردناکَه سَختَه کاریا	that was painful and difficult for him.	it was so dreadful and painful
متاسْفیمَه لْکْلاکو تْه بَرونتْمَه بیرون.	I'm sorry I've dragged you out of bed.	I'm sorry I tricked you.
چه وقت آرَسَه کو تْ کَنار بْکَشی	it's time for you to step aside.	when she should have been away
هیچ وقت مرا ایمکان نداری	as I could not possibly have done	You've never trust me!
از شک ندارم کو چه مرگی باعث به	I have no doubt that it led to his tragic end.	I am sure it is the cause of this dreadful riot.
ای دفه ای فیکری نه ک دز اومه و شومینه بسکی پیگتشه	when he got the poker in case of burglars	he suddenly realized that he had been swindled
کورانه اسبی ک چم خدمتکار و همقطارا فرمون دوشه	ordered the sorrel nag, my fellow servant	The handsome, proud boy who was there at the time.
البته فقط ایله خشکَه سلام علک	that they had never gone further than formal greetings	of course, with only a dry crackling.
خواستشه درآ ویندشَه بر دله کو دوسیَه.	but the bolts were in place.	He wanted to see the door and see in the house.
آخا تا هَه روز چیزی صِحِب آبه نیا کو غرصه هرده ارزشی بداره	I'm glad she got back in time.	for, to that very day, he would value something as extraordinary.
ولی مْرا چْه مونی ام بدبختی تمون چمه گردن دَلَکَه	but I take all the blame upon myself	But I had the misfortune to do, and I was swindled.
تْن تَری اْشْتَن چِمون اَی کو گاردْنْدْشَه	looked quickly away.	He looked out of it.
جنگل الان سییا کو آبَه رَش!	the forest was gray now instead of black.	now that the black forest has been cleansed!
ام کار تمون اَمَه لَسَ شْل و پَلو آکَره	which disposed us to sloth	It's a busy end.
اْم والی تا هَدَه چی تَرسی را بانِه کَردَشا	that so much invested the whale with natural terror	by telling them what had frightened them
امی را کو دِ ِنخای شَوونَه کیله بْوینی تصمیمش گِتَه کو اْشتَت وطنی کو بْشو	in order to escape from her, he determined to quit the country	It was a while before he decided to leave his comrades.
اصلا اشتن وضعی کو ناراضی نییا	her mind had no distaste for her own set	the situation was not at all satisfied with her.
کلایدی اْشتَن قایلی ویر بَرشَه	the obligation faded.	he could gaze down upon her whole person
وا نی اَمون نِدوعَه و دو و دوشابی یَندی دوشَه	I never see the wind blow so.	but he did not hesitate to speak, and did not hesitate to speak.
اما شازادَه اَی کو نار دَبَه	but the old prince interrupted him.	But the prince put it just here.
