source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	All anger and gloom removed from him, not to fix upon any being the proper thing for true knights errant
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	My eyes were very touching.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	You also wanted to be remembered.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	It's like they're in the fourth grade.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	I have to dream of going somewhere.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I also began to understand the term.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	It was because of this that the young man felt the pulse of his criminal conscience and began to suffer badly from too much fluid in the tissues of his body.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	We'll see how the Ramsayers commented on their incredible creeds.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	Who are the teachers of our district?
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	It smelled like a village green.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	It's the same as being abandoned!
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	Our country is under the nose of the invasion.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	Who watched the music with his camera.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There is only one corner where people can not make a mistake.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	It was a man's turn to try to beat the dance song with.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	This is a village where the people don't like it.
Ez koma her dîyan a.	I am in both groups	I'm the master of all things.
Her çî wextê ey esto.	Everything has its time	There's plenty of time.
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	If you leave the light alone, you will not leave it alone.
Dima sond dekerna û beyraqe dîrege ra arde war.	Later, he recited the oath and pulled down the flag from the pole	Then he leaped from his place and retreated.
Kifş o ke cuye o tayê rew hincirnayo.	It's evident that life has worn him down a bit early	It's a nice place to spread itself.
Xora qeleme dest de hazir a!	The pen is already ready in hand!	The game is afoot!
Yew hîkaya xo bi formê nameyî amo nuştene.	One of his/her stories was written in form of a letter	Writing by someone who's done something useful in their own way.
Zereyê çimanê xo ra to de huyeno.	He laughs at you from within his eyes	Feel the kiss of compassion on your cheek.
Kesî îtîraz nêkerd.	Nobody objected	nobody snoticed.
Merdim ancax ziwanî ra bizano.	One can only know from the language	Learn a little bit of consistency.
