source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been doing this for four hours.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	with gentleness and quickness of choice.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want to be so tired.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	Of course, when you're not aware of the truth,
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	He put the diary on your table.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	but this attitude of close observation so long
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	whom I've hated for a long time, there.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	Clyde's really was in his heart.
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	he asked, his voice exultant and benumbed
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I walked up and down the room.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	yet so well set out was it that it seemed that every part had room to spread itself fittingly
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I pulled the switch and made it right.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	even though the young man was deprived of the power to think.
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I felt pretty sorry about it.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	I have the misfortune, to have many friends alive!
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but they only noticed the palms of their hands and socks that they could express their will about women.
