source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I've been blabbering this thread.
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	I've got to get out of this place, eh!
مي گۊلي-أ پخ بزئم	I cleared my throat.	I checked she was correct again.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I've a mind to take the watch back.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	I thought maybe you wouldn't be bothered.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	I was glad to get away as quickly as possible to see the place where my fishing rod and the smell of sainfoin
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	I had a line about my waist
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	when he placed his handkerchief on his pocket
مي سرأ بشادم	I shook my head.	I leaned my head against my pillow.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	but now it was clear that it was impossible for me to do that.
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	He threw his handkerchief on his forehead.
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I had a line about my waistband, and that he was apt to do all the right things.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	A little girl screamed.
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I do not mention, or intend, to the men, to whom I have a wife.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought he would do something useful.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I don't need to tell you.
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	So he expects the nun to honor and facilitate this marriage.
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	But the wind is not so strong.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	the prosperity of his father
چۊن ناخؤش بؤ.	because she had been ill	for it was unpleasant.
خؤ عازمأ جزمأ کۊده	for he had made up his mind	He confirmed his dependence on himself.
مزایأ سرأ گیفتن	the racers started.	the chances that may come to fruition.
نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	has the last featuring blow at events.	He didn't hit the house with a violent blow.
آلبت ایتأ دۊتأ اۊشان-أ تفریح وأسي رأ تاوده	I doubt if he's gotten that far yet in fact, I'm sure of it.	but all in a somewhat decayed condition
سرأ گیفت شعرانه حیفظ-أ کۊدن	went to work to get his verses	the poetry lapped up in the pocket
اۊن ٚ ناقۊشي چاقأ کۊدن ره اۊن ٚ أمرأ شيريک بۊبۊست.	be represented as a partner in his own cure.	in a fascinating but decorous d'shabill'.
روٚقد نأرمۊ	I am out of spirits.	I don't see any point in troubling them.
هني بنماست کي کي واخاب نيه ایتأ گل اۊیأ ايسأ	to avoid betraying that he knew she was about.	but still he didn't know that there was anything left to eat of him.
شيمي اطلاعات نيشان دیهه کي خؤرم ٚ زأک ؤ ذات ٚ خۊش بۊ	if it had been favourable to the boy.	you don't know what I was doing with you.
حتأ ایتأ پئلي أن ٚ لیواس جيرأ تکان ندأ بۊ	had not so much as altered one angle of his vest.	Even his dress was a little prominent.
راستؤف اۊ قضيه پٚسي دئه خؤ خانواده ٚ داشت ؤ دارائي اۊمۊر ٚ جأ خؤرأ وانسي	said he to himself, and after that he did not meddle in business affairs.	Actually, it was a family affair that happened to Oscar Let's get them nervous.
یاواشيکه بيشئم خؤرؤم بار ٚ مهمانانه ورجأ ؤ ایتأ دۊتأ ايستکام وۊکۊشئم بۊجؤر	I sneaked off to the private bar to have a pint or two before dinner.	Or I'd like to have the latest news of my daughter and grandson.
هتؤ کي ساغ ٚ جان ٚ مرأ جه ایأ دۊوارس ترأ گؤیم	I'll tell you as soon as she's safely away,	as if we were to face the dangers of fakin
مۊ أن-أ نۊبۊردم اؤیأ کي أن-أ بۊکۊشم	I didn't go upthere with her with any intention of killing her.	I didn't realize I should be able to do that.
هیذره خؤرم نیؤ کي گٚل، سفر بۊشۊ دکناپره	not a pleasant night for a dip in the sea	not as lovely as it might have been under happier circumstances.
مرأ ترسأ گیفت کي وارش ٚ جئر زنگ بزنۊ یأ سرما بۊخۊره	I thought it might get rusty with the rain, or catch cold	He was so frightened that he didn't know he was going to be drowned in the cold.
خؤ حوسأ هممأ اؤفتن ٚ سٚر بنأ	became absorbed in it.	he should have thought of anything so lovely.
مي حقسأی ٚ بۊکۊدم کي ایتأ مۊدیرعامل ٚ بازاریاف ٚ مأنستن آرام به ٚ چۊم بأيم	I'm trying very hard to look like a relaxed business class top marketing executive.	I warned him not to let the affair go on any further.
اۊن ٚ مرأ لا چأکۊدم	we'll have enough of it to stuff a sofa!	I struck him in the face.
مچه پیله مۊئن جه ميئن بيشأ بۊ	all the hair had gone from her face	The big-nosed cow was out of the mix.
أن وأسي کي تاهسأ هئکس اۊن-أ نامۊخت-أ بۊ	because nobody had taught him.	The chances that the secretary of the party will be able to keep him out of this.
أن جٚمعیت جأ هلماله پن نفر ٚ جئن ويشتر مردأک نيسأبؤد کي کسانأ بشنأسيد	there were never more than five men who knew each other.	in the eyes of the world they could not afford to keep a secretary only an unpaid servant.
کي تۊ هادر دیل سنگي کي مرأ غؤرصه جیگیر بۊکۊدي	you could be so hard hearted as to let me suffer so.	who had struck him with a heavy baton, and who was impatiently in the boat's head instead of the sail.
هسأ ساعت دۊوازأ کرأ فأرسۊ	twelve coming on to pass away.	it was at three o'clock in the afternoon.
هانقدر تا هیجدأ سال بۊستن	when I am eighteen!	how old they were
آئیني لافندان جه ای پئلي تا اۊنپئلي بي واچرسئن دۊمباله دأره	the iron bandstraversed it from side to side without any break.	It's like having a drink in secret.
اۊن-أ خۊشانه سراسر بداشتيد کي تۊفنگ-أ اۊن ٚ دس ٚ جأ فیگیرد	stopped him in the vestibule and tried to take the pistol from him.	it was a sound wrapped around her neck so that it stuck out at the top of her hand.
اۊنأ منت بۊکۊدم کي حؤصله ٚ بۊکۊنه ؤ خؤ قصصأ بۊگۊیه	I begged his patience to hear me tell my story	it was only a matter of waiting a little and he was bound to tell me the story.
ایتأ ایجرأ سۊبي مأنستن کي گل خؤ شائي-أ ؤ ناجه-یانه اۊن ٚ جأ بکارأ گیره	a wheezy performance, into which he threw much ambition and an irrepressible hopefulness.	somehow it all came together as a pretext to make use of the rock.
ایدفأ همتتأ پس بينيشتن	but this time all had come.	he abruptly bent double
ایتأ مردأک کي هلماله نیدأ بؤم	whom she had never seen	I've never seen a man like you.
