source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	I'll think about it four hours ago.
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	They're wearing coats and trousers.
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I did not care to end it.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	He tried to raise the old lady's castle.
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	He also handed the paper to the front of the dungeon.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	the searing, destroying power of such a thought as that
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	I had a line about my waist
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	Clyde was really starting to understand the nature of women.
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	half ashamed of being afraid of going round and round.
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	I know he's laughing at me.
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	It was like all those wet washing dishes.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I'll let you know in advance that I'm going to lend you a massive attack.
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	I am sure that the temple is not in place, and that it is my highness
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	but it was not without admixture.
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I've had a long life. They're very fortunate.
