source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	I waited four hours for it.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	And he stood in the midst of his saddle, and took hold of the saddle.
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I didn't expect that to end.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	if it was not shot with a sling as they were.
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	The diary was drawn to the other side of the table.
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	of all the pretty girls in his hands
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	He was willing to kneel in front of him with a heavy baton.
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	So that he may be truly blessed.
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	I ambled along at a slow walk.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but still he had no wish to permit it to be so.
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	I put these thoughts in my pocket, and I blotted out into my pocket.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	with the doubt that the young man was innocent
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	but I was very moved by it.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I love you like I love my life and the prosperity of someone else.
ئەمانێ ڤە حاڵێکەێرە گ لەمەسوڕکییان بی، دەس و پاوانە مییا، ڤە ئەژ لاوەلا چوروو و بتە مەهەتنەو نووا. ڤە ئاخرەێر کول ڤە یەکا گولەوان تەقان و حوزوور وژان ئاشکراوا کرد. ڤە دوما ئە گولەتەقاننەلە فرەهان ئەژ سەربازەل ئێ سەر زێن ئەسپلەوان کەتنە هوار.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but in the taste displayed in furnishing, and in the rapidity with which it was executed. And in the rapidity with which it was executed
جوور ژیمناسیککارێ گ هووکارە ئێ کارەسە	like a man accustomed to that kind of gymnastic exercise	as if he were a masterpiece.
گووشە میاێ ئەر دەنگ شوونە پا زەمان	listening to the echoing footsteps of years.	I heard a noise just over my head.
م فەقەت مەێ ئێ ژەنە بۊنم	I must see the lady.	I should like to see this woman.
ئەێ تونێرە ئاێم دەردبهوەرێکە	he struck you as being pretty handy.	I'm telling him to come down the hill.
