source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	I did that for four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	the bloodsoaked flesh of a disapproval she had never known before.
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I don't want to end it.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	He tried to understand the old man's voice.
روزنومه ره میز کنار جا بیته.	he picked up the paper.	He put his diary aside.
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	but the clad in ivy and hemp stained green.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	gave me an order.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	Actually, Clyde was a medical prisoner.
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	he asked, bowed confusedly.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I walked up to the front legs gently.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but still he had to prove that he was a witness.
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I rereaded it over my head, and wrote a poem.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	I assure you the truthfulness of what I have said.
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	but I'm very sorry about it.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love you so much. I'm miserable here.
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but as soon as his hands were cut down from his waist, he made a hasty retreat, and practically crumbled beneath the weight of his jacket.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	the instant he had done was his own pleasure.
زمونه لینگ چمر ره گوش دا	listening to the echoing footsteps of years.	He then turned his head.
من فقط ونه این زنا ره بوینم	I must see the lady.	I just saw his face this woman.
ته نظر هم آدم به دردبخری هسسه	he struck you as being pretty handy.	you reckon he's in pain.
ولی سیس ونه دسرسی دنی بیه	but it was safe out of his reach.	But his eyes were puzzled.
مه تموم امید و آرزو همه به باد فنا بورده	I have lost all my illusions.	I burned all my hopes and wishes.
وشون صاحبون یا بمرد بینه یا فلنگ ره بدا بینه	all of them silent now, their owners dead or fled.	They're saying he's dead or he's talking to them.
خله زود این کچکی گلیا اتا گذر رای واری آماده بییه	it soon stood wide open also.	Soon enough, this little gang was ready to get out of the car.
ناگمونی بفهمسسمه که مه آخری سال هسسه	I knew with sudden, chilling certainty that this was my last year.	I didn't realize it was my last year.
پس شه دهون ره دوس بیمه	I kept my mouth shut.	I loved it.
اما فعلن همونجه هسمی که اس هکرد بیمی	we're still where we were.	but the facts are the same way we treated each other.
اندریک بفمسسمه که این کلی کجه شه	I knew immediately what this key was to	I immediately found out that he was locked in her room.
پس تو توندی شه را ره بیری بوری و مه ره تینار بلی	so you can get the hell away from here and leave me alone.	Then you'll have to let me go, and I'll have to deal with.
ولی هیچ کس جورات ناشته کار دله دخالت هکنه	but nobody dared to interfere.	but no one dared to stir.
یا اینکه ناخدا ونه سر ره اشکندنه	or knocked on the head	Or do we tell the truth when the captain shouts?
آنسلم تا نماشون گدری اونجه بمونسسه	there he remained till nearly nightfall	He'll have to stay there to show he's back.
که ونه اصلی ساختمون ات روز ات تا سنگی خوکدونی بییه	as though it had once been a large stone pigpen	which was erected in the middle of the first column,
اینتا اتا دردناک و سخته کار بییه	that was painful and difficult for him.	It was a painful, hard work.
عذر خوامبه که ته ره لای جا بکشیمه دیا	I'm sorry I've dragged you out of bed.	I'm sorry I tricked you.
این گدر برسییه که تو کناره گیری هکنی	it's time for you to step aside.	this is how you made a note.
هچ را مه واسسه امکان ناشته	as I could not possibly have done	I was not likely at all.
شک نارمه که ونه بد بمردن باعث بییه	I have no doubt that it led to his tragic end.	I'm sure the whole thing that brought him to his death was really bad.
اون گدر به این خیال که دز بییمو تَش کَله سخ ره بیته	when he got the poker in case of burglars	Then he thought we were thieves, and he was very much pleased with it.
کرند اسب ره ینه مه خدمتکار و مه هم قطار فرمون هدا	ordered the sorrel nag, my fellow servant	The owner of the saddle and the emptiness of the saddle, and I too.
البته فقط ات تا رسمی سلام علک	that they had never gone further than formal greetings	but, of course, only as an official guest of health.
خواسسه دله بوره در ره دله وری دوس بدییه	but the bolts were in place.	He wanted to come inside and see the girl's dress from inside.
من خشالمه که و خاره موقع دگرسسه	I'm glad she got back in time.	I am glad he has arrived just at this moment.
ولی مه گمون گناه این بدبختی، همه دره مه گردن	but I take all the blame upon myself	but I think it's all I can do with this unfortunate incident.
زود ونه جا چش ره بیتا وره نشا	looked quickly away.	he showed him his quick observation.
پدیار اسا از سیو به رنگ خاکستری در بییمو	the forest was gray now instead of black.	The black hole was grey.
این کار اما ره تنبل و سس کنده	which disposed us to sloth	but the business was not without admixture.
که این وال ره جوری هکرده که اینتی ترس ایجاد هکنه	that so much invested the whale with natural terror	but in a somewhat decayed condition
از اینکه اون چپون کیجا ره نوینه دیگه تصمیم بیته که شه مله ره سر اله	in order to escape from her, he determined to quit the country	He decided to turn left and go to Shame's room.
هچ شه جا راضی نییه	her mind had no distaste for her own set	he is not altogether dissatisfied.
کلاید شه تعهد ره از یاد بورده	the obligation faded.	she had forgotten her devotion
بوا هم امون ندا و زمین و زمان ره دپیته	I never see the wind blow so.	it was not an easy thing even to thread a path for principles in the earth and sky.
ولی شازاده وره پیش دکته	but the old prince interrupted him.	but the prince restrained himself
ناگمونی تند شلاب جا رته رم بییه	turned into a rout because of a devastating downpour.	I didn't tell you that I was mad at Mrs. Taylor.
اونجه ره برای اینکه بعدا امه همکلاس و درس بووه رج هکردمه	arranged it for the future schoolroom.	I refused to go there until after my arrival.
من کشیش هسسمه و ونه از هر فکر بدی شه جا دور باشم	I am a priest and therefore I ought to be above suspicion	I'm afraid I don't see any point in troubling them.
هنو با هری شیش گوم فاصله داشته	still lying on the staircase six steps below him.	He's been away for six years.
شه دقیقه تموم اسب حرکت ره اشا	watched the horse's action for the space of three minutes	the skin was covered with a fine down.
ولی فکر هکردمه که غم و غرصه چیزی هسسه که بهرحال آدم ره دس دنه	but I thought grief was something you felt anyway.	but I thought that the sorrow was what had wakened her.
از پله بالا بورده تا راهروی دله برسییه به ات تا در	went up the staircase to a door in a corridor.	as he ascended the stairs leading to the door
هرچن این زمت مزی که خرند باشه نداشته	though with but small success for their pains.	however disagreeable to her the necessity of going down.
همینتای سسه ات تا وکیل ره واسطه بیته که کار ونه جدایی از وه ره درس هکنه	but sent an intermediary to arrange the terms of the separation	He then turned to a lawyer to learn the business of his divorce.
چون پیشترا این همه نیاز ناشتمه تِن بائم	for I have never had such need of haste before.	Because I don't need you for it all ago.
از دستوری که ونه مردی وره هدا	at the orders her husband left her	the hand that she had given her husband.
با کنجکاوی و دقت اون زمین که دکتمه ره شه دور ور ره اشامه	look around me with some interest on the strange land that I was in.	I looked around, curiously and attentively.
پشت جا سنگ خره سر لم هدا	lay down on his back on the heap of stones.	He leaned his back against the rock.
قرار نییه ایی وره از نو بوینم	I was never supposed to see him again!	I'm not going to rename him.
انگار ناچار بینه که بلن و شه حرف ره بزنه	as if they were forced to let him say it.	as if he had to stop talking to her.
همنتای سسه شمه سره ور بتجسسمه	that is why I hastened to you.	I've been bothering you for this.
نخوامبه دیگه این موضوع خوری گپ بزنم	I don't wanta talk about it no more,	I don't want to talk about it any longer.
همینتای واسسه هسسه که سطح کشاورزی فرو بورده	that's how it is the whole level of husbandry has fallen.	That's why agricultural levels have fallen.
ونه ته ره هشدار هدم این اتاق جا هم گت تره	I should warn youit's bigger than this room.	I warned you before, this room was too big.
شه واسسه و شه وچون واسسه ات تا دوکتور استخدام هکرد بییه	for herself and the children she employed a physician.	He's been using a doctor himself.
تا اونجه که تونسسه مفق بییه گت گتون میز ره اماده هکنه	she did everything possible to keep the places at the table of honor in order	so that he could arrange the grandmother's table
این نحسه مار ره دیین تلافی ره هکنه	a recompense to you for his mother!	He doesn't mean to obey it.
همینتای سسه شوسری بورده اونجه	he went down that night.	That's why he went there.
شه اسب ره مهمیز بزو و دیما روخنه بورده	spurred his horse and galloped into the river.	And he stood in the midst of his saddle, and took hold of the saddle.
منم شه جا زمزمه کردمه	I still humming my little tune.	I smiled at him.
چن تا تیکه یخ ره دسمال دله دکردا ونه سر بشندییه	ice cubes on her head	He took a couple of ice creams into his pocket.
کشید و از اون شه ریکای عکس ره بیرون بیرادن واسسه به کار بورده	she used it to push out her son's photograph.	He pulled her out of the painting and used her as a model.
تو شه پیش خیال هکرد بی که ات تا کچکی جنگ مه جا هکنی	you reckoned on a bickering!	you'd thought a little war would come to me.
دلسوزی په کره هم بییه مه ره اتاق دننه	I should be given a small room as a favor	I am quite at home in her room.
بیتتر از اسلحه و گلیله سراغ دارمه	than either a bullet or a knife.	I've got more than a gun and a lot of guns.
هر کی ات دور شوهرت مزه ره بچشه	once you've had that first taste	whoever went to the front of the dungeon has a right to sit down.
هارشینه تونده ات د سات اون حال هوا باخسه	or trying to snatch an hour or so of sleep	the old man, who had been in the air for a week or two hours
انگار هچیی پیش نییمو	just as if nothing had happened.	as if we hadn't seen anything before.
با این کار اتکه ونه تنِ پوس و لواس بوسندی بییه	tearing both skin and clothes to some extent in the effort.	with that he was dressed in fine clothes and a scarf
من سرنوشت این بییه که درس روز جان بکندما زجر بکشم	I shall have to toil and moil all my days	I was destitute to be relieved that I had a bad destiny, to wile the time away.
ات دسته آدمه که دیین ره تازه شرو هکرده و النده که ازرائیل ونه جان ره بیره تا د مرتبه بیعاری هکنه	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	with the hands of a man, who had only just begun to hear the truth, and who had to cry out to the enemy,
