source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I took it over four hours later.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	dressed in black and white.
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I don't know if I feel like him.
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	he pretended not to understand, and turned the conversation.
کاغەزەگە گردەو کرد.	he picked up the paper.	she folded the paper
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	He's willing to kneel in front of him forever.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	I do not even swear.
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	Actually, he did it really.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	He asked in a mixed tone.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I stepped up from my knees gently.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	Anyway, all the lovers around him were going to show him the way.
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I've got the thought of this myself, and I've gone to my knees.
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	thinking it was a straightforward bridge.
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	but I'm very sorry about it.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I've had this much in my life, and it's outrageous.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but he paused in a fascinating but decorous d'shabill'.
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	how worthy it would be for a man to live or die in that way!
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	as though they hadn't been able to keep it together for a long time.
م تەنیا تواێ ئێ خانمە بۊنم.	I must see the lady.	I just'let this lady know.
وە باوەڕ ت، ئەو ئایەم لێهاتیێگە.	he struck you as being pretty handy.	you believe, he came to fetch himself
ئەمانێگ ئەو دۊر لە دەسڕەسێ ئەمنۊ.	but it was safe out of his reach.	but he was quite at arm's length.
گشت خەیاڵەیلم لە دەس دامە.	I have lost all my illusions.	I've got all my faculties as well as ever I had in my life.
ئیسە گشتیان بێ دەنگ، خاوەنەگانیان یا مردێ یا دەرچێ.	all of them silent now, their owners dead or fled.	now, everybody quietly slept or died
وە زۊییش تمام واز بۊ.	it soon stood wide open also.	it was too early to find out.
وە دڵنیاییێگ لەناکاو و ساردکەرەوە زانسم کە یە دۊا ساڵ منە.	I knew with sudden, chilling certainty that this was my last year.	I made sure and convinced him that this was my last year.
دەمم بەسۊم.	I kept my mouth shut.	I kissed my face.
ئیمە هێمان هایمنە ئەو جیە گ بۊمن.	we're still where we were.	We're still going where we are.
زۊ ڕەسیمەو ئێ کلیلە ئەڕا چەس.	I knew immediately what this key was to	I've been accurate in your face at this time.
سە تۊەنی لێرە دۊرەو بکەفی و تەنیام بیلی.	so you can get the hell away from here and leave me alone.	I have to go this far and get a few seconds alone.
ئەمانێگ کەس نەوێریا دەسوەردان بکەێ.	but nobody dared to interfere.	But no one will stone your asshole.
یا دیا لە سەرێ.	or knocked on the head	Or else he's on his head.
لەورە تا نزیکەیل شەو مەن.	there he remained till nearly nightfall	It's been there all night.
چمانێ سەردەمانێگ یەێ وراز گەورای کوچگین بۊە.	as though it had once been a large stone pigpen	It was like having a baby.
ئەوە ئڕا ئەو وەژان و قورس بۊ.	that was painful and difficult for him.	she was as though deprived of the power to think.
بووەخشی لە تەخت خەو کیشامەدەو دەیشت.	I'm sorry I've dragged you out of bed.	I slept her by the bed.
کات ئەوە هاتێیە بەیدەو لا.	it's time for you to step aside.	when he came down
هە ئەو جوورە گ نەتۊەنسم ئەنجام بەم.	as I could not possibly have done	Just in ways that I couldn't do it.
گومان نێرم گ ڕەسیە ئاخر تراژیک ئەو.	I have no doubt that it led to his tragic end.	I am sure that it is his turn.
کاتێ گ سیخەگە لە ئان هاتن دزەیل ئەڵگرت	when he got the poker in case of burglars	when the cigarette was free of the entry of the thief
فەرمان ئەسبەیل سوور دا، خزمەتکارەگەم.	ordered the sorrel nag, my fellow servant	I gave the command to the men, my servant.
ئەوان قەت لە یەێ سڵام و کێخوەشی فەرمی فرەتر نەچۊن.	that they had never gone further than formal greetings	they had never known anything more than a sound of pure pity and loyalty.
ئەمانێگ پێچەگان لە شوون خوەیان بۊن.	but the bolts were in place.	But their children were terrified of his poison.
خوەشاڵم کە ئەو سەر وەخت هاتەو جی.	I'm glad she got back in time.	I am glad she has come home.
ئەمانێگ گشت تاوانەگە گرمەو مل خوەم.	but I take all the blame upon myself	but I have a positive dislike for you.
وە خێرایی نووڕیە دۊرەو.	looked quickly away.	He looked away quickly.
دارسانەگە ئێرنگە لە جی ڕەش، خوڵەمژی بۊ.	the forest was gray now instead of black.	the trees had now been cut down from the grass.
کە تەمەڵمان کرد.	which disposed us to sloth	which we did.
کە ئێ نەهەنگە ئێقرە کردۊدە مایەی ڕخ سروشتی.	that so much invested the whale with natural terror	That the whale has done so well it is nature's nature.
ئڕا ڕاکردن لە دەسێ، بڕیار دا لە وڵات نەوسێ.	in order to escape from her, he determined to quit the country	He decided not to enter the country of his ancestors.
هۊرشەی ئەو هیچ قینێ لە دووخ خوەێ نێیاشت.	her mind had no distaste for her own set	He didn't feel anything bad about himself.
پابەن بۊن کاڵەو بۊ.	the obligation faded.	it was impossible they could have borne them from another man.
هیچکات نەیمە وا لێوا بووەشیەێ.	I never see the wind blow so.	I've never seen anything so lovely.
ئەمانێگ شازادەی پیر قسەگانێ بڕی.	but the old prince interrupted him.	but the princess did not care, and consulted
وە بوون یەێ ڕفت کاولکەرێ بۊە تێکشکیان.	turned into a rout because of a devastating downpour.	They were stunned by the fact that he was a coward.
ئەڕای کڵاس مەدرەسەی بانان ڕێکێخست.	arranged it for the future schoolroom.	He was dressed in school dress.
م یەێ مەلام و وەی مدووە تواێ لە سەرووی گومانەو بووم.	I am a priest and therefore I ought to be above suspicion	I hesitated, and I hesitated for a second.
هێمان لە بان پلیکانەگان، شەش گام لەو خوارتر ئەڵاژیایە.	still lying on the staircase six steps below him.	He's still on the steps, six steps under his feet.
سێ خولەک سەیر کردارەگان ئەسبەگە کرد.	watched the horse's action for the space of three minutes	He looked at each one for three minutes.
ئەمانێگ م فکر کردیام خەم چشتێگە گ ئیوە هەرچۊنێگ بوو هەست وە پێ کەین.	but I thought grief was something you felt anyway.	but I thought you might have some feelings towards me.
لە پلیکانەگان چیەو بان وە دەرێگ لە ناو یەێ ئەیوان.	went up the staircase to a door in a corridor.	he walked up to the front door with his foot in the haystack.
هەرچەن وەی سەرکەفتنێگ بۊچگ ئەڕای ژانەگانێ.	though with but small success for their pains.	Though with a little success, she was victorious.
ئەمانێگ ناوجیکەرێ کل کرد تا کار جیابۊنیان بخەێ لە یەک.	but sent an intermediary to arrange the terms of the separation	but he had decided not to let the affair go on.
ئەڕای یە گ ئەوسا قەت لێوا پێویستێگ وە پەلە نێیاشتم.	for I have never had such need of haste before.	Because I've never needed it before.
وە فەرمان شۊەگەی، ئەو هیشتە جیەو.	at the orders her husband left her	He left in obedience to his wife's command.
وە جگێ حەزەو براورد دەور وەرم بگر لە میلکانێ گ لە ناوێ بۊم.	look around me with some interest on the strange land that I was in.	I was wondering at the location.
وە پشتەو، لە بان کوومەی بەردەگان ئەڵاژیا.	lay down on his back on the heap of stones.	Behind him, in the corner of the beds.
قەت بڕیار نەۊ جارێ تر بۊنمەێ.	I was never supposed to see him again!	I never had decided to meet her again.
چمانێ ناچار بۊن بیل ئەو، ئەوە بۊشێ.	as if they were forced to let him say it.	as if forced to leave her, she would tell him.
وەی مدووە پەلە کردم وەرەو لای ئیوە.	that is why I hastened to you.	I rushed to the front of it.
نیەتوام دی لەبارەی قسە بکەم.	I don't wanta talk about it no more,	I don't want to talk to you again.
لێواسە گ گشت ئاست پەسداری دابەزیاس.	that's how it is the whole level of husbandry has fallen.	as if the whole affair were circumstance to raise no common degree of astonishment.
تواێ ئاگاداردان بکەم لێ وتاقە گەوراترە.	I should warn youit's bigger than this room.	I should warn you to the spacious room.
ئەڕای خوەی و مناڵەگان پزشکێ دامەزران.	for herself and the children she employed a physician.	He'll treat himself and his children.
تا ئەورە گ ئەو بان دەسێ هات تەقەلا کرد تا شوون میز دەسەڵاتدارەیل ڕێکوپێک بیلێ.	she did everything possible to keep the places at the table of honor in order	Until he came down, he tried to turn the tables on the officials.
پاداشتێک ئەڕای ت ئەڕای داڵگێ.	a recompense to you for his mother!	a reward for your mother.
