source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I waited four hours for it.
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	He went to Shame's room and washed them down.
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't expect the story to end.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	it was only a matter of waiting a little and he was bound to understand the old lady's point.
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	dragged it up to the front of the dungeon to the empty table.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	I can say definitely that it was a marriage of affection.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	I thought you would understand.
کلاید راس راسَکی اسیر با	so truly was he captivated.	the black hole disappeared with the invisible face beneath the big hat
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	she asked, her voice rough with stress and fear.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I ambled along at a slow walk.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but still he had to prove that he was innocent.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	I thought once, I put the phrase in poetry.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	I don't think that the average length of time is sufficient to do that.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	I've been looking for this myself.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I was relieved he wasn't there. I'm miserable.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the sizzling steam made me fear a general explosion which would sweep across my men swarming like ants over the booty with a blast of jagged fragments.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	which he must have carried in his life.
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	when he opened her embrace.
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	I just have to see this woman.
