source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	Now the rest of them are trying to get away from their shenanigans.
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	I look up blearily.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	You didn't even know about it.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	They're going to fall into the fourth division.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	It's all about having a perfectly good imagination.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I ve upset the conversation.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	Because young people don't know where they're going to be able to keep a secretary and a secretary.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	We see that you have become more people about religion in the world of our ancestors.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	He thinks that's what we're learning.
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	He's on his way back.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	Every thought except that vanished, leaving you nothing but an unknown!
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	Our country is under a free zone.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	He wanted to look at the camera.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There's only one who can do it without being able to do it.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	It was a man's gesture to make me jump in a group.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	It's like they're not home anymore.
Ez koma her dîyan a.	I am in both groups	I'm the fool's daughter.
Her çî wextê ey esto.	Everything has its time	It's all dated up.
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	If you don't light, we'll tell you.
Dima sond dekerna û beyraqe dîrege ra arde war.	Later, he recited the oath and pulled down the flag from the pole	The earth had become a dark mountain.
Kifş o ke cuye o tayê rew hincirnayo.	It's evident that life has worn him down a bit early	How serene, it is indeed a circumstance to raise no common degree of astonishment.
Xora qeleme dest de hazir a!	The pen is already ready in hand!	The golden egg is already in the water!
Yew hîkaya xo bi formê nameyî amo nuştene.	One of his/her stories was written in form of a letter	A story is told in the form of a book.
Zereyê çimanê xo ra to de huyeno.	He laughs at you from within his eyes	He's laughing at you.
Kesî îtîraz nêkerd.	Nobody objected	nobody was looking.
Merdim ancax ziwanî ra bizano.	One can only know from the language	I know the answers to many puzzles.
No kî çîyode zaf rind o.	This is a good thing, too	Who knows that's so pretty.
Yewna bi tirkî nengan çîneno vano ti çira vanê ‘kirdî’.	Further, the curses in Turkish and asks why you say 'Zazaki'	You don't remember what you did with them.
En zaf kî kurmanckî de vînon.	Mostly, I see that in Kurmanji	They see it in many people.
Ma wazenê kîşta tirkî de kurdkî zî bibo ziwano fermî û mekteban de dibistana ewilêne ra heta unîversîte bi ci wendekaran rê perwerde bêro dayene.	We want that Kurdish shall be the official language alongside Turkish, and that education shall be provided for the pupils in schools, from primary school until university	We're going to have to teach the turkey to play with the official knowledge and schooling of the game to keep the school students educated.
Bi hezaran însanî merdîy.	Thousands for people died	with a thousand good quips and cranks in it
Rayraşîyayîşê dergî bi coşêkê pîlî qedîya.	The long journey ended with huge excitement	The long journey was over with a great smile.
Vateyê eseran zafîn aîdê min ê.	Most of the words of the works belong to me	I have a very good answer to you.
Tena ferqêk tede esto.	There is only one difference	There's only one difference.
Xulasa dewe de ma bi çimê dişmenan ewnîyayêne yewbînî ra.	In the end, we looked at each other in the village like enemies	in the taste displayed in furnishing, and in the rapidity with which it was executed
Nika zî bi hawayêkê sîstematîkî hêrişan kenê.	Now, they are attacking in a systematic way	And now they are in a hurry to deal with the weather.
Hewna zî tu kesî ra yew îtîrazo pêt-cidî nêbi.	Again, there was no serious and strong objection from anyone	You re not the only one who's in a straitjacket.
Ê ke nê qirkerdişî ra weş mendê hîna zî estê.	They are also those who survived this massacre	Those who don't have a good answer to me are also very good.
Bombarduman heta saetan sere sibayî yê roja bîne dewam kerd.	The bombing continued the morning hours of the next day	the hoisters ran it round and round for hours after the following morning
Senî ke ma tirkî badê cû musayî nika zî qicê ma ziwanê dadîyê xo dima musenî.	Just as we learned Turkish later, now our children learn their mother tongue later	So we can get to the green grass on the other side of the stream.
Her di hetan ra bi sehezaran însanî merdî.	Hundreds of thousands of people died from both sides	They both went to the front in a hurry.
