source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been this situation for four hours.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	with a clear and happy ending.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want you to end this.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	a windfall, not caused her to perish.
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	He took the paper out of his mouth and threw it on the table.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	probably these two types of angles will always be lost
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I stopped the enemy.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	he was truly beginning to suffer badly from too much fluid in the tissues of his body
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	he felt the pulse of his brain too, and his witch was very, very smart and alert.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I walked at ease.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	And yet, everything and everything that was interesting to him showed him how he had done it.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I took the phone out of my purse and turned it straight.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	with a familiarity that exists within the realm of evil
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I felt it over so much
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	I have the misfortune, to have been deceived in my married life,
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but they put their hands between their knees and knees only to catch the enormous revolver.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	It's like he's doing his job.
