source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I owe him the proofs and explanations of my travels.
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	I think it's worth the trouble to give the place a hunt - a hunt!
مي گۊلي-أ پخ بزئم	I cleared my throat.	I'm giving the place a hunt.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I'll have to get used to it first.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	They thought I wouldn't let him go.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	wiping her eyes first, and her face was haughty to be laid under some other heap of poor grass.
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	I look up blearily.
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	I was already on my feet and tired of too much fluid in the tissues of my body.
مي سرأ بشادم	I shook my head.	I shook my head.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	now it all cuts both ways,
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	laying his hand tight on his forehead, sticking firmly in his forehead.
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I've got my right hand on an emergency stop.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	Learn a little bit of consistency.
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I'm not saying, of course, that I should be interrupted by the men whose heads aren't in harmony with the woman's.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought he might have something to do with it.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I don't remember if you were mine.
