source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	I was getting off the train at four.
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	It's a common way to defame the party or create suspicion within it.
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I will not be able to do all the right things.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	He tried to expose the old woman's story.
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	don't take the paper from me again.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	he could take the girl quite at himself
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	I smiled up weakly, reassuringly into her face.
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	in the being near to the truth
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	they drew away as though they were frightened of catching him.
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	I heard him almost at the same time.
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	you're saying that it's worth the trouble to give the place a hunt.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I returned to her and left her very soon.
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	beyond the feeble doubt, his majesty ought to be in a straitjacket.
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	But they were very dissatisfied.
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I love life so much. That's it.
بەڵام جە حاڵیە کە سەرو دەسا و زانویشاوە خزێنێ جە لێو گیاوەکانە لوێنێ وەروە بە تەقناو هەمزەمانو تفەنگەکاشا حوزورو وێشا ئێعلام کەرد و دماو تەقناو تفەنگی فرەیە جە سەروازەکا سەرو ئەسبەکەیشاوە کوتێرە واری.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but while he was on his knees and knees he raised his lip, and then he pulled out a large revolver from his riders.
پسۆ ژیمناستیک کاریە کە پی کاریە عادەتش هەن	like a man accustomed to that kind of gymnastic exercise	hadn't been used to that sort of thing
گۆش گیرتەی جە دەنگدانەوەو هەنگامەکا ساڵانی	listening to the echoing footsteps of years.	You'll also get an idea of the annual meeting.
مشۆم خانمەکؽ وینو	I must see the lady.	I must see the lady.
ئاﮆ پسە کەسێ یارمەتیدەر دیار بؽ پەیت	he struck you as being pretty handy.	He found someone who was willing to help him.
