source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	but I was up again at four o'clock.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	the gentlemen balanced gold mounted canes between their knees.
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I don't mean to end the adventure in any other way.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	except through cowardice,
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	It's a day when the daughters will stretch out their shirts.
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	Later, the torch of the championship will be placed on the floor of their nation.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	to cover your neck and knees with a hanging star
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	So that he may be really good.
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	I held my breath in my bosom.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but let's face it, it's too much.
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	I have crossed the palisade on the north side
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	the suspicion that the evil genius of men had betrayed him
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	but it was very touching and sad for her.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I don't like life too much, I'm misfortune.
ئەمانێ ڤە حاڵێکەێرە گ لەمەسوڕکییان بی، دەس و پاوانە مییا، ڤە ئەژ لاوەلا چوروو و بتە مەهەتنەو نووا. ڤە ئاخرەێر کول ڤە یەکا گولەوان تەقان و حوزوور وژان ئاشکراوا کرد. ڤە دوما ئە گولەتەقاننەلە فرەهان ئەژ سەربازەل ئێ سەر زێن ئەسپلەوان کەتنە هوار.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the chances were that, upon their return, the soldiers would not be able to spare enough warm bodies to man the plows. And they would not be able to spare enough warm bodies to man the plows.
جوور ژیمناسیککارێ گ هووکارە ئێ کارەسە	like a man accustomed to that kind of gymnastic exercise	He's like a hard-working woman who's in charge of these things.
گووشە میاێ ئەر دەنگ شوونە پا زەمان	listening to the echoing footsteps of years.	they heard a little dry cough on the staircase
م فەقەت مەێ ئێ ژەنە بۊنم	I must see the lady.	I don't need to see this woman.
ئەێ تونێرە ئاێم دەردبهوەرێکە	he struck you as being pretty handy.	He's got my boots lined up on the left and right.
ئەمانێ سووسک ئەێ دەڕەس ئەو دۊر بی	but it was safe out of his reach.	But there's also a kind of positive hatred of him.
گشت ئاوەخت و ئارزووەلم دریاوە ڤارا	I have lost all my illusions.	I had a high and holy yearning to go to sea.
ساێلەوان یا مردۊن یا هەیواوین	all of them silent now, their owners dead or fled.	whether they are men or women, or in reality they are going to die
ڤە زۊیی ئێ توڕەکونا گوجەرە، ڤە شێڤە ڕێ ئەڕا ڕەدبین گورج بییەور	it soon stood wide open also.	With that sudden rage, he was forced to move with antipathy.
ڤە یەێ قەتئییەت ناهەڵمانە و دڵسەرداکەرێ فەمیم گ یە دوماێن ساڵ منە	I knew with sudden, chilling certainty that this was my last year.	I never forgot it, and it was a while before I found it, and it was very touching and sad that I had it two years ago.
سە دەم وژمە بەسریا هیشت	I kept my mouth shut.	I'd merely been interrupted in the most interesting part of my story.
ئیمە جارێ هایمن ئەر ئە جاێ گ هووسیاویمن	we're still where we were.	We're getting out of this place again.
دەرجا زانستم گ ئێ کلیلە هن کوو بی	I knew immediately what this key was to	I understood by the door that was locked.
سە تو مەتۏنین سەر ڕێ وژت بگرین و من ڤە تەنیا بیلین	so you can get the hell away from here and leave me alone.	So you don't let yourself get over it, and I'm alone.
ئەمانێ کەسێ زەڵە دخاڵەت ڤە کارەێرە نیاشتێ	but nobody dared to interfere.	but no importunate person had anything to do with it.
یا یە گ ناخودا سەرە مەشکنتێ	or knocked on the head	Or you're gonna go to the captain's office.
ئەو تا نزیکەل ئێوارە ئەر ورە مەن	there he remained till nearly nightfall	He'll be there until about midnight.
گ ساخمان ئەسڵییە ئەوە، یەێ ڕووژێ لانەهۊ کوچکێنێ بی	as though it had once been a large stone pigpen	that was a very good thing, but that was a very good day.
یە کار سەخت و پڕ ژانێ بی	that was painful and difficult for him.	This was a crazy and unforgivable thing.
داخم ئەڕا یە ئەێ توو جاکەت ئاوردینمەێرە	I'm sorry I've dragged you out of bed.	I'm sorry I tricked you.
گ ڤەخت ڕەسییەسێ تو کنارەگیری بکەین	it's time for you to step aside.	that we might surprise you if we had news of you.
ڤە هۊچ شێوەێ ئمکانم ئەڕان نیاشتێ	as I could not possibly have done	but it was not such a hollow world at all.
شەک نەێرم بیتێیە بائس ئە مردن ژەڵاوێنە	I have no doubt that it led to his tragic end.	I could not stand it any longer.
هەنێگ ڤە خێاڵ یە گ دوز هەتێیە و سێخ شوومینە بردێیەسێ	when he got the poker in case of burglars	in a fascinating but decorous d'shabill'.
ڤە ئەسپ کرند یانێ خزمەتکار هامکار من دەستوور داێ	ordered the sorrel nag, my fellow servant	And he took the horse to his owner, and set it on me.
ئەڵڤەتە تەنیا یەێ سڵامەلەیک ڕەسمی	that they had never gone further than formal greetings	'Cause there's no longer any old-fashioned firmness in his speech.
گستێ بچوو ئەو نام دیتێ دەرە ئەێ ناما بەسیایە	but the bolts were in place.	the smallest letter was copied in another hand.
م خوەشاڵم گ ئەو ڤە مەوقە هەتێیەسا	I'm glad she got back in time.	I wish he were mine!
ئەمانێ ڤە گومانم گونا ئێ هەمکە بەدبەختییە ها مل منەێرە	but I take all the blame upon myself	but I doubt it is true that this very bad luck is beneficial.
دەرجا چەم ئەژ ئەو هێز داێ	looked quickly away.	I have no idea you have that kind of energy.
