source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	I've been doing this for four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	the blood had dried just over the waistband
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I don't mean to end it any more.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	He tried to understand the old man's voice.
روزنومه ره میز کنار جا بیته.	he picked up the paper.	He pushed the day off the table.
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	but the chances are that you're taken care of.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	He ordered me to go back in time.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	the reality of which had been sealed
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	he put the fear of fire on him, and asked the truth.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I walked limp.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but it can still be a document that he has been convicted of this.
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I thought I should read a poem to Henryk or to Henryk.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	I think the model is the right thing to do.
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	I'm very sorry about it.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love the sight of you. I have the misfortune,
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but as soon as his arms and legs were stolen off his broom, his eyes were slumped and he flung himself back on the horse.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	He did his job in terms that were not inconsiderable.
زمونه لینگ چمر ره گوش دا	listening to the echoing footsteps of years.	He pointed me out.
من فقط ونه این زنا ره بوینم	I must see the lady.	I can only see this woman.
ته نظر هم آدم به دردبخری هسسه	he struck you as being pretty handy.	you think you're in pain, too.
ولی سیس ونه دسرسی دنی بیه	but it was safe out of his reach.	But he was still in his hands.
مه تموم امید و آرزو همه به باد فنا بورده	I have lost all my illusions.	My hopes and aspirations were dashed to the wind.
وشون صاحبون یا بمرد بینه یا فلنگ ره بدا بینه	all of them silent now, their owners dead or fled.	They're their owners or the ones who died or the whale's whale.
خله زود این کچکی گلیا اتا گذر رای واری آماده بییه	it soon stood wide open also.	But very soon, the baby was ready to get on the floor.
ناگمونی بفهمسسمه که مه آخری سال هسسه	I knew with sudden, chilling certainty that this was my last year.	I didn't even know it was the last of year.
پس شه دهون ره دوس بیمه	I kept my mouth shut.	I loved them.
اما فعلن همونجه هسمی که اس هکرد بیمی	we're still where we were.	but we are generally in the same place where we are set aside
اندریک بفمسسمه که این کلی کجه شه	I knew immediately what this key was to	I could tell by the direction of the flow.
پس تو توندی شه را ره بیری بوری و مه ره تینار بلی	so you can get the hell away from here and leave me alone.	Then you forgot to it and left it to me.
ولی هیچ کس جورات ناشته کار دله دخالت هکنه	but nobody dared to interfere.	but no one dared to stir up his affairs.
یا اینکه ناخدا ونه سر ره اشکندنه	or knocked on the head	Or that the captain should step in his head.
آنسلم تا نماشون گدری اونجه بمونسسه	there he remained till nearly nightfall	I'm telling him to stay where they are.
که ونه اصلی ساختمون ات روز ات تا سنگی خوکدونی بییه	as though it had once been a large stone pigpen	which was originally built by an architect who had a beetle
