source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I was up there at four o'clock.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	the night and shorts of the four
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I don't want to be interrupted
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	But he's willing to fire because he wants to kill them.
کاغەزەگە گردەو کرد.	he picked up the paper.	He gathered the paper.
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	You have to learn to read to yourself.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	I swears by the religion of the sects to which I have been ordained.
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	Indeed, he was moved by it.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	he asked in a tone between jest and earnest.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I raised her slowly from my knees.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	in spite of her very slight weight gain she began to suffer badly from too much fluid in the tissues of her body
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I immediately found my mind drawn within, and I responded positively.
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	she reckons it's a race of turbulent gold.
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	but I'm very sorry about it.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I loved him for a long life, and he was humble.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but it was only a matter of putting a foot in it, and I was forced to fire with a gun in which a large number of fists were stunned.
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	It was like having a drink in secret.
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	It's like they've been ten years since the dawn.
م تەنیا تواێ ئێ خانمە بۊنم.	I must see the lady.	I shall only be the servant of this lady
وە باوەڕ ت، ئەو ئایەم لێهاتیێگە.	he struck you as being pretty handy.	you would have been taken in
ئەمانێگ ئەو دۊر لە دەسڕەسێ ئەمنۊ.	but it was safe out of his reach.	But he kept her out of his hand.
گشت خەیاڵەیلم لە دەس دامە.	I have lost all my illusions.	I gave him all my revery.
ئیسە گشتیان بێ دەنگ، خاوەنەگانیان یا مردێ یا دەرچێ.	all of them silent now, their owners dead or fled.	all of whom were now silent, private or private.
وە زۊییش تمام واز بۊ.	it soon stood wide open also.	it was soon too unseasonable.
وە دڵنیاییێگ لەناکاو و ساردکەرەوە زانسم کە یە دۊا ساڵ منە.	I knew with sudden, chilling certainty that this was my last year.	with sudden and chilly certainty that it was the second year I was born.
دەمم بەسۊم.	I kept my mouth shut.	I'll help you till I can get out of it.
ئیمە هێمان هایمنە ئەو جیە گ بۊمن.	we're still where we were.	We're still going to where we're going.
زۊ ڕەسیمەو ئێ کلیلە ئەڕا چەس.	I knew immediately what this key was to	I have to get out of this anyway!
سە تۊەنی لێرە دۊرەو بکەفی و تەنیام بیلی.	so you can get the hell away from here and leave me alone.	now you have to get out of this place and get a few seconds alone.
ئەمانێگ کەس نەوێریا دەسوەردان بکەێ.	but nobody dared to interfere.	but no one was to apprehend him.
