source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I'm getting off the train at four.
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	the gentlemen balanced gold mounted canes between their knees.
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't think the story should be told any more.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	he repeated several words to give an idea of the old woman
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	dragged the paper up to the front of the dungeon to the empty table.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	I am sure I will always be in my hands.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	I was thinking, my voice exultant
کلاید راس راسَکی اسیر با	so truly was he captivated.	tied it to the other side of his collar like reins over his neck
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	It was a sound of stress and fear. It was heard.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I walked slowly.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but it was still not difficult to ascertain that it was really a document.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	I thought I'd be interrupted her once, for a while.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	I doubt he's got the trains running on time and all his ducks in a row.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	but I've been afraid of them for a long time.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I'm very glad I'm not married. I'm misfortune.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but while they did not stop drinking, they did not stop smelling their oars.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	he was unwilling to leave it untranslated
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	then he uttered a plaintive cry of pain.
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	I just need to see this woman.
اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	he struck you as being pretty handy.	do you think you're a very bad person?
اما بْزبْزَه چِه دایرَه کو دور مَندا.	but it was safe out of his reach.	But he kept his wooden head out of his circle.
چْمْه ناجِن همه بْ باد شینَه.	I have lost all my illusions.	I am not likely to go with the wind.
چَوون صِیِبِن یا مَردَینا یا دَوَشتَینا.	all of them silent now, their owners dead or fled.	they were like morning or after.
هْم زودیون اْم روکَه خْلْ ایلَه راهی شی آمادَه آبو کْ بِش و بِری بْکَرْن	it soon stood wide open also.	Soon after the battle, the villages were evacuated.
ایی دَفَعی فَممَه کو اْم دِ چمه آخرنَه سالَه	I knew with sudden, chilling certainty that this was my last year.	but now I find that it's the end of my life.
پس چْمْه دَنی دَوَسْمَه.	I kept my mouth shut.	Then I closed my eyes.
