source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	Now it's your turn to start.
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	My eyes were very nice.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	You must have imagined that this was a very good thing.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	They're wearing coats and trousers.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	It is necessary that everyone has their imaginations.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I've done the same thing.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	Because young people are less able to keep their children out of sight and can take the phone off the hook.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	We see that you've taken a different approach to religious beliefs.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	Who are the teachers of our kind.
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	Who walked in the hallway of solitude.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	Every step you take to make the most of the puzzle!
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	Our country is under siege.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	With the help of cameras.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There is only one island in which a man can not make a mistake.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	In this world, I have done all I can to make a mistake.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	It's like they're not staying home anymore.
Ez koma her dîyan a.	I am in both groups	I'm the servant girl.
Her çî wextê ey esto.	Everything has its time	There's no time for it.
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	If you don't see, let's get your way.
Dima sond dekerna û beyraqe dîrege ra arde war.	Later, he recited the oath and pulled down the flag from the pole	Then he turned and stood in front of the boat.
Kifş o ke cuye o tayê rew hincirnayo.	It's evident that life has worn him down a bit early	It's been a long time since I had a baby.
Xora qeleme dest de hazir a!	The pen is already ready in hand!	A lot of dust is on the ground!
Yew hîkaya xo bi formê nameyî amo nuştene.	One of his/her stories was written in form of a letter	A story is written in the form of letters.
Zereyê çimanê xo ra to de huyeno.	He laughs at you from within his eyes	Your hair is covered with a fine down.
Kesî îtîraz nêkerd.	Nobody objected	nobody made a fuss.
Merdim ancax ziwanî ra bizano.	One can only know from the language	I know the answers to many puzzles.
No kî çîyode zaf rind o.	This is a good thing, too	Who s a very important person.
Yewna bi tirkî nengan çîneno vano ti çira vanê ‘kirdî’.	Further, the curses in Turkish and asks why you say 'Zazaki'	One is afraid to know why you're doing this.
En zaf kî kurmanckî de vînon.	Mostly, I see that in Kurmanji	They see many people in their turn.
Ma wazenê kîşta tirkî de kurdkî zî bibo ziwano fermî û mekteban de dibistana ewilêne ra heta unîversîte bi ci wendekaran rê perwerde bêro dayene.	We want that Kurdish shall be the official language alongside Turkish, and that education shall be provided for the pupils in schools, from primary school until university	We want the Kurdish language to be a well-official language and a safe school to be taught to walk in it.
Bi hezaran însanî merdîy.	Thousands for people died	They're going to die with a thousand people.
Rayraşîyayîşê dergî bi coşêkê pîlî qedîya.	The long journey ended with huge excitement	The long journey ends in a cottage on the beach.
Vateyê eseran zafîn aîdê min ê.	Most of the words of the works belong to me	I remember the highlights of what it has defined so far.
Tena ferqêk tede esto.	There is only one difference	There is only one difference.
Xulasa dewe de ma bi çimê dişmenan ewnîyayêne yewbînî ra.	In the end, we looked at each other in the village like enemies	And we turned our heads to the other side, the better teeth.
Nika zî bi hawayêkê sîstematîkî hêrişan kenê.	Now, they are attacking in a systematic way	They're now getting tired of the rhythm.
Hewna zî tu kesî ra yew îtîrazo pêt-cidî nêbi.	Again, there was no serious and strong objection from anyone	You are not forced to drive a lot of people.
Ê ke nê qirkerdişî ra weş mendê hîna zî estê.	They are also those who survived this massacre	Those who make this journey a better portrait.
Bombarduman heta saetan sere sibayî yê roja bîne dewam kerd.	The bombing continued the morning hours of the next day	the landlord had taken care and pains to prepare for them the best supper that was in his power.
Senî ke ma tirkî badê cû musayî nika zî qicê ma ziwanê dadîyê xo dima musenî.	Just as we learned Turkish later, now our children learn their mother tongue later	And now our thirst for money is still on our forehead.
Her di hetan ra bi sehezaran însanî merdî.	Hundreds of thousands of people died from both sides	They both took the children's bed to the living room.
Waştişan rê cewab nêno dayene.	The requests will not be answered	I wish I didn't respond.
Vengê ey zî weş bi.	His voice was nice as well	It should be a good thing, too.
La ewro bê waştişê ma bimbarekanê ma ser o projeyan virazenê.	But today they conduct projects on our sanctuaries without our permission	But today we will not be able to spare enough warm bodies to man the projects.
Mi nê nameyî ra hes nêkerdêne.	I was not liking that name	I don't like this letter.
nêşîyêno bifikirîyo.	He can't think	she could not think.
Ma nêwazenê warê xo biteriknê.	We don't want to leave our area	We don't need to worry about it.
Berê qedexeyî.	Forbidden doors	Front end.
A şewi ma uja di mendî.	That night we stayed there	That's why we're here at night.
Nuştiş de hewce yo ke ti wendoxan rê çîyanê weşan û taybetan qisey bikerî.	It is necessary that you tell the readers nice and special things when you write	Writing requires you to write about beautiful and special things that you love.
Persê mi qedîyay.	My questions ended	My question is over.
Nika zî dore ameya enê cayan.	Now, it is the other places' turn	We're still going to have the management of these places.
Derdormeyê keyeyî de kes nêasêne.	One could see nobody around the house	No one was allowed to enter the house.
O wext bîle mi zaf raşt û fehmkerde nuşto.	Even then I wrote very rightly and comprehensibly	I then find that it's really and engagingly true.
Gereka yew televîzyon bibo.	There has to be a television	on a television.
Kalikanê ma no ziwan seserran ra nat bi zehmetî ardo resnayo ma.	For centuries, our forefathers have transmitted this language to us with difficulty	Our hat with the feather in the band cocked with difficulty.
Çimke weşîya xo ebe tirkî ramenê.	Because they live their lives in Turkish	It blended so perfectly with the rest of it.
Bi nê ambargoyî şar yeno cezakerdene.	The people are punished with this embargo	And they made him cease to be so.
Tesîrê kamcîn nuştoxî yan zî kamcîn nuştoxan to ser o esto?	Which author or authors have influenced you?	Do you have a steam or a steam?
Uslubê ci de qet tehmê kirmanckî çin o.	There is no taste of Zazaki in his style	There is no hard trip in the kitchen.
Nêeşkeno derbasê weverê awe bibo.	He cannot reach the other side of the water	She couldn't keep her husband out of the deal.
Labelê nê perwerdekerdişî hunerî reyde keno.	However, he does this educating in combination with art	Label this is not a hollow world of art.
Vateyo bîn gore zî inî defterî amey nimitiş.	According to another account, these notebooks were hidden	Library mice are doing the same.
Hema zî no problem hal nêbîyo.	The problem has not been solved yet	Still, it's not a problem.
Nuştox derheqê gramerî ra zî zelal û beşekar o.	The author is clear and competent concerning the grammar	This is a fascinating and engaging thing about grammar.
Dewleta tirke û cergê ci zor danê ke kênayê efrînijî bizewijê.	The Turkish state and its goons	The kingdom of fear and anxiety has made it difficult for them to continue walking abreast.
Her çî zanayne.	Everything was known	they were sure of themselves.
Bi desan leşkerê tirkî û cergî merdî.	Tens of Turkish soldiers and goons died	They killed dozens of Turkish soldiers and soldiers.
Yanî gere ma zonê xo ra wayîr bivejîme.	Either we take care of our language	Or else we'd better get out of our way.
Vayî bî la halê mi zî hal nêbi.	It was expensive, but our situation was not alright	Still, but I'm not feeling well.
