source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been in this for four hours.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	with a positive dislike for her.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want to get through all the red tape
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	the old man who had lain in his berth
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	He put the paper on the table.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	maybe the latter two go away forever.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I've bought it with an enemy.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	he was indeed bent over the body.
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	he asked, his voice rough with stress and fear.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I've got all my faculties as well as ever I had in my life.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but still she did not do so very well either, and so much that she did not do so.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I thought all this very pretty and engaging
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	I'm saying it's lost the ability to communicate between space and sound.
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I've been through it so many times
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	I'm afraid I don't like a living.
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the first and foremost of them were the strained line, and the only strained line, which they would bear for ever.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	It's like they're doing this all the time.
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	he had listened till no later
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I'm just here to see this lady.
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	I think you should eat something, too.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	but the beetle was out of his reach.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I lost all my arguments
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	They're sick or they're dead or they're broken.
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	was out of his wits as if it were a baby.
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	I came to a very keen realization that that that year was over.
په دهۊنمه واز نکردم	I kept my mouth shut.	I haven't been out of my own land.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	We're still asleep.
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I speedily found that it was her key
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	Then go away with it, and let me alone.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	But none of them dared to try to do it.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	or that she would not be interrupted.
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	she was there until the very moment when they climbed.
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	How much better the old days were than our own!
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	He was a hard-working man whose master trusted him.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	I'm sorry I moved out of my place.
مجالشه که دی بکشی کنار	it's time for you to step aside.	when she left her room
ز ته سیم امکانس نی	as I could not possibly have done	it won't be possible for me to wire it.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	I am sure it is fatal.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	when she realized that she had been swindled
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	the commander in chief who had taken care and pains to prepare for me the best supper that was in my power.
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	the uniforms of an official uniform.
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	It's a good thing he's closed the door.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I was afraid she would have given away all the time.
ولی وه گمۊنوم گشت گونا ئی بڌبختی وه نای مونه	but I take all the blame upon myself	but I'm saying it won't be long before everyone knows that.
یه‌ناگه تی زس ڤرگرهڌ	looked quickly away.	Suddenly, his eyes fell.
دارستۊݩ ایسو ز رنگ شه وه رنگ کۉ وابیڌ	the forest was gray now instead of black.	the pallor and anguish expressed on his countenance
ئی کار ایما نه وه کاهلی اؽواداره	which disposed us to sloth	which she did not do as a rule.
که ئی واله ئیقزر زهله بر کرده بی	that so much invested the whale with natural terror	on account of the baby and all,
سی یو که دوهڌر چۊپۊنه نڤینه تصمیم گرهڌ ڤی ولات روه	in order to escape from her, he determined to quit the country	Because after all the hardships and hardships his brother, he decided to leave the village.
ز حالس ناراضی نبی	her mind had no distaste for her own set	was not dissatisfied.
گشت ٱند خوسه ز ڤیر برد	the obligation faded.	everybody was asleep.
باڌ هم ٱمۊݩ ندا و گشت زمین و زمانه وه یک رهڌ	I never see the wind blow so.	but all the earth and sky were level.
ولی شازاڌه زس زه وا نها	but the old prince interrupted him.	but the princess left him alone
وه سی لف بارۊݩ یه‌ناگه تارستن	turned into a rout because of a devastating downpour.	They all jumped in with the violin.
اوچو نه سیکه مؽن آینده هم کلاس درمۊݩ وابۊ مرتڤ کردیمۊݩ	arranged it for the future schoolroom.	where we shall meet in the future without distinction.
مو کشیشوم و ڤا وه هر بهتۊنؽ وه دیر بۊم	I am a priest and therefore I ought to be above suspicion	I'm the chaplain and I'll be back every little boy.
هلام وا هو شش پله فاصلَم بی	still lying on the staircase six steps below him.	I only had six paces left.
گشت سه دقه نه سیل وه تورکستن اسپ کرد	watched the horse's action for the space of three minutes	He threw it all three minutes in the water.
گمۊن کردوم غم و ٱندۊ چیه که آخر وه آڌم دست اؽڌه	but I thought grief was something you felt anyway.	I lost my talent for lying.
ز پلکۊن رهڌ وه بالا تا مؽن دالۊن وه درؽ رسی	went up the staircase to a door in a corridor.	He went up the ladder to the front door.
هرچن که سی ایقزر رنز ماجب خۊڤی نگرهڌ	though with but small success for their pains.	though the verdict had not been handed down.
ایمدۉ وکیلؽ نه بسی کرد تا کارل جڌایی ز هو نه ٱنجۊم بڌه	but sent an intermediary to arrange the terms of the separation	he hired a lawyer to do all he could to arrange the match between them.
سیکه نهاتر زته ایقر نیازمۊن وه اشتۉ کردن نبی	for I have never had such need of haste before.	But he wasn't so hungry that he couldn't make a mistake.
ز دئسۊرؽ که مؽرس داڌ ڤس	at the orders her husband left her	of the discovery which he had made himself.
وا علاقه، نیَشتوم ڤه دۉربالوم، و جاگه بلاجڤی که مؽنس بیڌوم.	look around me with some interest on the strange land that I was in.	I was interested to look around and see the place where I was.
خۉسیڌ و ری چولچله بردی دراز وابیڌ.	lay down on his back on the heap of stones.	went up and down the room was full of wagons.
هرگش نه قرار بی که هو نه دوڤارته بڤینوم	I was never supposed to see him again!	I was never supposed to have seen him again.
منی مجبۊر بیڌن که بئلن که هو، یو نه بگو.	as if they were forced to let him say it.	I was forced to tell him the truth
ڤه همی تفیل بی که زی وَیڌوم سر‌وختت.	that is why I hastened to you.	I thought you were all dated up.
نؽخوم دی در مۉرڌس گپ زنوم.	I don't wanta talk about it no more,	I do not even want you to speak to her.
