source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I b-trapped him.
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	I think it's time for me to get out of this place, it's time!
مي گۊلي-أ پخ بزئم	I cleared my throat.	I'll go round and round.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I've got my mind to do things well.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	They thought he was getting out of his way.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	Well, obviously, he's lost his temper by talking to us.
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	I had a line about my waist
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	I took it out of my pocket when I was parading with painters.
مي سرأ بشادم	I shook my head.	I glanced over my shoulder
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	now it is evident that it is necessary to remember
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	pushed her eyeglasses up onto her forehead, a
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I took the right thing to do, and her eyes were puzzled.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	You're getting out of it a little.
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I'm not bisexual, I'm not bisexual, and I'm not bisexual.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought it might be a bit boring.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I didn't expect you to be there.
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	pulled out an extraordinary black mask from a purse of his pocket
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	but it is certainly not uncomfortably good.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	it is not an optical illusion.
چۊن ناخؤش بؤ.	because she had been ill	for some reason she was unsatisfied
خؤ عازمأ جزمأ کۊده	for he had made up his mind	he was swindled up weakly.
مزایأ سرأ گیفتن	the racers started.	they had more than enough of fighting.
نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	has the last featuring blow at events.	He's got the truth in his bloodstream.
