source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	I've been doing this for four hours.
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	It was a hatred of the party and a grumbling.
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I'm not going anywhere with this sort of adventure.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	he endeavoured to postpone the arrival of the old lady
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	He pulled the paper from the bottom of the table.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	he might have lost the ability to communicate between his hands and conscience.
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	gave a summary thump for his signature.
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	lacking him, there actually was a soullacking.
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	she asked, with a mixed melody.
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	I've got my boots lined up on the left and right.
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	I'm telling you the whole story as you did.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I lose my temper on the slightest provocation, I nearly went to my knees.
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	where no doubt the girls will be able to get it through the darkness of their imagination.
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	But they were very unhappy.
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I love my life. I'm miserable.
بەڵام جە حاڵیە کە سەرو دەسا و زانویشاوە خزێنێ جە لێو گیاوەکانە لوێنێ وەروە بە تەقناو هەمزەمانو تفەنگەکاشا حوزورو وێشا ئێعلام کەرد و دماو تەقناو تفەنگی فرەیە جە سەروازەکا سەرو ئەسبەکەیشاوە کوتێرە واری.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but while his head and his senses trembled slightly from the comfort zone of his rifle, he returned with a heavier heart.
پسۆ ژیمناستیک کاریە کە پی کاریە عادەتش هەن	like a man accustomed to that kind of gymnastic exercise	he is so worn out that there is nothing left to eat of him.
گۆش گیرتەی جە دەنگدانەوەو هەنگامەکا ساڵانی	listening to the echoing footsteps of years.	That you may take a year off.
مشۆم خانمەکؽ وینو	I must see the lady.	I must see the lady.
ئاﮆ پسە کەسێ یارمەتیدەر دیار بؽ پەیت	he struck you as being pretty handy.	He was waiting for someone to come to his rescue.
بەڵام دوور سڵامەت بؽ جە دەسش	but it was safe out of his reach.	but it was far away from his grasp.
من گرد وەهمەکؽ جە دەس داینؽ	I have lost all my illusions.	I've got all my faculties as well as ever I had in my life.
ئؽسە گرد بؽدەنگؽنؽ خاوەنەکؽشا یا مەردؽنؽ یا ڕەماینؽ	all of them silent now, their owners dead or fled.	the news of which reached him almost at the same time.
فرەش نەبەرد بە هەمان شؽوە بە فراوانی کریاوە	it soon stood wide open also.	It didn't take long for him to get used to it.
ناکایێنە و بە دڵ سەردی زانام ئینە دماین ساڵەو منەنە	I knew with sudden, chilling certainty that this was my last year.	I don't even know if I feel like a darling.
