source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	I took four hours off this train.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	He pulled the switch and threw it on him.
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I don't want the adventure to end in that way.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	That woman couldn't keep her husband out of the deal.
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	The paper strengthens the mind of the table.
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	Maybe we'll get a little prominent in the end.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	to be friends with the enemy and acquaintances of the sects to which I have been ordained.
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	So he was really starting to understand the nature of women.
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	I got my strength back slowly.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	in either case, it will remain in his place until the end of his life.
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	I've been thinking about it all day today, and I've been unhappy in the past.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	with the doubt that the young man was inclined to avail himself of the power to think,
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	but I'm very sorry about it.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I love life too much, it's only the misfortune of one.
