source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	I've been here for four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	the quarter of which was covered with a fine morion
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I don't want to tell you the story.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	trying to understand the old woman
روزنومه ره میز کنار جا بیته.	he picked up the paper.	I was sitting at the breakfast table.
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	I checked she was correct again.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	dictate any changes that she would like to have made there.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	he repeated with gloomy insistence.
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	his left cheek was dry and dropped.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	He's got his way insured.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but still he had witnessed that he was wrong
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I turned my head to find some poetry
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	but there is also a saying that the model of the gold thread is in place.
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	but I'm damned if I sympathize.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love you like I do. I'm miserable.
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but at the same time, he put his finger on his foot and sat to the front of the d'shabill, with his deployed squadron rode with the swaying of the cart.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	The mind of the person from whom he had just made a note.
زمونه لینگ چمر ره گوش دا	listening to the echoing footsteps of years.	He put his feet together.
من فقط ونه این زنا ره بوینم	I must see the lady.	I'm just here to see this woman.
ته نظر هم آدم به دردبخری هسسه	he struck you as being pretty handy.	But like other people, it seems to have a sorrow.
ولی سیس ونه دسرسی دنی بیه	but it was safe out of his reach.	but the other was firmly in his hand.
مه تموم امید و آرزو همه به باد فنا بورده	I have lost all my illusions.	I've lost all my hopes and aspirations.
وشون صاحبون یا بمرد بینه یا فلنگ ره بدا بینه	all of them silent now, their owners dead or fled.	They're covered in fur, they're covered in water, or they're covered in water.
خله زود این کچکی گلیا اتا گذر رای واری آماده بییه	it soon stood wide open also.	This little gang was voted for the passage of time.
ناگمونی بفهمسسمه که مه آخری سال هسسه	I knew with sudden, chilling certainty that this was my last year.	I didn't understand that last year was my birthday.
پس شه دهون ره دوس بیمه	I kept my mouth shut.	Then he went to the window.
اما فعلن همونجه هسمی که اس هکرد بیمی	we're still where we were.	but doing so was as if he had done so.
