source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I've been doing this for four hours.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	the night and the four ships crossed the palisade on the north side
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I don't want him to be here anymore.
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	I'm saying it's your turn.
کاغەزەگە گردەو کرد.	he picked up the paper.	he folded the paper
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	He's sure to be comfortable with it all the time.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	I don't swear by the religion of the sects.
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	He was really starting to understand the nature of women.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	he asked in a tone of stress and fear.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I raised her slowly from my knees.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	It will remain in his place until he fully understands that he has done what he has been doing.
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I immediately entered my head and said a remark.
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	it seemed to her that it must have been a very scratchy, whiskery kiss.
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	but I'm very sorry about it.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I had a long life, and it's a bit boring.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but with a few steps in the pothouse, only with the pulse of a cannon ball, which hit a lot of people with it.
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	how the man who was apt to doze over the tempest of life
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	It combines and adapts the annual and daily movements.
م تەنیا تواێ ئێ خانمە بۊنم.	I must see the lady.	I just have to see this lady.
وە باوەڕ ت، ئەو ئایەم لێهاتیێگە.	he struck you as being pretty handy.	you shall come to him with faith
ئەمانێگ ئەو دۊر لە دەسڕەسێ ئەمنۊ.	but it was safe out of his reach.	But he was out of his mind.
گشت خەیاڵەیلم لە دەس دامە.	I have lost all my illusions.	I've got all my faculties as well as ever I had in my life.
ئیسە گشتیان بێ دەنگ، خاوەنەگانیان یا مردێ یا دەرچێ.	all of them silent now, their owners dead or fled.	now they have died or gone away quietly.
وە زۊییش تمام واز بۊ.	it soon stood wide open also.	he was out of his mind.
وە دڵنیاییێگ لەناکاو و ساردکەرەوە زانسم کە یە دۊا ساڵ منە.	I knew with sudden, chilling certainty that this was my last year.	I'm sure, and it's been two years since.
دەمم بەسۊم.	I kept my mouth shut.	I kissed my mouth.
ئیمە هێمان هایمنە ئەو جیە گ بۊمن.	we're still where we were.	We still have to go where we are.
زۊ ڕەسیمەو ئێ کلیلە ئەڕا چەس.	I knew immediately what this key was to	I've been looking for this key.
سە تۊەنی لێرە دۊرەو بکەفی و تەنیام بیلی.	so you can get the hell away from here and leave me alone.	It's so far to go here, and I'm solonely.
ئەمانێگ کەس نەوێریا دەسوەردان بکەێ.	but nobody dared to interfere.	But no one thought about it.
یا دیا لە سەرێ.	or knocked on the head	Or you put it on his head.
لەورە تا نزیکەیل شەو مەن.	there he remained till nearly nightfall	I've been here for almost a night.
چمانێ سەردەمانێگ یەێ وراز گەورای کوچگین بۊە.	as though it had once been a large stone pigpen	that it seemed to him that it was a very scratchy, whiskery kiss.
ئەوە ئڕا ئەو وەژان و قورس بۊ.	that was painful and difficult for him.	it was hard for him.
بووەخشی لە تەخت خەو کیشامەدەو دەیشت.	I'm sorry I've dragged you out of bed.	I took him out of my bed.
کات ئەوە هاتێیە بەیدەو لا.	it's time for you to step aside.	when she returned to her post
هە ئەو جوورە گ نەتۊەنسم ئەنجام بەم.	as I could not possibly have done	Just like I couldn't do it.
گومان نێرم گ ڕەسیە ئاخر تراژیک ئەو.	I have no doubt that it led to his tragic end.	I am sure that the very best remedy was his.
کاتێ گ سیخەگە لە ئان هاتن دزەیل ئەڵگرت	when he got the poker in case of burglars	when the tears rose to her eyes as she approached the thief's room
فەرمان ئەسبەیل سوور دا، خزمەتکارەگەم.	ordered the sorrel nag, my fellow servant	I gave orders to have a red knight, my servant.
ئەوان قەت لە یەێ سڵام و کێخوەشی فەرمی فرەتر نەچۊن.	that they had never gone further than formal greetings	they have never had more than the more noble and noble joy of the sea.
ئەمانێگ پێچەگان لە شوون خوەیان بۊن.	but the bolts were in place.	but the beds had to be provided.
خوەشاڵم کە ئەو سەر وەخت هاتەو جی.	I'm glad she got back in time.	I am glad she has come back to her post.
ئەمانێگ گشت تاوانەگە گرمەو مل خوەم.	but I take all the blame upon myself	but I shall make haste to you all this mortal time
وە خێرایی نووڕیە دۊرەو.	looked quickly away.	in a hurry to drive it away.
دارسانەگە ئێرنگە لە جی ڕەش، خوڵەمژی بۊ.	the forest was gray now instead of black.	the old ash tree, in its place, was haughty.
کە تەمەڵمان کرد.	which disposed us to sloth	which filled us.
کە ئێ نەهەنگە ئێقرە کردۊدە مایەی ڕخ سروشتی.	that so much invested the whale with natural terror	that the sperm whale had so much bloodsuckered nature.
ئڕا ڕاکردن لە دەسێ، بڕیار دا لە وڵات نەوسێ.	in order to escape from her, he determined to quit the country	Despite all this, he decided not to leave the country.
هۊرشەی ئەو هیچ قینێ لە دووخ خوەێ نێیاشت.	her mind had no distaste for her own set	Her husband wasn't in his mood.
پابەن بۊن کاڵەو بۊ.	the obligation faded.	It was old stuff.
