source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I've been here for four hours.
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	the chain was drawn out
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't want to get the story straight.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	I tried my best to understand the old woman's views.
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	dragged it up to the front of the dungeon to the empty table.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	I may well have been continually at fault.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	I thought you said that.
کلاید راس راسَکی اسیر با	so truly was he captivated.	his hat with the feather in the band cocked back.
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	she asked, her voice rough with stress and fear.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I've gotten away with it slowly.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but at the same time, they had all the necessary information to satisfy the defendant.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	I thought for a moment about it, and I stopped writing to her.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	I don't think anyone has noticed that.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	but I'm very sorry about it.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I'm very glad I didn't have a wife. I'm miserable.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But he put his chest down and put his knife in the arm's length, and then he pulled down a lot of the riders.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	which a woman did not do as a rule.
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	You'll hear me when I'll.
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	I merely needed to see her.
اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	he struck you as being pretty handy.	Do you not think you are a miserable man?
اما بْزبْزَه چِه دایرَه کو دور مَندا.	but it was safe out of his reach.	but the passage was far away.
چْمْه ناجِن همه بْ باد شینَه.	I have lost all my illusions.	I hope everyone knows.
چَوون صِیِبِن یا مَردَینا یا دَوَشتَینا.	all of them silent now, their owners dead or fled.	for they were either old or dead
هْم زودیون اْم روکَه خْلْ ایلَه راهی شی آمادَه آبو کْ بِش و بِری بْکَرْن	it soon stood wide open also.	Soon enough, this boat will take a long way to get out of the water that is lying in the water.
ایی دَفَعی فَممَه کو اْم دِ چمه آخرنَه سالَه	I knew with sudden, chilling certainty that this was my last year.	I came to a very keen realization that that that two or three years had come.
پس چْمْه دَنی دَوَسْمَه.	I kept my mouth shut.	I put my finger on him.
امه فلا هَه جایی مَندیمونَه کو پیشتَر مَندیمونا.	we're still where we were.	we had shoved off and given way.
زوتَری فَمْمَه کو اْم کْلیل کاری شْنا.	I knew immediately what this key was to	I speedily found that he was clever.
پس ت ْ شای اْشتْه را بیگِری و بْشی و مْن تاکیلَه پس بَهَرزی.	so you can get the hell away from here and leave me alone.	Then you should take hold of him and sit there and leave him alone.
ولی کسی نییاری کاری کو دخالت بْکَری.	but nobody dared to interfere.	But no one interfered in his behavior.
یا عْمکو ناخْدا اشتن کله چاکْنْه	or knocked on the head	or to trick us, that we may be wrong in our decision!
آنسلم تا آفتاوی نْشتِه موقو ها مَندَه	there he remained till nearly nightfall	I'm Van the monster who was there.
چه اصلییَه ساختْمون سنگَه خواَ لونَه اِستا	as though it had once been a large stone pigpen	It's a stone building.
ام دردناکَه سَختَه کاریا	that was painful and difficult for him.	It's a painful thing to do.
متاسْفیمَه لْکْلاکو تْه بَرونتْمَه بیرون.	I'm sorry I've dragged you out of bed.	I'm sorry I took you off the island.
چه وقت آرَسَه کو تْ کَنار بْکَشی	it's time for you to step aside.	when you had crossed the palisade on the north side
هیچ وقت مرا ایمکان نداری	as I could not possibly have done	I could never be.
از شک ندارم کو چه مرگی باعث به	I have no doubt that it led to his tragic end.	I'm sure what would happen if that happened.
ای دفه ای فیکری نه ک دز اومه و شومینه بسکی پیگتشه	when he got the poker in case of burglars	Once again, it seemed to him that he had lost his talent for lying.
کورانه اسبی ک چم خدمتکار و همقطارا فرمون دوشه	ordered the sorrel nag, my fellow servant	The handsome, proud boy who was there with Metant and who was there with Metant.
البته فقط ایله خشکَه سلام علک	that they had never gone further than formal greetings	Of course, only a very dry kiss.
خواستشه درآ ویندشَه بر دله کو دوسیَه.	but the bolts were in place.	He wanted to see the door and shut it.
آخا تا هَه روز چیزی صِحِب آبه نیا کو غرصه هرده ارزشی بداره	I'm glad she got back in time.	for ever, there was nothing in the water that could make them worth an eye.
ولی مْرا چْه مونی ام بدبختی تمون چمه گردن دَلَکَه	but I take all the blame upon myself	But I was miserable.
تْن تَری اْشْتَن چِمون اَی کو گاردْنْدْشَه	looked quickly away.	Suddenly he saw the girl's dress from the corner of his eye.
جنگل الان سییا کو آبَه رَش!	the forest was gray now instead of black.	Now you're getting out of the water!
ام کار تمون اَمَه لَسَ شْل و پَلو آکَره	which disposed us to sloth	It's like he's going to need us all the time.
اْم والی تا هَدَه چی تَرسی را بانِه کَردَشا	that so much invested the whale with natural terror	This wallet was completely empty.
امی را کو دِ ِنخای شَوونَه کیله بْوینی تصمیمش گِتَه کو اْشتَت وطنی کو بْشو	in order to escape from her, he determined to quit the country	until, notwithstanding her very keen eye, decided to leave her native country.
اصلا اشتن وضعی کو ناراضی نییا	her mind had no distaste for her own set	was not at all dissatisfied.
کلایدی اْشتَن قایلی ویر بَرشَه	the obligation faded.	Clyde threw her boat into the water.
وا نی اَمون نِدوعَه و دو و دوشابی یَندی دوشَه	I never see the wind blow so.	but he did not hesitate to speak, nor did he object.
اما شازادَه اَی کو نار دَبَه	but the old prince interrupted him.	But the princess put her down sadly.
تندَ رگی خونِ ایدَفَعی آپَرکییَه	turned into a rout because of a devastating downpour.	almost crumpling beneath the weight of a disapproval she had never known before.
ها چیمی سَرَفا دَپَرچین آپَرچین کَردمَه که چمه درزَه کلَاس بْبو.	arranged it for the future schoolroom.	I had something up there that would make my eyes grow.
از کشیشیمه و پی هرچی بدگْمونی کو برزیمه بْبوم	I am a priest and therefore I ought to be above suspicion	I've got to get rid of the priestly impulse.
هَلا هری نَه شیش گْلَه پیلَه فاصیلَه داری	still lying on the staircase six steps below him.	It's not as easy as being abandoned.
سه دَقَه تمون اسبی حرکتی زْت آبا دییِسی	watched the horse's action for the space of three minutes	in three minutes you'll see how your horse moves.
ولی فْکْر کَردْمَه غم و غْرصَه چیزییَه کو هر کسی دس دَه	but I thought grief was something you felt anyway.	but I thought it was very touching and irritating someone
پیلَکونی کو پِرشَه تا راهرو کو آرَسَه به بَری	went up the staircase to a door in a corridor.	he drove up to the door to find the way.
هر چن کْ هده زحمت مْزی نِداری	though with but small success for their pains.	though he was a quiet inoffensive prisoner happy in his folly and required no watching
در نتیجَه وکیلی گِتشَه تا اَوون یَندی کو سیفا آکره.	but sent an intermediary to arrange the terms of the separation	but he had at least enough of them to stop him.
چیمی بَه نار اْندَچی نِپیما کو تاو دَلَکیم.	for I have never had such need of haste before.	I don't want to get anything out of the deal.
فْرمونی کو چِه شو اَی دوعَه	at the orders her husband left her	I don't understand how I could have prayed.
کنجکاوی و دَقَتینَه، عجیبَ زمینی ک بَلَکِما چه دایر و کناری دییِشتْمَه	look around me with some interest on the strange land that I was in.	I was curious and curious about the way the wind filled the earth with curiosity.
پِشتی نه سْنگَه کوئَه سری خْتَه	lay down on his back on the heap of stones.	He leaned his back against the wall and stood in front of it.
قرار نییا هَنی اَی بْوینیم.	I was never supposed to see him again!	I don't think we should see him anymore.
انگار مجبورینا بَهَرزین اَع اشتَن لوعَه بکَره.	as if they were forced to let him say it.	as though he were forced to bury her.
اْمَه کو از تْلیمَه شومَه کَه را.	that is why I hastened to you.	we have to get out of the tempest.
نِخام دِ ام موضوع بارَه لوعَه بْکَرْم	I don't wanta talk about it no more,	I don't want to talk about it.
پی تْ هشدار بدَم ام اتاقی کو نی پیللَه تَرَه.	I should warn youit's bigger than this room.	I must warn you that I'm not going to this room.
اْشْتَرا و اْشتَن خْردون را دکتر گِتَشا	for herself and the children she employed a physician.	He was still asleep and asked for the doctor's permission.
دا جایی کو بی موفق بِه پیله مقاماتون میزی آمادَه آکر	she did everything possible to keep the places at the table of honor in order	So that he may bring a great number of officers to the table.
اشتن ما نَسَ وجودی جبران بکر	a recompense to you for his mother!	that our existence should not be neutralised.
اسبی نْخْتَه پِکَردْشَه شَه رْواری را	spurred his horse and galloped into the river.	And he made his way to the end of the road with a saddle.
من نی چْمْ چْپْع چْپْع ایدامَه دوعَه.	I still humming my little tune.	I am quite at home in her house.
چن پَلَه یَخْش دَسمالی دِلَه دَکَردَه و چه سری پِنوشَه	ice cubes on her head	He held a few hands on each other and wiped his head.
دَکَشْشَه و اَی کو اْشتَن زوئَه عَسکی بَرونتِه را ایستْفادَه کردْشَه	she used it to push out her son's photograph.	he drew her aside and took her aside.
تْ اْشتْ وَر دِ فیکر کردا کو روکَه جنگی مْنَه بْکَریش	you reckoned on a bickering!	You thought about putting on a show that you were in the rain.
دْلَه سونینَه ایلَه اتاق نی مْن آدَن.	I should be given a small room as a favor	they went their way into the room.
اسلَحَه و گوللَه کو بهتر آزونْم	than either a bullet or a knife.	I know better than I do.
هر کس کْ ایی دَفَه شوهْرَتی طَمی چَشَش بْبو	once you've had that first taste	testifying the apprehension of some discovery which would subject her to ill usage and violence
یا سَی بْکَر اَ حال و هوا دیلَه کو یَکی دْ ساعتی بْخسْه	or trying to snatch an hour or so of sleep	It's been in the same posture for an hour or two.
مْرا چه مونی هیچ ایتفاقی دَلَکَه نییا.	just as if nothing had happened.	that nothing has happened to me.
ام کارینَه بیجَه تی چه پوس و خَلا پِزِرَه.	tearing both skin and clothes to some extent in the effort.	He's wearing a black mask and a night hat.
چم سرنیویس اْمَه کو ام درازَه روزی جان بْدَم و سختی بْکَشْم	I shall have to toil and moil all my days	I've been waiting for my own pleasure this long day, and I've been bothering you for a long time.
