source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	Now you have to worry about getting tired of all the anxieties of life.
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	I love my poverty.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	You have also been forced to wear loose pants.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	they climbed up again, with their knees touching.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	It must be the same as being abandoned.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I have also begun to study the effects of the poison.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	This polar ice cream vanished with the smell of foul sleep and the smell of jagged fragments.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	We see that people have a different mentality about what they have faith in.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	Who are the teachers of our kind?
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	He moved to the centre of the terrace.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	Every thought except that vanished!
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	Our country is under the politics of kidnapping.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	He wanted me to go to camera.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There is only one mouthful full of snakes.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	In my world, I felt like an autogrupt.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	It's like they don't have a steady footing.
Ez koma her dîyan a.	I am in both groups	I'm the servant of all persons.
Her çî wextê ey esto.	Everything has its time	There's plenty of time between now and tomorrow.
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	If the light is not allowed to illuminate your path,
Dima sond dekerna û beyraqe dîrege ra arde war.	Later, he recited the oath and pulled down the flag from the pole	the end of the sea and the remoteness of pure pity.
Kifş o ke cuye o tayê rew hincirnayo.	It's evident that life has worn him down a bit early	It's like he's buried there alive.
Xora qeleme dest de hazir a!	The pen is already ready in hand!	The dust is still wet!
Yew hîkaya xo bi formê nameyî amo nuştene.	One of his/her stories was written in form of a letter	One of the stories was written in the form of love.
Zereyê çimanê xo ra to de huyeno.	He laughs at you from within his eyes	Most of all your water is in your water.
Kesî îtîraz nêkerd.	Nobody objected	nobody was ashamed of being bothered.
Merdim ancax ziwanî ra bizano.	One can only know from the language	so now you know.
No kî çîyode zaf rind o.	This is a good thing, too	This is a very cool thing.
Yewna bi tirkî nengan çîneno vano ti çira vanê ‘kirdî’.	Further, the curses in Turkish and asks why you say 'Zazaki'	There is no reason why Launder should be worried about his rabbit.
En zaf kî kurmanckî de vînon.	Mostly, I see that in Kurmanji	You see how much in the cockroach.
Ma wazenê kîşta tirkî de kurdkî zî bibo ziwano fermî û mekteban de dibistana ewilêne ra heta unîversîte bi ci wendekaran rê perwerde bêro dayene.	We want that Kurdish shall be the official language alongside Turkish, and that education shall be provided for the pupils in schools, from primary school until university	We want to learn to spell in the dark corridor and teach the children to walk in a secret school.
Bi hezaran însanî merdîy.	Thousands for people died	They're going to have to worry about getting tired.
Rayraşîyayîşê dergî bi coşêkê pîlî qedîya.	The long journey ended with huge excitement	the long journey ends with a great fog.
Vateyê eseran zafîn aîdê min ê.	Most of the words of the works belong to me	I have my cupboard as best I can.
Tena ferqêk tede esto.	There is only one difference	There is only one difference.
Xulasa dewe de ma bi çimê dişmenan ewnîyayêne yewbînî ra.	In the end, we looked at each other in the village like enemies	In the floating whispers, we looked at each other with our own eyes.
Nika zî bi hawayêkê sîstematîkî hêrişan kenê.	Now, they are attacking in a systematic way	And now they complain to the stereo.
Hewna zî tu kesî ra yew îtîrazo pêt-cidî nêbi.	Again, there was no serious and strong objection from anyone	You have also gotten away with it.
Ê ke nê qirkerdişî ra weş mendê hîna zî estê.	They are also those who survived this massacre	Those who don't like bad people are even worse than bad.
Bombarduman heta saetan sere sibayî yê roja bîne dewam kerd.	The bombing continued the morning hours of the next day	the bombardies continued uninterrupted until the morning's over
Senî ke ma tirkî badê cû musayî nika zî qicê ma ziwanê dadîyê xo dima musenî.	Just as we learned Turkish later, now our children learn their mother tongue later	Because we've been unhappy in the past, we've been unhappy in the past.
Her di hetan ra bi sehezaran însanî merdî.	Hundreds of thousands of people died from both sides	It was both a man's song and a tune.
Waştişan rê cewab nêno dayene.	The requests will not be answered	They won't be able to respond.
Vengê ey zî weş bi.	His voice was nice as well	It smelled good to her.
La ewro bê waştişê ma bimbarekanê ma ser o projeyan virazenê.	But today they conduct projects on our sanctuaries without our permission	But no wish we had to spend our days planning projects.
Mi nê nameyî ra hes nêkerdêne.	I was not liking that name	I didn't like the name.
nêşîyêno bifikirîyo.	He can't think	she did not think so.
Ma nêwazenê warê xo biteriknê.	We don't want to leave our area	We don't want to get out of our own land.
Berê qedexeyî.	Forbidden doors	Aunt Jean's been waiting for him.
A şewi ma uja di mendî.	That night we stayed there	That's why we went there at night.
Nuştiş de hewce yo ke ti wendoxan rê çîyanê weşan û taybetan qisey bikerî.	It is necessary that you tell the readers nice and special things when you write	Understanding is needed to make you feel special and special interests.
Persê mi qedîyay.	My questions ended	I've got my question over.
Nika zî dore ameya enê cayan.	Now, it is the other places' turn	And now it all came together.
Derdormeyê keyeyî de kes nêasêne.	One could see nobody around the house	there was no one in the house
O wext bîle mi zaf raşt û fehmkerde nuşto.	Even then I wrote very rightly and comprehensibly	I think it was really unintelligible.
Gereka yew televîzyon bibo.	There has to be a television	Let's get on a TV.
Kalikanê ma no ziwan seserran ra nat bi zehmetî ardo resnayo ma.	For centuries, our forefathers have transmitted this language to us with difficulty	Our hates have not yet made our escape.
Çimke weşîya xo ebe tirkî ramenê.	Because they live their lives in Turkish	His eyes were puzzled.
Bi nê ambargoyî şar yeno cezakerdene.	The people are punished with this embargo	So that he may fulfill his duty.
Tesîrê kamcîn nuştoxî yan zî kamcîn nuştoxan to ser o esto?	Which author or authors have influenced you?	Who s on your notebook or who s on your notebook?
Uslubê ci de qet tehmê kirmanckî çin o.	There is no taste of Zazaki in his style	There is no ice cream van in her style.
Nêeşkeno derbasê weverê awe bibo.	He cannot reach the other side of the water	She couldn't keep her husband out of the deal.
Labelê nê perwerdekerdişî hunerî reyde keno.	However, he does this educating in combination with art	the label not to be checked
Vateyo bîn gore zî inî defterî amey nimitiş.	According to another account, these notebooks were hidden	I have a mind to take another book into my purse.
Hema zî no problem hal nêbîyo.	The problem has not been solved yet	It's still not a problem.
Nuştox derheqê gramerî ra zî zelal û beşekar o.	The author is clear and competent concerning the grammar	The breaking of the grass is a sensitive, premature person.
Dewleta tirke û cergê ci zor danê ke kênayê efrînijî bizewijê.	The Turkish state and its goons	The country of the north and the hardest countries to know the secrets of the sea.
Her çî zanayne.	Everything was known	he knew everything.
Bi desan leşkerê tirkî û cergî merdî.	Tens of Turkish soldiers and goons died	with dozens of shuttles and cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed cursed
Yanî gere ma zonê xo ra wayîr bivejîme.	Either we take care of our language	Or we'll forget about our own land.
Vayî bî la halê mi zî hal nêbi.	It was expensive, but our situation was not alright	That's right, but I'm not as dumb.
Ame vatene ke zafînê îna dû ra jehrî kewtî.	It was said that most of them were poisoned by smoke	It was unclear how he got rid of the effects of the poison.
La ancî zî her serre newe ra eynî çî servîs kenê.	However, every year they serve the same thing	But sometimes they become more skilled in fashion.
Dewe û bajar ferq nêkeno.	It doesn't matter whether village or city	It doesn't matter to you.
Zafê yîne malbatî û pîrekî bî.	Most of them were family or old	the dulness of the house was consistent with the dulness of the house
Sebre kî veyva xo ra vana.	Sebre tells that to her daughter-in-law	Who knows who s on his way.
Ez hêvî keno ke kirdkî bibo dara mazîyere û bi henzar serrî emr bikero.	I hope that Kurdish will become a	I hope the children will learn to spell and starve at the tree.
Feqet êdî baş zanê ke no mumkin nîyo.	However, now they know well that this is not possible	I guess it's not possible anymore.
Ziwan erjo verên ê komelî yo.	Language is the first value of society	The vibrant taste of the water is consistent with the taste of the water.
Çîyo muhîm o yo ke merdim hedefê xwu bizano.	The important thing is that one knows his goal	It's important that people know their aims.
Tarîxî nê veng û rengî kurdan rê kerdê dîyarî.	History has gifted the Kurds with this colorfulness / diversity	the pallor and anguish expressed on his countenance
La nika mi rê ecêb nîno!	Now, I don't find it strange anymore	Except it's not the right thing to do now!
Ez henî fikirîyeno.	That's what I think	I'll think about her.
Homa zî înan ra razî bo.	May God bless them	It should have been raining for them.
Wezîfeyê ma pawitişê kulturê kurdan o.	Our duty is to preserve the Kurdish culture	The reason we're doing this is the breaking of the dog's culture.
