source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I abandoned it for four hours
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	with a strong, clean solution.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want to end it.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	The steel rope wasn't in his mood.
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	He took the diary table.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	perhaps, on perceiving it was invariably hidden
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I stopped with a fever.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	lacking him, there actually was a kind of positive hatred of Clyde.
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	he asked, his voice rough with stress and perplexity.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I got up and went to Shame's room.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	And he showed that everything and everything he had in his whale's hand.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I grimaced over this strange circumstance, and I repeated it.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	with the loss, which was certainly a prodigious leap.
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	But I've been doing a lot of deciding.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	that I have the misfortune, that I have many friends alive
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But he had to reach out to the other side of his head and knees to deal with the consequences of his wife's love.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	what a man of character might do to incite love and hatred among him.
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	He's lost his time and all his ducks.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I'm just here to see this lady.
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	He seems you're doing the job well.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	But he was out of his reach.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I hope I succeed.
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	the news of which reached him almost at the same time.
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	He was forced to take the buck again.
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	I realized with a shock that I was going to last that year.
په دهۊنمه واز نکردم	I kept my mouth shut.	I put the phone down sadly.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	We're still waiting for our coat to get hot and creamy.
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I speedily found that it was rotten nonsense.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	you have to cry about your escape, and you have to come alone.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	But no one was willing to let it go.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	Or that the captain doesn't pay attention to his share.
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	He was there until the very moment of appointment.
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	though he had been worse than during the last few days.
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	which was lavish and decadent.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	the livid brand which streaked it
مجالشه که دی بکشی کنار	it's time for you to step aside.	when you're done enough of your own grumbling
ز ته سیم امکانس نی	as I could not possibly have done	it won't be possible from your wire.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	I'm saying that's what caused him to die.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	when he had disappeared, leaving him crumpling beneath the weight of a disapproval she had never known before.
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	Who ordered the squire to come to my ship.
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	except as an emphatic repetition of the hour of appointment for the following night
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	The entrance door was still open.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I remember that he was on his way back in the dark stairs.
ولی وه گمۊنوم گشت گونا ئی بڌبختی وه نای مونه	but I take all the blame upon myself	But I'm saying it won't be long before you lose my happiness.
یه‌ناگه تی زس ڤرگرهڌ	looked quickly away.	then suddenly fell swamping back into the deep.
دارستۊݩ ایسو ز رنگ شه وه رنگ کۉ وابیڌ	the forest was gray now instead of black.	was now a race of turbulent yellow waters.
ئی کار ایما نه وه کاهلی اؽواداره	which disposed us to sloth	and all his ducks in a row
که ئی واله ئیقزر زهله بر کرده بی	that so much invested the whale with natural terror	But he had ruined his temper.
سی یو که دوهڌر چۊپۊنه نڤینه تصمیم گرهڌ ڤی ولات روه	in order to escape from her, he determined to quit the country	Because it wasn't a long time before he decided to leave.
ز حالس ناراضی نبی	her mind had no distaste for her own set	was unsatisfied with his situation.
گشت ٱند خوسه ز ڤیر برد	the obligation faded.	then, quite overpowered by fatigue, fell asleep.
باڌ هم ٱمۊݩ ندا و گشت زمین و زمانه وه یک رهڌ	I never see the wind blow so.	There was no. There was no. There was no.
ولی شازاڌه زس زه وا نها	but the old prince interrupted him.	But he's a princess.
وه سی لف بارۊݩ یه‌ناگه تارستن	turned into a rout because of a devastating downpour.	all was black again.
اوچو نه سیکه مؽن آینده هم کلاس درمۊݩ وابۊ مرتڤ کردیمۊݩ	arranged it for the future schoolroom.	for we shall not be interrupted in the future,
مو کشیشوم و ڤا وه هر بهتۊنؽ وه دیر بۊم	I am a priest and therefore I ought to be above suspicion	I'll wait till the chaplain comes in tomorrow.
هلام وا هو شش پله فاصلَم بی	still lying on the staircase six steps below him.	I've been out the door for six steps.
گشت سه دقه نه سیل وه تورکستن اسپ کرد	watched the horse's action for the space of three minutes	He threw a drop on the number three.
گمۊن کردوم غم و ٱندۊ چیه که آخر وه آڌم دست اؽڌه	but I thought grief was something you felt anyway.	I've lost my sense of displeasure at seeing the end of my life.
ز پلکۊن رهڌ وه بالا تا مؽن دالۊن وه درؽ رسی	went up the staircase to a door in a corridor.	He went up the ladder to the door.
هرچن که سی ایقزر رنز ماجب خۊڤی نگرهڌ	though with but small success for their pains.	though he had not been well with his companions.
ایمدۉ وکیلؽ نه بسی کرد تا کارل جڌایی ز هو نه ٱنجۊم بڌه	but sent an intermediary to arrange the terms of the separation	He hired a counsel to do his best job.
سیکه نهاتر زته ایقر نیازمۊن وه اشتۉ کردن نبی	for I have never had such need of haste before.	There was no need for more than he could have wished.
ز دئسۊرؽ که مؽرس داڌ ڤس	at the orders her husband left her	the second was criticism.
وا علاقه، نیَشتوم ڤه دۉربالوم، و جاگه بلاجڤی که مؽنس بیڌوم.	look around me with some interest on the strange land that I was in.	I was not interested in my travels, nor was it to me.
خۉسیڌ و ری چولچله بردی دراز وابیڌ.	lay down on his back on the heap of stones.	the pallor and anguish expressed on his countenance
هرگش نه قرار بی که هو نه دوڤارته بڤینوم	I was never supposed to see him again!	I never meant to meet him again.
منی مجبۊر بیڌن که بئلن که هو، یو نه بگو.	as if they were forced to let him say it.	I was forced to tell her that.
