source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I've been travelling here.
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	That's why I made a mistake and made a mistake!
مي گۊلي-أ پخ بزئم	I cleared my throat.	I stole it in my heart when I was parading with painters.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I've a mind to take the watch back.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	but that he would not be like me.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	He was wearing his hat from the top of the head when he was parading with painters.
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	I was rendered dumb in the parlour district.
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	when he put his arms in his pocket
مي سرأ بشادم	I shook my head.	I turned my head.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	now it all cuts both ways,
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	pushed his hand away.
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I touched one hand to make sure.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	a couple of hugs and a kiss
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I'm saying I'm not bisexual,'I said.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought he might have something important to say to her.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I didn't need to tell you.
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	He pulled a stick out of his pocket.
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	but it's not always easy.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	the poor papa is unhappy
چۊن ناخؤش بؤ.	because she had been ill	For he is so worn out that there is nothing left to eat of him.
خؤ عازمأ جزمأ کۊده	for he had made up his mind	he ordered me to pay a visit here.
مزایأ سرأ گیفتن	the racers started.	the bunny costume
نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	has the last featuring blow at events.	punctuated him in the mouth with a snap.
آلبت ایتأ دۊتأ اۊشان-أ تفریح وأسي رأ تاوده	I doubt if he's gotten that far yet in fact, I'm sure of it.	It's obvious that there's a bit of entertainment here.
سرأ گیفت شعرانه حیفظ-أ کۊدن	went to work to get his verses	which was couched in terms so vivid and life like
اۊن ٚ ناقۊشي چاقأ کۊدن ره اۊن ٚ أمرأ شيريک بۊبۊست.	be represented as a partner in his own cure.	It was unclear how he got the knife.
روٚقد نأرمۊ	I am out of spirits.	I don't mean to criticise you.
هني بنماست کي کي واخاب نيه ایتأ گل اۊیأ ايسأ	to avoid betraying that he knew she was about.	as though he had not been among the number of those who voted for his surrender.
شيمي اطلاعات نيشان دیهه کي خؤرم ٚ زأک ؤ ذات ٚ خۊش بۊ	if it had been favourable to the boy.	You don't need to tell anyone else who was in the room.
حتأ ایتأ پئلي أن ٚ لیواس جيرأ تکان ندأ بۊ	had not so much as altered one angle of his vest.	even though he hadn't even noticed a change in his dress.
راستؤف اۊ قضيه پٚسي دئه خؤ خانواده ٚ داشت ؤ دارائي اۊمۊر ٚ جأ خؤرأ وانسي	said he to himself, and after that he did not meddle in business affairs.	Actually, it was a branch of my family that was ten years old.
یاواشيکه بيشئم خؤرؤم بار ٚ مهمانانه ورجأ ؤ ایتأ دۊتأ ايستکام وۊکۊشئم بۊجؤر	I sneaked off to the private bar to have a pint or two before dinner.	I walked into the room where I was sleeping and I got to sleep.
هتؤ کي ساغ ٚ جان ٚ مرأ جه ایأ دۊوارس ترأ گؤیم	I'll tell you as soon as she's safely away,	as if we were better off than in the past.
مۊ أن-أ نۊبۊردم اؤیأ کي أن-أ بۊکۊشم	I didn't go upthere with her with any intention of killing her.	I didn't even know I should do that.
هیذره خؤرم نیؤ کي گٚل، سفر بۊشۊ دکناپره	not a pleasant night for a dip in the sea	I don't need to let anyone go on a trip or at the market.
