source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	I walked up and down the room for four hours.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	he had some other feelings towards her than towards her
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I don't want to end the adventure in any way.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	That would help if you didn't let the affair go on.
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	He held the diary up to the front of the table.
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	And he threw away his arm from his hand, and all his powers were weak.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	I was rendered dumb in the middle of a hunt.
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	so that he may be really useful.
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	I ambled along at a slow walk.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but with all the cautions and warnings were unavailing to dissuade him.
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	I put the thinking of marriage in my head, and I encouraged him to marry me.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	with the suspicion that he was a beggar.
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	but I am awfully fond of her too.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I have too many friends in life, and they are miserable too.
ئەمانێ ڤە حاڵێکەێرە گ لەمەسوڕکییان بی، دەس و پاوانە مییا، ڤە ئەژ لاوەلا چوروو و بتە مەهەتنەو نووا. ڤە ئاخرەێر کول ڤە یەکا گولەوان تەقان و حوزوور وژان ئاشکراوا کرد. ڤە دوما ئە گولەتەقاننەلە فرەهان ئەژ سەربازەل ئێ سەر زێن ئەسپلەوان کەتنە هوار.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but with this attitude of relationship were the pawnbroker's hand and the foot, and the knights errant also. Eventually, he made a pretext to quit the legion and quit the legion.
جوور ژیمناسیککارێ گ هووکارە ئێ کارەسە	like a man accustomed to that kind of gymnastic exercise	the kind of man who was apt to do such a favor
گووشە میاێ ئەر دەنگ شوونە پا زەمان	listening to the echoing footsteps of years.	they heard a little dry cough on the staircase
م فەقەت مەێ ئێ ژەنە بۊنم	I must see the lady.	I don't need to see that woman.
ئەێ تونێرە ئاێم دەردبهوەرێکە	he struck you as being pretty handy.	That's my way of outdoor.
ئەمانێ سووسک ئەێ دەڕەس ئەو دۊر بی	but it was safe out of his reach.	But Susek was out of his reach.
گشت ئاوەخت و ئارزووەلم دریاوە ڤارا	I have lost all my illusions.	All my life and my life were consumed in the sea.
ساێلەوان یا مردۊن یا هەیواوین	all of them silent now, their owners dead or fled.	the news of which reached him almost at the same time.
