source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	I've been doing this for four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	the pallor and anguish expressed on his countenance
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I didn't expect it to be an adventure for you.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	she endeavoured to understand the old lady's voice
روزنومه ره میز کنار جا بیته.	he picked up the paper.	He put his diary table aside.
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	but the sweetest little chap of all this dreadful riot.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	He ordered me to walk that way.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	it was really a slap in the face.
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	his belly cascading with fear.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I walked limp.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	And yet, it will testify to him that he was a culprit.
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I started writing poetry when I was thinking about it.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	even though he has reason to have spoken plainly.
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	I'm sorry about it.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love seeing you. I'm miserable.
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but as he stood between his legs and scooped toward the front door with a gun in it, many of the troops stood down the hill.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	He was determined to do the job well.
زمونه لینگ چمر ره گوش دا	listening to the echoing footsteps of years.	He was waiting for his feet to listen.
من فقط ونه این زنا ره بوینم	I must see the lady.	I'm just here to see the woman.
ته نظر هم آدم به دردبخری هسسه	he struck you as being pretty handy.	You think people are in a hurry.
ولی سیس ونه دسرسی دنی بیه	but it was safe out of his reach.	But he had a second sense of displeasure at his hand.
مه تموم امید و آرزو همه به باد فنا بورده	I have lost all my illusions.	all my hopes were consumed in flames.
وشون صاحبون یا بمرد بینه یا فلنگ ره بدا بینه	all of them silent now, their owners dead or fled.	Either you're dead or you're covered in water.
خله زود این کچکی گلیا اتا گذر رای واری آماده بییه	it soon stood wide open also.	Soon this little girl was ready for a voice.
ناگمونی بفهمسسمه که مه آخری سال هسسه	I knew with sudden, chilling certainty that this was my last year.	I didn't even know it was my final year.
پس شه دهون ره دوس بیمه	I kept my mouth shut.	I was so fond of them.
اما فعلن همونجه هسمی که اس هکرد بیمی	we're still where we were.	Actually, we're doing the same here.
اندریک بفمسسمه که این کلی کجه شه	I knew immediately what this key was to	I could then tell it wasn't really her new coward.
پس تو توندی شه را ره بیری بوری و مه ره تینار بلی	so you can get the hell away from here and leave me alone.	So you had to forget about it and stayed alone with me.
ولی هیچ کس جورات ناشته کار دله دخالت هکنه	but nobody dared to interfere.	But no one dared to move.
یا اینکه ناخدا ونه سر ره اشکندنه	or knocked on the head	Or the captain would shoot him.
آنسلم تا نماشون گدری اونجه بمونسسه	there he remained till nearly nightfall	I'd been out the door before.
که ونه اصلی ساختمون ات روز ات تا سنگی خوکدونی بییه	as though it had once been a large stone pigpen	which was originally built as a manufactory of some kind.
اینتا اتا دردناک و سخته کار بییه	that was painful and difficult for him.	It was a painful, hard thing to do.
عذر خوامبه که ته ره لای جا بکشیمه دیا	I'm sorry I've dragged you out of bed.	I'm sorry I'm late.
این گدر برسییه که تو کناره گیری هکنی	it's time for you to step aside.	It's possible that you're using it to do something useful.
هچ را مه واسسه امکان ناشته	as I could not possibly have done	I was out of no mind.
شک نارمه که ونه بد بمردن باعث بییه	I have no doubt that it led to his tragic end.	I'm sure that's the cause of his death.
اون گدر به این خیال که دز بییمو تَش کَله سخ ره بیته	when he got the poker in case of burglars	He even warned against seeing a thief.
کرند اسب ره ینه مه خدمتکار و مه هم قطار فرمون هدا	ordered the sorrel nag, my fellow servant	who was to command the squire and me.
البته فقط ات تا رسمی سلام علک	that they had never gone further than formal greetings	of course, only as a formal greeting.
خواسسه دله بوره در ره دله وری دوس بدییه	but the bolts were in place.	And he stood in the midst of his saddle, and took hold of the saddle.
من خشالمه که و خاره موقع دگرسسه	I'm glad she got back in time.	I am glad you are come.
ولی مه گمون گناه این بدبختی، همه دره مه گردن	but I take all the blame upon myself	But I think it's all my fault.
زود ونه جا چش ره بیتا وره نشا	looked quickly away.	he would then have to deal with his own unhappiness.
پدیار اسا از سیو به رنگ خاکستری در بییمو	the forest was gray now instead of black.	was now grey whiskered
این کار اما ره تنبل و سس کنده	which disposed us to sloth	but all in a somewhat decayed condition
که این وال ره جوری هکرده که اینتی ترس ایجاد هکنه	that so much invested the whale with natural terror	but frightens the bejesus out of them
از اینکه اون چپون کیجا ره نوینه دیگه تصمیم بیته که شه مله ره سر اله	in order to escape from her, he determined to quit the country	Despite all this, he decided to take the lamp before his face.
هچ شه جا راضی نییه	her mind had no distaste for her own set	He's not comfortable with himself.
کلاید شه تعهد ره از یاد بورده	the obligation faded.	Clyde had forgotten his duty.
بوا هم امون ندا و زمین و زمان ره دپیته	I never see the wind blow so.	but he still hadn't come, and he came to the earth and ruled the world.
ولی شازاده وره پیش دکته	but the old prince interrupted him.	but the princess stopped him.
ناگمونی تند شلاب جا رته رم بییه	turned into a rout because of a devastating downpour.	I don't know how I could have slept through it.
اونجه ره برای اینکه بعدا امه همکلاس و درس بووه رج هکردمه	arranged it for the future schoolroom.	where I afterwards went to my class and taught
من کشیش هسسمه و ونه از هر فکر بدی شه جا دور باشم	I am a priest and therefore I ought to be above suspicion	I'm a priest, and I'm afraid of him.
هنو با هری شیش گوم فاصله داشته	still lying on the staircase six steps below him.	He's lost at the same distance as he's lost.
شه دقیقه تموم اسب حرکت ره اشا	watched the horse's action for the space of three minutes	He's got all his movements as well as ever he had in his life.
