source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I've been watching his situation for four hours.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	the fourth and fourth graders
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I don't want to lie
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	But he didn't mean to shoot a gun in his pocket.
کاغەزەگە گردەو کرد.	he picked up the paper.	surrounded the paper
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	It's possible that these days they're going to be comfortable.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	I don't remember what I did.
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	indeed, he was condescending.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	A voice filled with fear and fur.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I got up and went to the shelf.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	and with all his cautions and warnings were unavailing to dissuade the officer from taking a special medication.
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I rushed in my pocket and started to my feet.
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	He thinks it's a very good candidate.
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	but I am awfully fond of them.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I've had a long life, it's a pity.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the grade here was very steep and smooth in the middle of the road, and only with the blast of jagged fragments.
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	how worthy he would be for his life, if he were otherwise than in his own way.
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	as though they were undergoing a variety of hindrances.
