source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I've been here for four hours
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	the chain was folded one over another
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't need to tell anyone about it.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	I took a long struggle to understand the old lady's point.
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	dragged it up to the front of the dungeon to the empty table.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	I hope I'll always have a handsome eye on you.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	I was confused.
کلاید راس راسَکی اسیر با	so truly was he captivated.	Clyde was a real prisoner.
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	Her stress and fear caused her to perish.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I ambled along at a slow walk.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	But let's face it, it's all about our own guilt.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	I once thought about it when I was reading poetry.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	I don't think that means he's lost his temperament.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	But I encouraged him to come here.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I'm glad I'm not very glad. I'm miserable.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but instead she avoided passing through the villages of her nostalgia, and eventually disappearing in the gully that day, leaving a large number of knights errant
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	He had a life like that worked.
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	He started to listen when he started.
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	to be alone with her.
اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	he struck you as being pretty handy.	I don't think I'm a very good man, do I?
اما بْزبْزَه چِه دایرَه کو دور مَندا.	but it was safe out of his reach.	But he's been out of his reach.
چْمْه ناجِن همه بْ باد شینَه.	I have lost all my illusions.	My escape from fear and anxiety.
چَوون صِیِبِن یا مَردَینا یا دَوَشتَینا.	all of them silent now, their owners dead or fled.	for they were to be brought forth in the morning or in the morning.
هْم زودیون اْم روکَه خْلْ ایلَه راهی شی آمادَه آبو کْ بِش و بِری بْکَرْن	it soon stood wide open also.	but soon found a better way of being prepared for suppression and transportation.
ایی دَفَعی فَممَه کو اْم دِ چمه آخرنَه سالَه	I knew with sudden, chilling certainty that this was my last year.	I came to a very keen realization that two years were over
پس چْمْه دَنی دَوَسْمَه.	I kept my mouth shut.	So I opened my eyes again.
امه فلا هَه جایی مَندیمونَه کو پیشتَر مَندیمونا.	we're still where we were.	we were already out of place somewhere else.
زوتَری فَمْمَه کو اْم کْلیل کاری شْنا.	I knew immediately what this key was to	I speedily found that it was all done
پس ت ْ شای اْشتْه را بیگِری و بْشی و مْن تاکیلَه پس بَهَرزی.	so you can get the hell away from here and leave me alone.	Then you know what you did and you know what you did.
ولی کسی نییاری کاری کو دخالت بْکَری.	but nobody dared to interfere.	but no importunate, overbearing
یا عْمکو ناخْدا اشتن کله چاکْنْه	or knocked on the head	Or do we tell the girls that we're doing our best?
آنسلم تا آفتاوی نْشتِه موقو ها مَندَه	there he remained till nearly nightfall	I've a mind to take the watch back.
چه اصلییَه ساختْمون سنگَه خواَ لونَه اِستا	as though it had once been a large stone pigpen	What was the building done with the stone in it?
ام دردناکَه سَختَه کاریا	that was painful and difficult for him.	It's a painful treatment.
متاسْفیمَه لْکْلاکو تْه بَرونتْمَه بیرون.	I'm sorry I've dragged you out of bed.	I'm sorry I brought you out of your house.
چه وقت آرَسَه کو تْ کَنار بْکَشی	it's time for you to step aside.	When did you get rid of the whale?
هیچ وقت مرا ایمکان نداری	as I could not possibly have done	You'll never see me.
از شک ندارم کو چه مرگی باعث به	I have no doubt that it led to his tragic end.	I am sure that's what's driving him.
ای دفه ای فیکری نه ک دز اومه و شومینه بسکی پیگتشه	when he got the poker in case of burglars	but as suddenly as though he might have been a thief and a cannibal
کورانه اسبی ک چم خدمتکار و همقطارا فرمون دوشه	ordered the sorrel nag, my fellow servant	The boys who went to the shelf and obeyed.
البته فقط ایله خشکَه سلام علک	that they had never gone further than formal greetings	of course, only to dry cleaning.
