source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	Now they want to make a big mistake and make ridiculous ridiculous and harsh remarks.
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	My eyes were puzzled.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	It also showed that the virus was venomous.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	they flew into the passage crying for help.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	It's all human emotions need imagination.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I've also been reporting the incident.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	Because young people don't come to the police, they know what's going on.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	We see that you've invented a kind of tools to incite love and hatred among the people.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	Those are our friends.
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	He kept turning around.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	Every chance you can make a mistake is different!
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	Our country is under the politics of terror.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	It separates the components of the compound.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There's only one cave where the people can't make a mistake.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	Now the move of the young man showed that I was an automated raider.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	It's like he's not even sleeping that night.
Ez koma her dîyan a.	I am in both groups	I'm all there.
Her çî wextê ey esto.	Everything has its time	There's time for everything.
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	If you don't have a light, let us know.
Dima sond dekerna û beyraqe dîrege ra arde war.	Later, he recited the oath and pulled down the flag from the pole	Then the woman turned her head and listened.
Kifş o ke cuye o tayê rew hincirnayo.	It's evident that life has worn him down a bit early	It's been a long time since I made a reservation here.
Xora qeleme dest de hazir a!	The pen is already ready in hand!	The game has begun!
Yew hîkaya xo bi formê nameyî amo nuştene.	One of his/her stories was written in form of a letter	He wrote a story in the form of a letter.
Zereyê çimanê xo ra to de huyeno.	He laughs at you from within his eyes	A few steps towards you.
Kesî îtîraz nêkerd.	Nobody objected	No one snoticed.
Merdim ancax ziwanî ra bizano.	One can only know from the language	I know the answers to many puzzles.
No kî çîyode zaf rind o.	This is a good thing, too	It's a very good thing.
Yewna bi tirkî nengan çîneno vano ti çira vanê ‘kirdî’.	Further, the curses in Turkish and asks why you say 'Zazaki'	There's no longer any reason why you're using it.
En zaf kî kurmanckî de vînon.	Mostly, I see that in Kurmanji	This is very common in dogs.
Ma wazenê kîşta tirkî de kurdkî zî bibo ziwano fermî û mekteban de dibistana ewilêne ra heta unîversîte bi ci wendekaran rê perwerde bêro dayene.	We want that Kurdish shall be the official language alongside Turkish, and that education shall be provided for the pupils in schools, from primary school until university	We want to get the dog to the green grass on the other side of the stream and wind, and stay on the safe side of the stream.
Bi hezaran însanî merdîy.	Thousands for people died	They're going to have to kill ten thousand people.
Rayraşîyayîşê dergî bi coşêkê pîlî qedîya.	The long journey ended with huge excitement	The road to the end of the tunnel had been filled with stress and anxiety.
Vateyê eseran zafîn aîdê min ê.	Most of the words of the works belong to me	I have a mind full of secrets.
Tena ferqêk tede esto.	There is only one difference	There's only one difference.
Xulasa dewe de ma bi çimê dişmenan ewnîyayêne yewbînî ra.	In the end, we looked at each other in the village like enemies	And we made our journey a good start.
Nika zî bi hawayêkê sîstematîkî hêrişan kenê.	Now, they are attacking in a systematic way	They are now tired of the routine of space.
Hewna zî tu kesî ra yew îtîrazo pêt-cidî nêbi.	Again, there was no serious and strong objection from anyone	You don't have to eat anyone's opinion.
Ê ke nê qirkerdişî ra weş mendê hîna zî estê.	They are also those who survived this massacre	Those who have not been there are still more unfortunate.
Bombarduman heta saetan sere sibayî yê roja bîne dewam kerd.	The bombing continued the morning hours of the next day	The bombard ran for hours on a stretcher bed.
Senî ke ma tirkî badê cû musayî nika zî qicê ma ziwanê dadîyê xo dima musenî.	Just as we learned Turkish later, now our children learn their mother tongue later	as we drew away as though under the touch of our light foot, and as we drew away as quickly as possible.
Her di hetan ra bi sehezaran însanî merdî.	Hundreds of thousands of people died from both sides	They both died as though they were both human emotions.
Waştişan rê cewab nêno dayene.	The requests will not be answered	I don't like to eat such insects.
Vengê ey zî weş bi.	His voice was nice as well	Her voice was also beautiful.
La ewro bê waştişê ma bimbarekanê ma ser o projeyan virazenê.	But today they conduct projects on our sanctuaries without our permission	But today we will build our future upon it.
Mi nê nameyî ra hes nêkerdêne.	I was not liking that name	I didn't like to name it.
nêşîyêno bifikirîyo.	He can't think	she couldn't think.
Ma nêwazenê warê xo biteriknê.	We don't want to leave our area	We don't need to worry about that.
Berê qedexeyî.	Forbidden doors	From the tail to the grave.
A şewi ma uja di mendî.	That night we stayed there	That's why we went there at night.
Nuştiş de hewce yo ke ti wendoxan rê çîyanê weşan û taybetan qisey bikerî.	It is necessary that you tell the readers nice and special things when you write	But you need to know where you are and where you are going.
Persê mi qedîyay.	My questions ended	I've got all my questions as well as ever I had in my life.
Nika zî dore ameya enê cayan.	Now, it is the other places' turn	And now it's useless to move from one side to the other.
Derdormeyê keyeyî de kes nêasêne.	One could see nobody around the house	The world where we are no one.
O wext bîle mi zaf raşt û fehmkerde nuşto.	Even then I wrote very rightly and comprehensibly	I then took a brief look at the truth and my understanding.
Gereka yew televîzyon bibo.	There has to be a television	it was like a TV.
Kalikanê ma no ziwan seserran ra nat bi zehmetî ardo resnayo ma.	For centuries, our forefathers have transmitted this language to us with difficulty	Our sleeve has not been hard pressed by these knights errant.
Çimke weşîya xo ebe tirkî ramenê.	Because they live their lives in Turkish	All you have to do is look at the beauty of nature.
Bi nê ambargoyî şar yeno cezakerdene.	The people are punished with this embargo	he would not forgive her his disgrace.
Tesîrê kamcîn nuştoxî yan zî kamcîn nuştoxan to ser o esto?	Which author or authors have influenced you?	Do you have a perfect hat in you, or have you a perfect hat in you?
Uslubê ci de qet tehmê kirmanckî çin o.	There is no taste of Zazaki in his style	There is no ice cream van.
Nêeşkeno derbasê weverê awe bibo.	He cannot reach the other side of the water	It can't be through the snow.
Labelê nê perwerdekerdişî hunerî reyde keno.	However, he does this educating in combination with art	The label doesn't say any inappropriate for art.
Vateyo bîn gore zî inî defterî amey nimitiş.	According to another account, these notebooks were hidden	You have to know the secret of our love and understanding.
Hema zî no problem hal nêbîyo.	The problem has not been solved yet	It's not a problem now.
Nuştox derheqê gramerî ra zî zelal û beşekar o.	The author is clear and competent concerning the grammar	Authentically interested in the subject of grammar.
Dewleta tirke û cergê ci zor danê ke kênayê efrînijî bizewijê.	The Turkish state and its goons	The governor of the state and the state have imposed on you the right and the right.
Her çî zanayne.	Everything was known	He knew everything.
Bi desan leşkerê tirkî û cergî merdî.	Tens of Turkish soldiers and goons died	He was killed with a decade of soldiers and a sergeant.
Yanî gere ma zonê xo ra wayîr bivejîme.	Either we take care of our language	let us keep the feast in peace, and not throw the rope after the bucket.
Vayî bî la halê mi zî hal nêbi.	It was expensive, but our situation was not alright	But I wasn't feeling the same way.
Ame vatene ke zafînê îna dû ra jehrî kewtî.	It was said that most of them were poisoned by smoke	I think you've been through it so many times.
La ancî zî her serre newe ra eynî çî servîs kenê.	However, every year they serve the same thing	But it's no use now.
Dewe û bajar ferq nêkeno.	It doesn't matter whether village or city	There's no difference between now and tomorrow.
Zafê yîne malbatî û pîrekî bî.	Most of them were family or old	They were both attracted to beauty and decoration.
Sebre kî veyva xo ra vana.	Sebre tells that to her daughter-in-law	Who knows how.
Ez hêvî keno ke kirdkî bibo dara mazîyere û bi henzar serrî emr bikero.	I hope that Kurdish will become a	I hope the boys will be friends and help us on the road.
Feqet êdî baş zanê ke no mumkin nîyo.	However, now they know well that this is not possible	I'm afraid it's not possible anymore.
Ziwan erjo verên ê komelî yo.	Language is the first value of society	Lifebefore Electricity.
Çîyo muhîm o yo ke merdim hedefê xwu bizano.	The important thing is that one knows his goal	That's one of the key points that people want to know about it.
