source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been in this situation for four hours.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	You'll find a long and rich way to deal with it.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want to see you like this.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	the old man who was apt to doze over the grave
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	He put the paper on your table.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	This may seem trivial to the general public.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I hid it in front of my enemies.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	he was indeed dead
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	she asked, her voice rough with her waistband.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I walked up and down the hall.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but in a fascinating but decorous d'shabill'.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I struck through the woods and made a mistake.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	with that loss, that he had heard much
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I felt a pang of unease.
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	I'm very sorry I tricked you.
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But his hands were tied between their knees and the flow of blood from insomnia and fatigue.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	There's a gymnasty to do this.
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	she called on all the haughtiness she had been born
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I was to meet this lady.
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	he seemed to have his mind taken care of me.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	But his eyes were puzzled by the direction of the flow.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I've got all my faculties as well as ever I had in my life.
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	They were either sick or sick.
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	The baby needed cow's milk to feed himself.
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	I realized with a shock and anguish that that that was the end of that year.
په دهۊنمه واز نکردم	I kept my mouth shut.	I didn't open my mouth.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	we are doing our best to arrange the match between them.
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I understood from the bottom of the book that was a key.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	you should take another, and leave me alone.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	But no one had the right to do it.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	Or that the captain should look at him.
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	He waited for the time to find out.
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	because her father's day was far advanced.
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	This was a busy end.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	I'm sorry I tricked you.
مجالشه که دی بکشی کنار	it's time for you to step aside.	when you'll come back
ز ته سیم امکانس نی	as I could not possibly have done	It's not possible for me to do that.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	I'm sure it was the cause of his death.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	when she's lost that she's really running a fever.
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	gave orders to the squire, who was my servant and mistress
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	Apparently an official dress.
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	locked the front door.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I'd hate to see him wasting his time.
