source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I'm on his way.
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	there are snakes hiding in the pools, and snakes!
مي گۊلي-أ پخ بزئم	I cleared my throat.	I'm on my side watching it.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I've a mind to take the watch back.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	They thought it was normal for me to come here.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	Well, obviously, he's lost the ability to communicate between space and sound.
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	He pushed me back like he threw me into his place.
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	when he took so much trouble over me
مي سرأ بشادم	I shook my head.	I shook my head.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	now, that it was obvious that she was sinking fast.
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	his agitated hand dropped in the forehead, a
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I gave him the right hand to take good care of himself.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	Aunt Jean's dress from the corner of her eye.
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I'm not at all as scrupulous as I should be the face of men whose heads aren't in harmony with mine.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought someone might help you.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I didn't expect you to jine
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	he pulled out some good quips and cranks
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	But it's not perfectly good.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	the black wind current is not contrary to the purity of the water.
چۊن ناخؤش بؤ.	because she had been ill	for the malice of Mademoiselle Dolphore and finally.
خؤ عازمأ جزمأ کۊده	for he had made up his mind	I'm telling him to come to dinner.
