source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	I've been here for four hours
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	It was a short whisper and a short whisper.
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I don't know if I feel like an adventure.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	He tried to get the old lady out of it.
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	He picked up the paper on the other side of the table.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	as if she were a good girl, always ready to lose her.
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	I started running at him with a mixed melody.
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	it was obvious that Clyde was a suspect.
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	she was as though deprived of the power to think.
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	I know it's hard and unforgivable!
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	Still, he gave a complete account of the circumstances that varied from one to the other.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I lose my temper on the thought of it, and lose my temper.
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	without seeming really at all doubt that the affair would be better than what he was leaving behind
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	But you were very unhappy.
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I love my life so much. I'm miserable.
بەڵام جە حاڵیە کە سەرو دەسا و زانویشاوە خزێنێ جە لێو گیاوەکانە لوێنێ وەروە بە تەقناو هەمزەمانو تفەنگەکاشا حوزورو وێشا ئێعلام کەرد و دماو تەقناو تفەنگی فرەیە جە سەروازەکا سەرو ئەسبەکەیشاوە کوتێرە واری.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but while he had placed his hands on his face and his knees were stunned by the smell of their heavy streets, and then he threw a heavy street across the road.
پسۆ ژیمناستیک کاریە کە پی کاریە عادەتش هەن	like a man accustomed to that kind of gymnastic exercise	Then he engaged in his usual employment.
گۆش گیرتەی جە دەنگدانەوەو هەنگامەکا ساڵانی	listening to the echoing footsteps of years.	listened to the annual meeting
مشۆم خانمەکؽ وینو	I must see the lady.	I must go to see the lady.
ئاﮆ پسە کەسێ یارمەتیدەر دیار بؽ پەیت	he struck you as being pretty handy.	He then found out that he was helping her.
بەڵام دوور سڵامەت بؽ جە دەسش	but it was safe out of his reach.	but it was far away from his health.
من گرد وەهمەکؽ جە دەس داینؽ	I have lost all my illusions.	I've got the whole thing lost.
ئؽسە گرد بؽدەنگؽنؽ خاوەنەکؽشا یا مەردؽنؽ یا ڕەماینؽ	all of them silent now, their owners dead or fled.	now they were condescending whether they were extinguished from their master's death or go away.
فرەش نەبەرد بە هەمان شؽوە بە فراوانی کریاوە	it soon stood wide open also.	he had never had the opportunity to study the effects of the poison.
ناکایێنە و بە دڵ سەردی زانام ئینە دماین ساڵەو منەنە	I knew with sudden, chilling certainty that this was my last year.	I don't know if I feel like that last year, and I feel like that.
دەمم وستەبیرە	I kept my mouth shut.	I push my hair back off my face.
ئیمە هیشتای ئینایمؽ چا یاگؽنە کە چەنەش بؽنمؽ	we're still where we were.	We're going to have to go somewhere to see her.
یەکسەر زانام ئی کرؽڵە پەی چیشیا	I knew immediately what this key was to	I knew what it was all about.
پەوکای تاوی جەحەنەمەکەی دوور وزیۆو من تەنیا جیا بازی	so you can get the hell away from here and leave me alone.	I was left alone because of the 'poor knight'.
بەڵام کەس نەیارؽ دەسش وەردۆنە	but nobody dared to interfere.	But no one wanted to touch her.
یان دانشا سەرەیش	or knocked on the head	that he recognized her immediately.
چاگە تا نزیکەو شەوی مەنۆ	there he remained till nearly nightfall	It was there that night when I went near it.
پسە ئانەی کە ڕوێ بەزارێ تەوەنی زلەش بیەبۆ	as though it had once been a large stone pigpen	After a hard struggle, his face was devastated.
کە پەی ئاﮆی بە ئؽش و قورس بؽ	that was painful and difficult for him.	which was hard and painful to him
داواو عەفوؽ کەرو کە تۆم دلؽ یاگەکینە ئاردی بەرۆ	I'm sorry I've dragged you out of bed.	begged the officer to let the deed go unpunished.
کاتو ئانەینە کە وازباری	it's time for you to step aside.	when I had finished my work.
کە نەتاوام کەروش	as I could not possibly have done	But I couldn't do it.
گومان نیا چانەینە کە ئینە بؽ بە هۆو ئانەی کۆتایێ تراژیدیش ب	I have no doubt that it led to his tragic end.	There was no doubt that this would be the final blow.
کاتێ پۆکەرەکەش کەیس و دزەکانە دەسکەوت	when he got the poker in case of burglars	When the porter reappeared and took the the theftsman's hand,
ڕەفیقە خزمەتکارەکەم فەرمانش بە سۆرێل ناگی کەرد	ordered the sorrel nag, my fellow servant	My friend's friend ordered me not to speak to her.
کە هەرگیز جە سڵامی فەرمی زیاتەر نەلاینؽ	that they had never gone further than formal greetings	which never came to any point in troubling them further.
بەڵام بتڵەکؽ یاگؽ وؽشانە بؽنؽ	but the bolts were in place.	But the little ones were there.
وەشحاڵەنا کە گؽڵایۆ پەی کاتو وؽش	I'm glad she got back in time.	happy in the sense that he has arrived just at this moment.
بەڵام گرد و تاوانەکەی وزو ملو وؽم	but I take all the blame upon myself	but the crime was imminent.
بە خؽرای تەماشەو دووریش کەرد	looked quickly away.	He looked at it with a thoughtful eye.
دارستانەکە ئؽسە جیاتی سیاوی خۆڵەمێشی بؽ	the forest was gray now instead of black.	that the woods had changed so much that they grew cold instead of grey.
کە ئیمەش وستیمؽ تەمەلی	which disposed us to sloth	That we're going to get rid of him.
