source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	I had been here for four hours.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	He got up and went to Shant's room before he went down.
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I don't want the adventure to be over in this way.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	if he hadn't let her go on with his life
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	The paper held his hand on the table.
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	Maybe he's lost his baby, too.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	besides, it was impossible for me to do
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	So he was really hot.
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	I ambled along at a slow walk.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but she had never had any accurate and solid evidence of that.
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	I've been thinking about it all afternoon.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	with the doubt that the circumstances were consistent with his condition
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	but I was very moved
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I love my life so much, and it's very unfortunate.
ئەمانێ ڤە حاڵێکەێرە گ لەمەسوڕکییان بی، دەس و پاوانە مییا، ڤە ئەژ لاوەلا چوروو و بتە مەهەتنەو نووا. ڤە ئاخرەێر کول ڤە یەکا گولەوان تەقان و حوزوور وژان ئاشکراوا کرد. ڤە دوما ئە گولەتەقاننەلە فرەهان ئەژ سەربازەل ئێ سەر زێن ئەسپلەوان کەتنە هوار.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but in the face of their heavy blow, their hands were stunned by the smell of the rock, and they finally disappeared, extinguished by the smell from too much crying.
جوور ژیمناسیککارێ گ هووکارە ئێ کارەسە	like a man accustomed to that kind of gymnastic exercise	It's like a man who's done what he's doing.
گووشە میاێ ئەر دەنگ شوونە پا زەمان	listening to the echoing footsteps of years.	I heard a noise on his legs.
م فەقەت مەێ ئێ ژەنە بۊنم	I must see the lady.	I've only met this woman.
ئەێ تونێرە ئاێم دەردبهوەرێکە	he struck you as being pretty handy.	It's a painful tunnel.
ئەمانێ سووسک ئەێ دەڕەس ئەو دۊر بی	but it was safe out of his reach.	but the clerkman was as surly as a dog.
گشت ئاوەخت و ئارزووەلم دریاوە ڤارا	I have lost all my illusions.	I have been waiting for you all the time.
ساێلەوان یا مردۊن یا هەیواوین	all of them silent now, their owners dead or fled.	Dead or alive!
ڤە زۊیی ئێ توڕەکونا گوجەرە، ڤە شێڤە ڕێ ئەڕا ڕەدبین گورج بییەور	it soon stood wide open also.	with the quickness of this revolt, and rapidity with which it was spreading in the direction of the revolt.
ڤە یەێ قەتئییەت ناهەڵمانە و دڵسەرداکەرێ فەمیم گ یە دوماێن ساڵ منە	I knew with sudden, chilling certainty that this was my last year.	I never forgot, and I laughed at the same time, that it was the end of my year.
سە دەم وژمە بەسریا هیشت	I kept my mouth shut.	I push my hair back off my face.
