source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	I did not delay more than four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	the public and the public were convulsed
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I didn't expect the adventure to be a complete one.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	she endeavoured to understand the voice of the old lady
روزنومه ره میز کنار جا بیته.	he picked up the paper.	I left my journal by the side of the table.
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	but that he had lost his beloved.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	gave me an order in a paroxysm of grief.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	the secret of our paternity lies in their hearts.
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	his belly cascading with a paroxysm of fear.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I walked limp.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	And yet, everything was white and white.
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I put the phone down sadly and thought of it over my head.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	with the assumption that the model is in place at all.
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	I was very sorry about it.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love you so much. You have to be miserable.
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but as he threw away his hand and his leg, and dragged him to the front door, he finally showed that he was in the bottom of the army behind the horse.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	he did so with a sympathize.
زمونه لینگ چمر ره گوش دا	listening to the echoing footsteps of years.	He kept looking down.
من فقط ونه این زنا ره بوینم	I must see the lady.	I've just met this woman.
ته نظر هم آدم به دردبخری هسسه	he struck you as being pretty handy.	you're buying a sorrow that can't talk.
ولی سیس ونه دسرسی دنی بیه	but it was safe out of his reach.	But he wasn't feeling thirsty because of Beck's suspicions.
مه تموم امید و آرزو همه به باد فنا بورده	I have lost all my illusions.	My hopes and aspirations are dead for ever.
وشون صاحبون یا بمرد بینه یا فلنگ ره بدا بینه	all of them silent now, their owners dead or fled.	They say they're going to die or they're going to get hit.
خله زود این کچکی گلیا اتا گذر رای واری آماده بییه	it soon stood wide open also.	but this little girl was ready for a general election.
ناگمونی بفهمسسمه که مه آخری سال هسسه	I knew with sudden, chilling certainty that this was my last year.	I didn't realize I was last year.
پس شه دهون ره دوس بیمه	I kept my mouth shut.	I loved my mother.
اما فعلن همونجه هسمی که اس هکرد بیمی	we're still where we were.	But you were almost where we started.
اندریک بفمسسمه که این کلی کجه شه	I knew immediately what this key was to	I understood immediately where he was.
پس تو توندی شه را ره بیری بوری و مه ره تینار بلی	so you can get the hell away from here and leave me alone.	So you could take it from yourself and take it from me.
ولی هیچ کس جورات ناشته کار دله دخالت هکنه	but nobody dared to interfere.	but no one else was willing to meddle in it.
یا اینکه ناخدا ونه سر ره اشکندنه	or knocked on the head	Or the captain's head is going to fall.
آنسلم تا نماشون گدری اونجه بمونسسه	there he remained till nearly nightfall	I wished she hadn't been there at all.
که ونه اصلی ساختمون ات روز ات تا سنگی خوکدونی بییه	as though it had once been a large stone pigpen	that the proper place of construction was laid on a stone pedestal.
اینتا اتا دردناک و سخته کار بییه	that was painful and difficult for him.	It was a painful and painful thing.
عذر خوامبه که ته ره لای جا بکشیمه دیا	I'm sorry I've dragged you out of bed.	I'm sorry I tricked you.
این گدر برسییه که تو کناره گیری هکنی	it's time for you to step aside.	when you're getting out of it, you'll catch it.
هچ را مه واسسه امکان ناشته	as I could not possibly have done	as impossible as it might have been.
شک نارمه که ونه بد بمردن باعث بییه	I have no doubt that it led to his tragic end.	I am sure it was the cause of his death.
اون گدر به این خیال که دز بییمو تَش کَله سخ ره بیته	when he got the poker in case of burglars	when she thought we had robbed her of her grandfather
کرند اسب ره ینه مه خدمتکار و مه هم قطار فرمون هدا	ordered the sorrel nag, my fellow servant	The owner of the horse told me what to do, and he put me on the train.
البته فقط ات تا رسمی سلام علک	that they had never gone further than formal greetings	but only an official servant of the public health.
خواسسه دله بوره در ره دله وری دوس بدییه	but the bolts were in place.	he was about to enter the room and fall in love with it.
من خشالمه که و خاره موقع دگرسسه	I'm glad she got back in time.	I was glad she came back and picked it up.
ولی مه گمون گناه این بدبختی، همه دره مه گردن	but I take all the blame upon myself	but I think it's quite unfortunate that all this happened to me.
زود ونه جا چش ره بیتا وره نشا	looked quickly away.	but he made haste to point to her.
پدیار اسا از سیو به رنگ خاکستری در بییمو	the forest was gray now instead of black.	the pallor was now white and grey.
این کار اما ره تنبل و سس کنده	which disposed us to sloth	but this moist season was particularly pleasant.
که این وال ره جوری هکرده که اینتی ترس ایجاد هکنه	that so much invested the whale with natural terror	But in the same way, it warned him.
از اینکه اون چپون کیجا ره نوینه دیگه تصمیم بیته که شه مله ره سر اله	in order to escape from her, he determined to quit the country	From the top of the head when he went down, he decided to rest on his knees.
هچ شه جا راضی نییه	her mind had no distaste for her own set	he is not satisfied with her.
کلاید شه تعهد ره از یاد بورده	the obligation faded.	Clyde had forgotten his promise.
بوا هم امون ندا و زمین و زمان ره دپیته	I never see the wind blow so.	by telling us what forces are being collected against us, including the detection of the wind currents in the earth and the detection of the wind currents in the wind.
ولی شازاده وره پیش دکته	but the old prince interrupted him.	but the prince stopped him.
ناگمونی تند شلاب جا رته رم بییه	turned into a rout because of a devastating downpour.	I didn't tell you about it, Miss Perez.
اونجه ره برای اینکه بعدا امه همکلاس و درس بووه رج هکردمه	arranged it for the future schoolroom.	I left him there to attend the next meeting with my classmates.
من کشیش هسسمه و ونه از هر فکر بدی شه جا دور باشم	I am a priest and therefore I ought to be above suspicion	I'm a priest, and I have to be away from all thoughts.
هنو با هری شیش گوم فاصله داشته	still lying on the staircase six steps below him.	that was to come within a hundred yards of Harry's house
شه دقیقه تموم اسب حرکت ره اشا	watched the horse's action for the space of three minutes	He's done his job to close his eyes.
ولی فکر هکردمه که غم و غرصه چیزی هسسه که بهرحال آدم ره دس دنه	but I thought grief was something you felt anyway.	but I felt the unhappy effect of that new alarm on his behalf
از پله بالا بورده تا راهروی دله برسییه به ات تا در	went up the staircase to a door in a corridor.	He went up the steps to the entrance door.
هرچن این زمت مزی که خرند باشه نداشته	though with but small success for their pains.	though of course he hadn't had time to try hardships.
همینتای سسه ات تا وکیل ره واسطه بیته که کار ونه جدایی از وه ره درس هکنه	but sent an intermediary to arrange the terms of the separation	So he hired a lawyer to teach her how to do a separate case.
چون پیشترا این همه نیاز ناشتمه تِن بائم	for I have never had such need of haste before.	for I shall not be able to keep up with all this want.
از دستوری که ونه مردی وره هدا	at the orders her husband left her	besides, it was impossible for her husband to do
با کنجکاوی و دقت اون زمین که دکتمه ره شه دور ور ره اشامه	look around me with some interest on the strange land that I was in.	I looked around wondering at the wealth of that earth.
پشت جا سنگ خره سر لم هدا	lay down on his back on the heap of stones.	He leaned his back towards the rock.
قرار نییه ایی وره از نو بوینم	I was never supposed to see him again!	I am not likely to see anyone.
انگار ناچار بینه که بلن و شه حرف ره بزنه	as if they were forced to let him say it.	as if he were forced to speak.
همنتای سسه شمه سره ور بتجسسمه	that is why I hastened to you.	I've been bothering you for this.
نخوامبه دیگه این موضوع خوری گپ بزنم	I don't wanta talk about it no more,	I do not want to talk about it any more.
همینتای واسسه هسسه که سطح کشاورزی فرو بورده	that's how it is the whole level of husbandry has fallen.	That's why agricultural levels have fallen.
ونه ته ره هشدار هدم این اتاق جا هم گت تره	I should warn youit's bigger than this room.	I must warn you, and your grandson also.
شه واسسه و شه وچون واسسه ات تا دوکتور استخدام هکرد بییه	for herself and the children she employed a physician.	He was still asleep and used to be a doctor.
تا اونجه که تونسسه مفق بییه گت گتون میز ره اماده هکنه	she did everything possible to keep the places at the table of honor in order	so that it was impossible for him to get back before he could get ready to eat.
این نحسه مار ره دیین تلافی ره هکنه	a recompense to you for his mother!	It's your turn to hunt.
همینتای سسه شوسری بورده اونجه	he went down that night.	He's already got to the point where he's going.
شه اسب ره مهمیز بزو و دیما روخنه بورده	spurred his horse and galloped into the river.	And he stood in the midst of his saddle, and took hold of the saddle.
منم شه جا زمزمه کردمه	I still humming my little tune.	I jumped after him.
چن تا تیکه یخ ره دسمال دله دکردا ونه سر بشندییه	ice cubes on her head	He had gathered a few pieces of ice cream in his hands.
کشید و از اون شه ریکای عکس ره بیرون بیرادن واسسه به کار بورده	she used it to push out her son's photograph.	pulling it out of his picture book, he began to work.
تو شه پیش خیال هکرد بی که ات تا کچکی جنگ مه جا هکنی	you reckoned on a bickering!	you did think it would be a little war for me.
دلسوزی په کره هم بییه مه ره اتاق دننه	I should be given a small room as a favor	I've been sitting comfortably in my own room.
بیتتر از اسلحه و گلیله سراغ دارمه	than either a bullet or a knife.	I've better than hunted eagles.
هر کی ات دور شوهرت مزه ره بچشه	once you've had that first taste	testifying in every way to their great joy at her return.
هارشینه تونده ات د سات اون حال هوا باخسه	or trying to snatch an hour or so of sleep	He's been here for an hour and two hours.
انگار هچیی پیش نییمو	just as if nothing had happened.	as if there were nothing to be forward.
با این کار اتکه ونه تنِ پوس و لواس بوسندی بییه	tearing both skin and clothes to some extent in the effort.	This one's dress was full of manners.
من سرنوشت این بییه که درس روز جان بکندما زجر بکشم	I shall have to toil and moil all my days	I had fate was to die in the middle of the day.
ات دسته آدمه که دیین ره تازه شرو هکرده و النده که ازرائیل ونه جان ره بیره تا د مرتبه بیعاری هکنه	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	a man who had only just begun to die and had to endure a thousand years in his life.
ایی خواسسه دیگرون دم ره بیره تا کیک ره نخرن	as earnestly tried to prevent any body's eating it.	he would devote his last penny to removing the obstacles which he had to endure.
تا اون گدر که وشون چش اسپی دیار نییه من مشکلی نارمه	I'm not really in trouble until I see the whites of their eyes.	I'll not trouble until I see the eyes of them.
من انتظار ناشنه که شه باشم	I hadn't expected to be myself.	I can't expect me to be alone.
چونکه ویشتر از هش سال ناشته	for, although she was only eight years old	because he hadn't had more than a year.
اول باشن چون که چپر فقط ات نفر سسه را داشته	both of them could not be first, for the ladder would but admit one man at a time.	the first being that the cup had but one mouthful.
اونجه جز هسسکا هچچی دنی بییه	naught was there but bones.	there was nothing but tears.
من میز دورور ره ات تا بشامه	I look helplessly around the table.	I managed to turn around the table.
حتی اون زمانی که ونه دره حبس بیی بییه	not even the length of time he had been imprisoned	Even when he was locked out of his room.
وره سره ی ور بکشییه	dragged him to the house.	He pushed her aside.
شما اولی آدم هسسنی که اینتای جا باخور بوین	you'll be the first to know.	you'll be the first to pitch here
شما ره بتتمه که من دیگه کشیش نیمه	I told you I ain't no preacher	I told you that I'm no longer a priest.
