source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I stayed with him for four hours.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	the sight of themselves from which the fire had cut them off with the sleeve of their shirt and trousers
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I don't want to lie
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	I'm not that you're arguing.
کاغەزەگە گردەو کرد.	he picked up the paper.	folded the paper
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	he might sing for ever.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	I don't swear by the Bible.
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	Indeed, he had a positive dislike for this marriage.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	He asked in a mixed tone.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I raised my knees from my knees slightly.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	Still, all the blood gushed forth from him, and he felt it.
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	"I put this thought in my mind and said, ""Joe""."
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	thinking it was a cold slap in the face.
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	but I'm very sorry about it.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I loved him so much, without any intermediate exasperation.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but at first being hidden within a very large building, and only by a singlebarreled shotgun that had been destroyed
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	how a man, who, if indeed he was to be struck helpless
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	It is as if they hadn't noticed the ugly word for that year.
م تەنیا تواێ ئێ خانمە بۊنم.	I must see the lady.	I've just met this lady.
وە باوەڕ ت، ئەو ئایەم لێهاتیێگە.	he struck you as being pretty handy.	He'll come to dinner, by your faith.
ئەمانێگ ئەو دۊر لە دەسڕەسێ ئەمنۊ.	but it was safe out of his reach.	but he took him away from his safe hands
گشت خەیاڵەیلم لە دەس دامە.	I have lost all my illusions.	I've lost all my imagination.
ئیسە گشتیان بێ دەنگ، خاوەنەگانیان یا مردێ یا دەرچێ.	all of them silent now, their owners dead or fled.	now, all in a dead silence, sleeping or flight.
وە زۊییش تمام واز بۊ.	it soon stood wide open also.	Sneap, facing the roof of Dumbledore's office, began to speak and whispered a little.
وە دڵنیاییێگ لەناکاو و ساردکەرەوە زانسم کە یە دۊا ساڵ منە.	I knew with sudden, chilling certainty that this was my last year.	I know for sure that it's my turn.
دەمم بەسۊم.	I kept my mouth shut.	I cut my hair off my face.
ئیمە هێمان هایمنە ئەو جیە گ بۊمن.	we're still where we were.	We'll still go where we are.
زۊ ڕەسیمەو ئێ کلیلە ئەڕا چەس.	I knew immediately what this key was to	I've been accurate in my face with this key.
سە تۊەنی لێرە دۊرەو بکەفی و تەنیام بیلی.	so you can get the hell away from here and leave me alone.	so he could go away somewhere and remain alone.
ئەمانێگ کەس نەوێریا دەسوەردان بکەێ.	but nobody dared to interfere.	But no one dared to touch her.
یا دیا لە سەرێ.	or knocked on the head	Or die on his head.
لەورە تا نزیکەیل شەو مەن.	there he remained till nearly nightfall	It was there all night.
چمانێ سەردەمانێگ یەێ وراز گەورای کوچگین بۊە.	as though it had once been a large stone pigpen	it was like a change below the surface of water which remains smooth.
ئەوە ئڕا ئەو وەژان و قورس بۊ.	that was painful and difficult for him.	it was wise and painful to her.
بووەخشی لە تەخت خەو کیشامەدەو دەیشت.	I'm sorry I've dragged you out of bed.	I slept and walked out of the bed.
کات ئەوە هاتێیە بەیدەو لا.	it's time for you to step aside.	when she came down that night she was going to have gone away.
هە ئەو جوورە گ نەتۊەنسم ئەنجام بەم.	as I could not possibly have done	Unfortunately, I couldn't do it the way I should and maybe the right way.
گومان نێرم گ ڕەسیە ئاخر تراژیک ئەو.	I have no doubt that it led to his tragic end.	I am sure the upturned line will come to its final pause.
کاتێ گ سیخەگە لە ئان هاتن دزەیل ئەڵگرت	when he got the poker in case of burglars	when the icons caught the entrance.
فەرمان ئەسبەیل سوور دا، خزمەتکارەگەم.	ordered the sorrel nag, my fellow servant	gave me the command to have a red horse, my servant.
ئەوان قەت لە یەێ سڵام و کێخوەشی فەرمی فرەتر نەچۊن.	that they had never gone further than formal greetings	they had never had more than an unofficial and happy life.
ئەمانێگ پێچەگان لە شوون خوەیان بۊن.	but the bolts were in place.	But the birds were their own kind.
خوەشاڵم کە ئەو سەر وەخت هاتەو جی.	I'm glad she got back in time.	I'm glad he came back on time.
ئەمانێگ گشت تاوانەگە گرمەو مل خوەم.	but I take all the blame upon myself	but I suppose all was well.
وە خێرایی نووڕیە دۊرەو.	looked quickly away.	He quickly looked away.
دارسانەگە ئێرنگە لە جی ڕەش، خوڵەمژی بۊ.	the forest was gray now instead of black.	the trees now stood thereunable for the moment to recede.
کە تەمەڵمان کرد.	which disposed us to sloth	That worked.
