source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I waited for four hours.
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	the thirst of agormandizer with gold hairs upon the back.
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't want to tell you this is so true.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	dreamed of seeing the sides of it encompassed with several gradations of galleries, and stairs, at certain intervals, to descend from one to the other.
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	I made my way to the middle table and sat next to it.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	I think my beautiful eye will need attention forever.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	My father's blood gushed forth from him.
کلاید راس راسَکی اسیر با	so truly was he captivated.	his body was like water hanging down.
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	there was stress and fear.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I am not likely to fall into mistakes from excess of optimism.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but still she had a record of these allusions of her heart.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	somehow made her think of that when she was almost gone that night she couldn't possibly do a better job.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	I don't think he's playing with this squadron.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	but I've already catalogued them.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I was relieved the woman wasn't there. I'm afraid we're there.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the coldness of his chest made him jump so badly that he dropped the heavy streak of his heavy streak, and scudded under one knee.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	a woman, who, if she hadn't been home, would have given her the job.
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	attention disengaged, he necessarily began on the subject with her.
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	to be reconciled between us.
اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	he struck you as being pretty handy.	do you not think it's a good thing?
اما بْزبْزَه چِه دایرَه کو دور مَندا.	but it was safe out of his reach.	But there's also a kind of positive hatred of him.
چْمْه ناجِن همه بْ باد شینَه.	I have lost all my illusions.	then, quite overpowered by fatigue, fell asleep.
چَوون صِیِبِن یا مَردَینا یا دَوَشتَینا.	all of them silent now, their owners dead or fled.	forwards beneath him as if it were a man's head or a woman's.
هْم زودیون اْم روکَه خْلْ ایلَه راهی شی آمادَه آبو کْ بِش و بِری بْکَرْن	it soon stood wide open also.	somehow made her usually soft voice heard above the tumult.
ایی دَفَعی فَممَه کو اْم دِ چمه آخرنَه سالَه	I knew with sudden, chilling certainty that this was my last year.	I remembered once, it's the end of the year.
پس چْمْه دَنی دَوَسْمَه.	I kept my mouth shut.	Then I looked at him.
امه فلا هَه جایی مَندیمونَه کو پیشتَر مَندیمونا.	we're still where we were.	we shall be laid under some other heap of poor grass.
زوتَری فَمْمَه کو اْم کْلیل کاری شْنا.	I knew immediately what this key was to	I've a mind to take the watch back.
پس ت ْ شای اْشتْه را بیگِری و بْشی و مْن تاکیلَه پس بَهَرزی.	so you can get the hell away from here and leave me alone.	Then you deserve to take the rightful place at the castle and sit in the courtyard.
ولی کسی نییاری کاری کو دخالت بْکَری.	but nobody dared to interfere.	but no one was willing to bend.
یا عْمکو ناخْدا اشتن کله چاکْنْه	or knocked on the head	Or else the captain was wrong because of Beck's suspicions.
آنسلم تا آفتاوی نْشتِه موقو ها مَندَه	there he remained till nearly nightfall	Whether it's standing outside waiting for an emergency stop or waiting for an emergency stop.
چه اصلییَه ساختْمون سنگَه خواَ لونَه اِستا	as though it had once been a large stone pigpen	Who was the first tumbler in the world?
ام دردناکَه سَختَه کاریا	that was painful and difficult for him.	but it was painful and unforgivable!
متاسْفیمَه لْکْلاکو تْه بَرونتْمَه بیرون.	I'm sorry I've dragged you out of bed.	I'm sorry I tricked you.
چه وقت آرَسَه کو تْ کَنار بْکَشی	it's time for you to step aside.	when you came home they knocked you on the door.
هیچ وقت مرا ایمکان نداری	as I could not possibly have done	You won't ever have to eat me.
از شک ندارم کو چه مرگی باعث به	I have no doubt that it led to his tragic end.	I am sure that it is true that I rejected his request.
ای دفه ای فیکری نه ک دز اومه و شومینه بسکی پیگتشه	when he got the poker in case of burglars	suddenly she knew that the the theft was imminent and life like a bag full of rusty old face.
کورانه اسبی ک چم خدمتکار و همقطارا فرمون دوشه	ordered the sorrel nag, my fellow servant	The lighthouse keeper and the lighthouse keeper of the lighthouse.
البته فقط ایله خشکَه سلام علک	that they had never gone further than formal greetings	Of course, only in the heat of peace and quiet.
خواستشه درآ ویندشَه بر دله کو دوسیَه.	but the bolts were in place.	he knocked on his bedroom floor.
آخا تا هَه روز چیزی صِحِب آبه نیا کو غرصه هرده ارزشی بداره	I'm glad she got back in time.	There's no reason why he shouldn't eat such insects.
ولی مْرا چْه مونی ام بدبختی تمون چمه گردن دَلَکَه	but I take all the blame upon myself	But I've been misled in my marriage.
