source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	Now the excitingly new friends and acquaintances have begun to learn to spell.
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	My eyes are very sensitive.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	It also showed that the virus was alive.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	They're in the middle of the fourth grade.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	He has to put all his imaginations there.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I also took the cardboard.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	for the beasts are now moving forward as far as the police are now moving forward.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	I see that there has been a scientific study of the effects of the poison in my study of animal behaviour.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	That's why they're teaching us.
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	It smelled good to the rest of us.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	It's the same as being abandoned!
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	Our country is under the warrant.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	Who then turned the camera.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There's a bit where people can't copy the note.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	It was a busy end, which I wanted to make for a group.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	That's a house where we don't talk.
Ez koma her dîyan a.	I am in both groups	I'm the servant of all the gods.
Her çî wextê ey esto.	Everything has its time	It's all about time.
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	If you don't let the light spill into your boy's room,
Dima sond dekerna û beyraqe dîrege ra arde war.	Later, he recited the oath and pulled down the flag from the pole	Damn the devil and the devil.
Kifş o ke cuye o tayê rew hincirnayo.	It's evident that life has worn him down a bit early	How serene that a place of awe and dread has become.
Xora qeleme dest de hazir a!	The pen is already ready in hand!	The golden egg is in the palm of your hand!
Yew hîkaya xo bi formê nameyî amo nuştene.	One of his/her stories was written in form of a letter	A story is told in a different aspect.
Zereyê çimanê xo ra to de huyeno.	He laughs at you from within his eyes	You have a mind to take the watch back.
Kesî îtîraz nêkerd.	Nobody objected	nobody was looking for anyone
Merdim ancax ziwanî ra bizano.	One can only know from the language	I need to know the details of the animal's behaviour.
No kî çîyode zaf rind o.	This is a good thing, too	What a beautiful thing.
Yewna bi tirkî nengan çîneno vano ti çira vanê ‘kirdî’.	Further, the curses in Turkish and asks why you say 'Zazaki'	Now you don't have to worry about what you're doing.
En zaf kî kurmanckî de vînon.	Mostly, I see that in Kurmanji	You can see this in many villages.
Ma wazenê kîşta tirkî de kurdkî zî bibo ziwano fermî û mekteban de dibistana ewilêne ra heta unîversîte bi ci wendekaran rê perwerde bêro dayene.	We want that Kurdish shall be the official language alongside Turkish, and that education shall be provided for the pupils in schools, from primary school until university	We also want to teach the dog to be a part of the formal and school security for a while.
Bi hezaran însanî merdîy.	Thousands for people died	a thousand good quips and cranks would be lost to him.
Rayraşîyayîşê dergî bi coşêkê pîlî qedîya.	The long journey ended with huge excitement	The long journey ends with a broken bone.
Vateyê eseran zafîn aîdê min ê.	Most of the words of the works belong to me	I have a mind full of people.
Tena ferqêk tede esto.	There is only one difference	There's only one difference.
Xulasa dewe de ma bi çimê dişmenan ewnîyayêne yewbînî ra.	In the end, we looked at each other in the village like enemies	in the taste displayed in furnishing, and in the rapidity with which it was executed
Nika zî bi hawayêkê sîstematîkî hêrişan kenê.	Now, they are attacking in a systematic way	And now it's a very good thing.
Hewna zî tu kesî ra yew îtîrazo pêt-cidî nêbi.	Again, there was no serious and strong objection from anyone	You are not the only one who has a mind to take the watch back.
Ê ke nê qirkerdişî ra weş mendê hîna zî estê.	They are also those who survived this massacre	Those who don't treat her like they treat her like they are friends.
Bombarduman heta saetan sere sibayî yê roja bîne dewam kerd.	The bombing continued the morning hours of the next day	the bombardment continued for an hour until the next morning.
Senî ke ma tirkî badê cû musayî nika zî qicê ma ziwanê dadîyê xo dima musenî.	Just as we learned Turkish later, now our children learn their mother tongue later	It's possible that we're doing our best to do good in this matter.
Her di hetan ra bi sehezaran însanî merdî.	Hundreds of thousands of people died from both sides	They were almost extinguished from too much crying.
Waştişan rê cewab nêno dayene.	The requests will not be answered	I hope they won't be able to respond to me.
Vengê ey zî weş bi.	His voice was nice as well	It was a very good sound.
La ewro bê waştişê ma bimbarekanê ma ser o projeyan virazenê.	But today they conduct projects on our sanctuaries without our permission	But today we are going to have a busy plan.
Mi nê nameyî ra hes nêkerdêne.	I was not liking that name	I didn't like the name.
nêşîyêno bifikirîyo.	He can't think	she couldn't imagine.
Ma nêwazenê warê xo biteriknê.	We don't want to leave our area	We don't want to forget this path.
Berê qedexeyî.	Forbidden doors	A closed door.
A şewi ma uja di mendî.	That night we stayed there	That's why he went there at night.
Nuştiş de hewce yo ke ti wendoxan rê çîyanê weşan û taybetan qisey bikerî.	It is necessary that you tell the readers nice and special things when you write	But you need to keep your eyes shut.
Persê mi qedîyay.	My questions ended	My question is over.
Nika zî dore ameya enê cayan.	Now, it is the other places' turn	It's a common way to defame the party or create suspicion within it.
Derdormeyê keyeyî de kes nêasêne.	One could see nobody around the house	there was no one else in the house.
O wext bîle mi zaf raşt û fehmkerde nuşto.	Even then I wrote very rightly and comprehensibly	I then had a pretty clear idea.
Gereka yew televîzyon bibo.	There has to be a television	Maybe there was a TV.
Kalikanê ma no ziwan seserran ra nat bi zehmetî ardo resnayo ma.	For centuries, our forefathers have transmitted this language to us with difficulty	We're not wearing our hat from the top of our head when we're parading with painters.
Çimke weşîya xo ebe tirkî ramenê.	Because they live their lives in Turkish	His eyes are puzzled by the direction of the flow.
Bi nê ambargoyî şar yeno cezakerdene.	The people are punished with this embargo	It's a common way to defame the party or create suspicion within it.
Tesîrê kamcîn nuştoxî yan zî kamcîn nuştoxan to ser o esto?	Which author or authors have influenced you?	Is there a fine print or a hard press on your finger?
Uslubê ci de qet tehmê kirmanckî çin o.	There is no taste of Zazaki in his style	There is no ice cream van in the world.
Nêeşkeno derbasê weverê awe bibo.	He cannot reach the other side of the water	She couldn't get through the woods.
Labelê nê perwerdekerdişî hunerî reyde keno.	However, he does this educating in combination with art	This label reflects the impact of art.
Vateyo bîn gore zî inî defterî amey nimitiş.	According to another account, these notebooks were hidden	Perhaps the next year's book will be closed.
Hema zî no problem hal nêbîyo.	The problem has not been solved yet	It's still not a problem for me.
Nuştox derheqê gramerî ra zî zelal û beşekar o.	The author is clear and competent concerning the grammar	a notorious and engaging in the conversation about greetings.
Dewleta tirke û cergê ci zor danê ke kênayê efrînijî bizewijê.	The Turkish state and its goons	The Turkish government has made it difficult for the people to speak.
Her çî zanayne.	Everything was known	He knew everything.
Bi desan leşkerê tirkî û cergî merdî.	Tens of Turkish soldiers and goons died	with a dozen troops and sailors
Yanî gere ma zonê xo ra wayîr bivejîme.	Either we take care of our language	Or else we'll get out of the way.
Vayî bî la halê mi zî hal nêbi.	It was expensive, but our situation was not alright	But my situation wasn't so good.
Ame vatene ke zafînê îna dû ra jehrî kewtî.	It was said that most of them were poisoned by smoke	There's a lot of strange things Bob mentioned about this.
La ancî zî her serre newe ra eynî çî servîs kenê.	However, every year they serve the same thing	But now it's the old normal thing.
Dewe û bajar ferq nêkeno.	It doesn't matter whether village or city	The inside and outside of the city are not different.
Zafê yîne malbatî û pîrekî bî.	Most of them were family or old	The house was full of clean and tidy.
Sebre kî veyva xo ra vana.	Sebre tells that to her daughter-in-law	Who fancies his soul.
Ez hêvî keno ke kirdkî bibo dara mazîyere û bi henzar serrî emr bikero.	I hope that Kurdish will become a	I hope the kid is going to eat the oil and eat the fresh grass on the other side of the stream.
Feqet êdî baş zanê ke no mumkin nîyo.	However, now they know well that this is not possible	But he knows that it's not possible.
